"id","transcription","year","month","day"
"aha-1","‎‏פ״נ‏‎ ‎‏איש הולך תמים בכל‏‎ ‎‏דרכיו ה״ה אשר בן כ״ה‏‎ ‎‏בנימין אפרים ז״ל נפטר‏‎ ‎‏ט׳ אייר שנת תר״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-10","‎‏פ״ט‏‎ ‎‏ברה ותמה בכל מעשיה‏‎ ‎‏ואהובה לכל מכיריה‏‎ ‎‏לעניים פרשה ידיה‏‎ ‎‏אשת חן לבעל נעוריה‏‎ ‎‏ה״ה‏‎ ‎‏האשה הצנועה מרת‏‎ ‎‏בולא בת כ׳ יודה אשת‏‎ ‎‏כ׳ משה לאווענשטיין‏‎ ‎‏נפטרה יום ד׳ כ״ב אדר‏‎ ‎‏ונקברה עש״ק כ״ד בו‏‎ ‎‏שנת תרל״ז לפ״ק‏‎","","",""
"aha-11","‎‏פ״נ‏‎ ‎‏איש הולך תמים‏‎ ‎‏היה צדיק באמונתו‏‎ ‎‏חיה אהב צדק והמשרים‏‎ ‎‏היטיב לקרוביו גם לזרים‏‎ ‎‏ה״ה קלונמס בן שלמה‏‎ ‎‏הלוי מת ביום ב׳ ד׳‏‎ ‎‏ניסן ונקבר ביום ה׳ ח׳‏‎ ‎‏בו שנת תרל״ז לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-12","‎‏פ״ט‏‎ ‎‏פאר לבניה‏‎ ‎‏עטרת ליודעיה‏‎ ‎‏רק עם ישרים לכתה‏‎ ‎‏לעני פרשה פתה‏‎ ‎‏אשרה תליץ בעדה‏‎ ‎‏ה״ה‏‎ ‎‏מרת פערלא בת כ״ה יודא‏‎ ‎‏אלמנת כ״ה אליעזר הכהן‏‎ ‎‏נפטרה יום ב׳ י׳ אייר‏‎ ‎‏שנת תרל״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-13","‎‏הנאהבים והנעימים בחייהם ובמותם לא נפרדו‏‎ ‎‏עוברי בעמק הבכא ראו‏‎ ‎‏פה // ופה‏‎ ‎‏אמלל פרח לא צץ ציץ // יפה נוף הדר הורו‏‎ ‎‏ידיד אבות ענף יפה // וחדות אמו דרך כל‏‎ ‎‏זנח עולמו רך בשנים // הארץ הלך אחר אחיו‏‎ ‎‏ה״ה אליעזר בן כ׳ יוסף // ולמחרתו יום ג׳ כ״ד כסלו‏‎ ‎‏הכהן נקטף בעודו // בא המות שנית בחלוני‏‎ ‎‏באבו לדאבון אבותיו // אבותיו המדכאים ויאמר‏‎ ‎‏ביום ב׳ כ״ג כסלו תר״מ לפ״ק // גם אחיו יהודה יעלה‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-14","‎‏משה עלה למרום‏‎ ‎‏פ״ט‏‎ ‎‏מכבד היוצר ותורתו‏‎ ‎‏שלם כל ימיו ביראתו‏‎ ‎‏הלום יישן במנוחתו‏‎ ‎‏עד כי ייקץ משנתו‏‎ ‎‏ה״ה‏‎ ‎‏איש יקר רוח כ״ה משה‏‎ ‎‏בן כ״ה אשר גומפערט‏‎ ‎‏נפטר יום ה׳ כ״ה אדר ונקבר‏‎ ‎‏למחרתו עש״ק כ״ו בו‏‎ ‎‏שנת תרמ״ב‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-15","‎‏פ״נ‏‎ ‎‏מ׳ רעכלה בת נפתלי‏‎ ‎‏אשת אליעזר בר אשר גומפערט‏‎ ‎‏ממשפחת אייזענבערג מהארן‏‎ ‎‏ה״ה ירא ה׳ חונן דלים וסר מרע‏‎ ‎‏ומת׳ בשם טוב בת ע״ד שנה‏‎ ‎‏עש״ק י״ג טבת ונקברת ט״ו בו‏‎ ‎‏תרמ״ד לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-16","‎‏פ״נ‏‎ ‎‏בתולה צנועה וחמודה‏‎ ‎‏דרכי נועם כל דרכיה‏‎ ‎‏בכה כל מכיר ארחותיה‏‎ ‎‏כאשר נאספה בקץ ימיה‏‎ ‎‏ה״ה מרת שפרינץ בת יצחק‏‎ ‎‏נפטרה ביום עש״ק ה׳ ניסן‏‎ ‎‏ונקברה ביום א׳ ז׳ ניסן תרמ״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-17","‎‏פ״נ‏‎ ‎‏האשה היקרה‏‎ ‎‏אשת חיל עקרת הבית‏‎ ‎‏יראת אלהים וחוננת‏‎ ‎‏מרת סיסכה בת עשריאל‏‎ ‎‏מתה ביום ז׳ דתמות‏‎ ‎‏תרמ״ה לפ״ק‏‎ ‎‏ויבך אחריה אשה‏‎ ‎‏וכל מכירי טובה‏‎ ‎‏תנצב״ה‏‎","","",""
"aha-18","‎‏פ״ט‏‎ ‎‏האשה היקרה והצנועה‏‎ ‎‏מרת בריינשע בת יצחק‏‎ ‎‏נפטרת ביום ה׳ ט״ו שבט‏‎ ‎‏תרמ״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
