"id","transcription","year","month","day"
"bay-1","‎‏אבן‏‎ ‎‏פינה‏‎ ‎‏מצבה ראשונה ׃ ילד‏‎ ‎‏שעשועי׳ ׃ בת רביעית‏‎ ‎‏שנה ׃ פה גנוזה וטמונה ׃‏‎ ‎‏טאלצי בת כ״ה מרדכי‏‎ ‎‏טאכי סג״ל‏‎ ‎‏נפטר ונ׳ ביום שני דפסח‏‎ ‎‏תקמ״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"bay-10","","","",""
"bay-101","‎‏פ״ט‏‎ ‎‏האשה מרת קילה‏‎ ‎‏אשת כמ״ר גידל‏‎ ‎‏מפ״ד‏‎ ‎‏נפטרת יום ב׳ י״א ניסן‏‎ ‎‏תקנ״ה‏‎ ‎‏תנצב״ה‏‎","","",""
"bay-102","‎‏פ״נ‏‎ ‎‏הב״ח זעלקיל בן כמ״ר‏‎ ‎‏שמואל מפ״ד‏‎ ‎‏נפטר יום שב׳ ק׳‏‎ ‎‏זין טבת תק״סמך‏‎ ‎‏תנצב״ה‏‎","","",""
"bay-103","‎‏פ״ט‏‎ ‎‏אשת ח[יל] ליראת ה׳ נכספה‏‎ ‎‏צדקת [ה]׳ עשתה כאמנו שרה‏‎ ‎‏כל [ימי]ה הלכה בדרך ישרה‏‎ ‎‏שרה [רבק(?)]ה בת כ״ה שלמה נ״ש סג״ל‏‎ ‎‏אשת כ״ה וואלף וואשר מן‏‎ ‎‏נפטרה יום [ג׳] כ״ד תמוז‏‎ ‎‏תקס״ד תנצב״ה‏‎","","",""
"bay-104","‎‏פ״ט‏‎ ‎‏הבתולה משכלת מרת‏‎ ‎‏שרה פעסלא בת כ״ה‏‎ ‎‏שלמה נייאשטט‏‎ ‎‏סג״ל מכאן‏‎ ‎‏[...] יום ה׳ כ״ג סיון‏‎ ‎‏תק״סמך א׳‏‎ ‎‏תנצב״ה‏‎","","",""
"bay-105","‎‏פ״נ‏‎ ‎‏כמ״ר חיים בן כמ״ר‏‎ ‎‏שמואל שוו׳‏‎ ‎‏נפטר יום ה׳ וי״ו תשרי‏‎ ‎‏תקס״ד תנצב״ה‏‎","","",""
"bay-107","","","",""
"bay-108","‎‏פ״ט‏‎ ‎‏האשה חשובה מ׳ מטל‏‎ ‎‏אשת כ״ה הירש פ״ד‏‎ ‎‏מכאן‏‎ ‎‏נפטרת יום ב׳ ט״ו אב‏‎ ‎‏תקס״ט תנצב״ה‏‎","","",""
"bay-109","‎‏פ״ט‏‎ ‎‏האשה החשובה מ׳‏‎ ‎‏עלא! עלא! למה עזבתוני‏‎ ‎‏אשת חיל היית ־ צעיר לימים‏‎ ‎‏כה תשכון ־ אין עוד אתנו‏‎ ‎‏בענינך היית רק צדק ותמים‏‎ ‎‏די טוביי למרום עלית על כלינו‏‎ ‎‏נפטרה יום ג׳ זין אדר שני‏‎ ‎‏[תקע״ג] תנצב״ה‏‎","","",""
"bay-11","","","",""
