"id","transcription","year","month","day"
"bbr-1","‎‏פה טמונה אשה‏‎ ‎‏הגונה מר׳ ברוינכן‏‎ ‎‏בת מאיר ז״ל נפטר׳‏‎ ‎‏ביו׳ ד׳ י״ב חשון שנ׳‏‎ ‎‏שפ״ב לפ״ק תנצב״ה‏‎ ‎‏עש״צ בג״ע א״ס‏‎ :‏‎","1621","10","27"
"bbr-10","‎‏פ״נ‏‎ ‎‏היקר כמ״ר‏‎ ‎‏יעקב בר אברהם‏‎ ‎‏הלוי ז״ל נפטר‏‎ ‎‏יו׳ ה׳ ה׳ טבת‏‎ ‎‏תנ״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1694","12","23"
"bbr-11","‎‏היקרה מרת סערכין אשת וואלף פרייסך‏‎ ‎‏פה‏‎ ‎‏טמונה אשה חשובה‏‎ ‎‏שבחה מי מנה עטרת‏‎ ‎‏תפארת לבעלה היקרה‏‎ ‎‏מרת סערכין בת אורי‏‎ ‎‏ז״ל נפטרת בליל מוצאי‏‎ ‎‏שבת ונקבר׳ ביום א׳ י״ט‏‎ ‎‏אלול תנ״ו לפ״ק תנצבנ״ה‏‎","1696","9","16"
"bbr-12","‎‏פ״ט‏‎ ‎‏האשה חשוב[ה]‏‎ ‎‏היקרה מרת‏‎ ‎‏הענדלה ב׳ בנימן‏‎ ‎‏ישראל ז״ל שנפט׳‏‎ ‎‏בליל א׳ כ״ה אלול‏‎ ‎‏תס״ה לפ״ק והלכה‏‎ ‎‏לעולמה ביום ב׳‏‎ ‎‏לג״ע עם שצ״א‏‎ ‎‏תנצב״ה‏‎","1705","9","14"
"bbr-13","","","",""
"bbr-14","","","",""
"bbr-15","","","",""
"bbr-16","","","",""
"bbr-17","","","",""
"bbr-18","","","",""
"bbr-19","","","",""
"bbr-2","‎‏האבן הזאת‏‎ ‎‏מצבה לרא׳‏‎ ‎‏מאיר בר‏‎ ‎‏יעקב נפט׳‏‎ ‎‏יו׳ ו׳ ה׳ אייר‏‎ ‎‏שנת ת״ז‏‎","1647","5","10"
"bbr-20","","","",""
"bbr-21","","","",""
"bbr-22","","","",""
"bbr-23","","","",""
"bbr-24","","","",""
"bbr-25","","","",""
"bbr-26","","","",""
"bbr-27","‎‏פה שוכן‏‎","1838","8","17"
"bbr-28","‎‏פ״נ‏‎ ‎‏איש תם וישר‏‎ ‎‏ירא אלהי׳ כל ימיו‏‎ ‎‏[מר]דכי בר אליעזר‏‎ ‎‏[מפ]רייזיג שנפטר‏‎ ‎‏ביום ג׳ י״ז כסלו‏‎ ‎‏תר״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎","1848","12","12"
"bbr-29","‎‏פה שכן ׃‏‎ ‎‏רעכל בת יצחק הלוי‏‎ ‎‏שנפטר׳ ביום ה׳ ז׳ אב‏‎ ‎‏ונקבר׳ ביום ו׳ עש״ק ח׳ אב‏‎ ‎‏תרי״ג לפ״ק ׃ פה נידערפרייסיג ׃‏‎ ‎‏ידה היתה פתוחה לתן צדקה‏‎ ‎‏בסתר ׃ לחמה נתנה לרעב‏‎ ‎‏ים ׃ ולצמאים נתנה יינם ׃ היא‏‎ ‎‏היתה אם לאביונם ׃ צדקת‏‎ ‎‏היתה בכל מעשה ׃ תנצ״ב‏‎ ‎‏החיים עכמע״י אמן‏‎","1853","8","11"
"bbr-3","‎‏האבן הזאת‏‎ ‎‏מצבה לרא׳‏‎ ‎‏יעקב בר‏‎ ‎‏משה נפט׳‏‎ ‎‏יו׳ ד׳ י׳ כסליו‏‎ ‎‏ת״ך ל׳‏‎","1659","11","25"
"bbr-30","‎‏פ״ט‏‎ ‎‏האשה החשובה‏‎ ‎‏והכשירה מרת‏‎ ‎‏הענדלכא שהיתה‏‎ ‎‏אשה ליאקב הכהן‏‎ ‎‏מלעכעניך נפטרת ביום‏‎ ‎‏ד׳ י״ב מרחשון תרכ״ב לפ״ק‏‎ ‎‏ונקברת ביום עש״ק‏‎ ‎‏תנצב״ה‏‎","1861","10","16"
"bbr-31","‎‏פ״ט‏‎ ‎‏איש ישר אוהב שלום‏‎ ‎‏דוד בר אברהם מבראהל‏‎ ‎‏שנפטר ביום ב׳ י״א אדר‏‎ ‎‏תרל״ג לפ״ק תנצב״ה‏‎ David Berg geb. 27. August 1799 gest. 10. März 1873.","1873","3","10"
"bbr-32","... ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"bbr-33","","","",""
