"id","transcription","year","month","day"
"blu-1","‎‏פ״נ‏‎ ‎‏אברהם בר יעקב // מנחם בר יעקב‏‎ Hier ruhen Martin Haas // Alexander Haas geb. 17. April 1878 // geb. 13. Juni 1885 gest. 4. Okt. 1936 // gest. 11. April 1936 ‎‏תנצב״ה‏‎","1936","4","11"
"blu-10","‎‏פ״נ‏‎ Hier ruht in Frieden mein innigstgeliebter Gatte, unser guter Vater David Rothschild * 17. März 1866, gest. 2. Januar 1924 Zum Friedhof fuhr man dich hinaus, doch aus unserem Herzen ziehst du nie hinaus","1924","1","2"
"blu-1005","‎‏פ״נ‏‎ ‎‏אברהם בר יעקב‏‎ ‎‏נפטר ביום ד׳ טבת תרצ״ב‏‎ Hier ruht Abraham Kaufmann geb. 26.1.1859 gest. 13.12.1931 4. Teweth 5692 ‎‏תנצב״ה‏‎","1931","12","13"
"blu-11","‎‏פ״נ‏‎ ‎‏אשת חיל כל ימיה‏‎ ‎‏מינה בת מאיר‏‎ ‎‏נפטרה ביום כ״ה טבת‏‎ ‎‏שנת תרפ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht unsere gute, treusorgende Mutter Frau Jakob Haas Wilhelmine Haas geb. Meyer Wilhelmine, geb. Meyer, geb. 31. März 1851 gest. 13. Jan. 1923. Auf Wiedersehn!","1923","1","13"
"blu-12","Hier ruht in Gott unser lieber Sohn und Bruder Josef Kaufmann geb. 18. Oktober 1899, gest. 19. April 1919. Ruhe in Frieden!","1919","4","19"
"blu-13","","","",""
"blu-14","‎‏פ״נ‏‎ ‎‏איש ישר הלך תמים‏‎ ‎‏משה בר מנחם מת‏‎ ‎‏ביום כ״ה חשון תרע״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Moses Haas geb. 17. Mai 1834 gest. 10. Nov. 1917.","1917","11","10"
"blu-15","‎‏פ״נ‏‎ ‎‏אשת חיל תפארת‏‎ ‎‏בעלה מתה בשיבה‏‎ ‎‏טובה ביו׳ י״ג אלול‏‎ ‎‏רענחה בת ישיהו‏‎ ‎‏תנצב״ה‏‎ Ruhe sanft! Frau Abraham Kaufmann geb. Baum geb. 17. Mai 1832, gest. 4. Sept. 1914.","1914","9","4"
"blu-16","‎‏פ״נ‏‎ Hier ruht unser lieber Gatte und Vater Moses Rothschild geb. 25. Januar 1857, gest. 9. März 1914. ‎‏תנצב״ה‏‎ Zu früh schlug uns die bittre Stunde, Gott dich aus unsrer Mitte rief. Zum ewigen Gedenken Berta Rotschild geb. Kaufmann Ernst, Lina u. Auguste Rotschild","1917","3","9"
"blu-17","‎‏פ״נ‏‎ ‎‏האשה החשובה יראת אלהים‏‎ ‎‏מ׳ בילה בת דוד‏‎ ‎‏אשת שמואל בר אברהם‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott meine liebe Gattin Bertha Kaufmann geb. Hausmann geb. 2. Juni 1869 zu Wachenheim (Pfriem) gest. 20. Dezer. 1911.","1911","12","20"
"blu-18","‎‏פ״[נ]‏‎ ‎‏אשה חשובה עטר[ת]‏‎ ‎‏בעלה וב[נ]יה [י]ראת אל[הים]‏‎ ‎‏[ב]כל [ימ]יה [ה״ה] מרת‏‎ ‎‏פערלה [א]שת [...] י[ע]קב‏‎ ‎‏בר שלמ[ה] מתה ב[ז]קנה‏‎ ‎‏י׳ כ״ח [ח]ש[ון] תר[נ״ג] לפ״[ק]‏‎ ‎‏תנצב״ה‏‎ Hier ruhet friedlich Sibylla Kaufmann g[eb]. Heumann gest. [a]m 18. Nov. 1892 [...] ihre [...]","1892","11","8"
"blu-19","‎‏פ״נ‏‎ ‎‏איש ישר ותמים‏‎ ‎‏פועל טוב כל ימיו‏‎ ‎‏[...] יעקב בר שלמה‏‎ ‎‏[... ב]כו אחריו אשתו‏‎ ‎‏[וב]ניו וכל ידעיו‏‎ ‎‏[מ]ותו ביום א׳ דר״ח‏‎ ‎‏תמוז תר״ן לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Kappel Kaufmann gest. am 18. Juni 1890 71 Jahre alt.","1890","6","18"
"blu-2","‎‏פ״נ‏‎ ‎‏האשה // החבר‏‎ ‎‏רנכן בת שמואל ׃ // משה מיכאל בר שלמה‏‎ Emanuel // Regina Kaufmann Kaufmann // geb. Fromm geb. 3. Sept. 1851 // geb. 19. Mai 1852 gest. 14. März 1937 // gest. 25. Okt. 1935 2. Nissan 5697 // 29. Tischri 5696 ‎‏תנצב״ה‏‎","1935","10","25"
"blu-20","‎‏פ״נ‏‎ ‎‏אשה ישרה‏‎ ‎‏ה״ה ינכה בת אשר‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Finchen Kaufmann geb. Moses 8.1.1873, gest. 19.12.1923.","1923","12","19"
"blu-21","‎‏פ״נ‏‎ ‎‏אשת חיל יראת אלקים‏‎ ‎‏בילה בת מנחם מתה‏‎ ‎‏ביום ל׳ כסלו תרפ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Sybilla Haas geb. 21. Juni 1836, gest. 8. Dez. 1923","1923","12","8"
"blu-22","","","",""
"blu-23","Hier ruht meine liebe Gattin Frau Samuel Kaufmann, Amalie Kaufmann geb. Sühskind Amalie geb. Sühskind geb. 22. Juni 1852 gest. 5. Jan. 1918 ‎‏תנצב״ה‏‎","1918","1","5"
"blu-24","Hier ruht unser lieber Sohn u. Bruder Julius Heumann geb. 19.8.1890 gest. den Heldentod 8.10.1918","1918","10","8"
"blu-25","‎‏פ״נ‏‎ ‎‏חיים בר יעקב‏‎ ‎‏אהב אשתו וילדיו‏‎ ‎‏נאמן במלאכתו‏‎ ‎‏אהב אל באמונה‏‎ ‎‏מת ביום י״ט תשרי תרע״ב‏‎ ‎‏תנצב״ה‏‎ Hier ruht Hermann Kaufmann geb. 22.9.1851 zu Hellenthal gest. 11.10.1911 zu Köln-Ehrenfeld Man hat Dich in das Grab gesenket, geliebter Vater, ruhe wohl!","1911","10","11"
"blu-26","‎‏פ״נ‏‎ ‎‏האשה יקרה‏‎ ‎‏קילכא בת‏‎ ‎‏אברהם הלוי‏‎ ‎‏מתה ביום י״ח‏‎ ‎‏כסלו תרע״א‏‎ ‎‏תנצב״ה‏‎ Hier ruht unsere liebe Mutter Frau Nathan Löwenstein geb. Meyer geb. 15.5.1829, gest. 18.12.1910.","1910","12","18"
"blu-27","‎‏פ״נ‏‎ ‎‏איש טוב ותם‏‎ ‎‏יעקב בר מנחם‏‎ ‎‏מת ביום כ״ח‏‎ ‎‏תשרי תרע״א‏‎ ‎‏תנצב״ה‏‎ Jacob Haas geb. 6. Aug. 1843, gest. 30. Okt. 1910. Ruhe in Frieden.","1910","10","30"
