"id","transcription","year","month","day"
"bom-1","‎‏[...]מ[...]‏‎ ‎‏‏‎ ‎‏צ[...]‏‎ ‎‏הלז [...]‏‎ ‎‏מר[ת ...]‏‎ ‎‏שרה ב[ת ...]‏‎ ‎‏שלמה [...]‏‎ ‎‏א׳ בטבת [...]‏‎ ‎‏[ל]פרט ונ[...]‏‎ ‎‏[.]גן עדן [...]‏‎ ‎‏אמן [...]‏‎","","",""
"bom-10","‎‏...‏‎ ‎‏[...]‏‎ ‎‏[... בגן] עדן א[מן]‏‎ ‎‏[אמ]ן אמ[ן סלה]‏‎","","",""
"bom-11","","","",""
"bom-12","‎‏...‏‎ ‎‏[...]‏‎ ‎‏[...]דוד[...]‏‎ ‎‏[...]׳ רח׳ [...]‏‎ ‎‏...‏‎","","",""
"bom-13","‎‏...‏‎ ‎‏ה[...]‏‎ ‎‏לרא[...]‏‎ ‎‏...‏‎","","",""
"bom-14","‎‏פ[...]‏‎ ‎‏נקבר[...]‏‎ ‎‏שלימ[...]‏‎ ‎‏שמשו[...]‏‎ ‎‏ביום ד׳ [...]‏‎ ‎‏שנת נ׳ [...]‏‎ ‎‏ונשמ[...]‏‎ ‎‏...‏‎","1289","10","10"
"bom-15","‎‏...‏‎ ‎‏נשמת[. בגן]‏‎ ‎‏עדן א׳ [א׳ א׳ ...]‏‎","","",""
"bom-16","‎‏[...] לרא׳‏‎ ‎‏[...]ובה‏‎ ‎‏[...]׳‏‎ ‎‏...‏‎","","",""
"bom-17","‎‏[א]בן פנה‏‎ ‎‏[...]וה[...]‏‎ ‎‏[...]ה׳ חש[ון...]‏‎ ‎‏[...]ד׳ ת[...]‏‎","","",""
"bom-18","‎‏[...]‏‎ ‎‏ברו[...]‏‎ ‎‏הנע[...]‏‎ ‎‏וחכ[...]‏‎ ‎‏קלונ[...]‏‎ ‎‏בשב[...]‏‎ ‎‏ע׳ לפ[...]‏‎ ‎‏בגן ע[...]‏‎","","",""
"bom-2","‎‏...‏‎ ‎‏[...]קב נפט[...]‏‎ ‎‏[...] כסליו ש[...]‏‎ ‎‏[...] לפרט א[...]‏‎ ‎‏[...]ש[...]‏‎ ‎‏...‏‎","","",""
"bom-3","‎‏[פ]ה נקבר‏‎ ‎‏[...]א‏‎ ‎‏...‏‎","","",""
"bom-4","‎‏...‏‎ ‎‏לראש [...]‏‎ ‎‏גיטלין ב[...]‏‎ ‎‏משה ה[...]‏‎ ‎‏ביום ב׳ [...]‏‎ ‎‏במ[.]חש[...]‏‎ ‎‏נ״ג לפרט [...]‏‎ ‎‏ונשמת[...]‏‎ ‎‏...‏‎","1292","10","10"
"bom-5","‎‏פה נק[ברת]‏‎ ‎‏מרת [...]‏‎ ‎‏בת ר׳ [...]‏‎ ‎‏הנפט[רת]‏‎ ‎‏ביום ד׳ [...]‏‎ ‎‏בשבט [...]‏‎ ‎‏לפרט [...]‏‎ ‎‏בגן ע[דן]‏‎ ‎‏[...]‏‎ ‎‏...‏‎","","",""
"bom-6","‎‏[...]‏‎ ‎‏ההגו[...]‏‎ ‎‏מרת ב[...]‏‎ ‎‏ר׳ משה [...]‏‎ ‎‏מבערק[...]‏‎ ‎‏נפטרה [...]‏‎ ‎‏יום ב׳ ס׳ ב׳ [...]‏‎ ‎‏אלף הש[...]‏‎ ‎‏נשמת[...]‏‎ ‎‏עדן א[...]‏‎ ‎‏אמן [...]‏‎","","",""
"bom-7","‎‏...‏‎ ‎‏[...]‏‎ ‎‏[...] ס׳ ב׳‏‎ ‎‏[...] הש‏‎ ‎‏[...]ן ע׳‏‎ ‎‏[...]לה‏‎","","",""
"bom-8","‎‏...‏‎ ‎‏[...]‏‎ ‎‏[...]ך ס׳ [...]‏‎ ‎‏[...] ונש[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎","","",""
"bom-9","‎‏[...]‏‎ ‎‏מר[...]‏‎ ‎‏בת ר[...]‏‎ ‎‏[...]‏‎ ‎‏...‏‎","","",""
