"id","transcription","year","month","day"
"brh-1","‎‏פ״נ‏‎ ‎‏איש ישר‏‎ ‎‏כ״ה מרדכי בן כ״ה יה[ודה]‏‎ ‎‏[קוי]פמאנן מ#״1ג#״5רצוויל[ר]‏‎ ‎‏[...] ונקבר יום ו׳ כ״ב‏‎ ‎‏כס[ליו ... לפ״ק]‏‎ ‎‏[ת]נצ[ב״ה]‏‎ [...] [...] innigstgeliebten Gatten Vater und Bruder Herr Markus Kaufmann geb. am 15. März 1813 zu Garzweile[r] gest. am [2]8. November 186[6] zu Brühl","1866","11","28"
"brh-10","‎‏פ״ט‏‎ ‎‏היקר כ׳ מיכל ב״ה‏‎ ‎‏יאקב כ״ץ זצ״ל נפטר‏‎ ‎‏בעש״ק ג׳ דח״ה סכות‏‎ ‎‏ונקבר ביו׳ הושענה‏‎ ‎‏רבה שנת התקפ״ג‏‎ ‎‏תנצב״ה‏‎","1822","10","4"
"brh-12","‎‏פ״נ‏‎ ‎‏איש תם וישר כ״ה פינחס‏‎ ‎‏בר אברהם יום ג׳ כ״ב תמוז‏‎ ‎‏שבה רוחו אל אשר נתנה‏‎ ‎‏וביום ד׳ כ״ג גויתו הטמנה‏‎ ‎‏שנת תקצ״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","1837","7","25"
"brh-13","‎‏פ״נ‏‎ ‎‏איש תם וי[ש]ר ירא‏‎ ‎‏אלדים וממצות[יו ל]א סר‏‎ ‎‏ה״ה יהודה המ׳ ליב ב[נ(?) יע(?)]קב ז״ל‏‎ ‎‏שבה רוחו אל אש[ר נ]תנה‏‎ ‎‏ליל ה׳ א׳ דר״ח אדר ראשון‏‎ ‎‏וגויתו הטמנה ב׳ לחדש שנת‏‎ ‎‏תר[י״ג] לפ״ק וצדקתו עומדת לעד‏‎ ‎‏תנצב״ה‏‎","1853","2","9"
"brh-14","‎‏פ״נ‏‎ ‎‏מנשים באהל כבודה מרת‏‎ ‎‏שילה בת כ׳ שמעון ז״ל‏‎ ‎‏אשת [מ]ש[ה] הכהן [מ]בריהל‏‎ ‎‏נפט[...] שנת‏‎ ‎‏תר״ח לפ״ק תנצב״ה‏‎","1848","6","23"
"brh-15","‎‏זאת המצבה‏‎ ‎‏[...] מבנה ומבנותיה‏‎ ‎‏[...] אמם הישרה‏‎ ‎‏[ה]שוכבת תחתיה מרת‏‎ ‎‏שרה בת שמואל מתה‏‎ ‎‏[..]ה ביום ד׳ ל׳ סיון תר״ל לפ״ק‏‎ ‎‏תנצב״ה‏‎ Sara Baer gest. 29. Juni 1870 Sie ruhe in Frieden","1870","6","29"
"brh-16","‎‏‏‎","","",""
"brh-17","‎‏פ״נ‏‎ ‎‏האשה חוה בת יצחק גדליה‏‎ Hier ruht Frau Eva Sander geb. Sürth geb. 16. März 1848, gest. 1. April 1919 ‎‏פ״נ‏‎ ‎‏הבתולה רסכה בת יעקב‏‎ Hier ruht Rosa Sürth geb. 6. Nov. 1903, gest. 2. August 1918 ‎‏תנצב״ה‏‎","1919","4","1"
"brh-18","Kriegsgefangener Monnes Dubrowitz ‎‏מונעס דוברויץ‏‎ ‎‏געזטארבען ביום‏‎ ‎‏ד׳ יולי תרע״ז לפ״ק‏‎ ‎‏געוודמעט פאן‏‎ ‎‏זיינען קאמעראדען‏‎","1917","7","4"
"brh-19","‎‏פ״נ‏‎ ‎‏הבתולה החשובה‏‎ ‎‏דינה בת מרדכן‏‎ ‎‏נפט׳ י״ד אלול תרע״ו‏‎ ‎‏תנצב״ה‏‎ Hier ruht Dina Wolff geb. 10. Juni 1857, gest. 13. Sept. 1916","1916","9","12"
"brh-2","","","",""
"brh-20","David Fröhlich geb. in Brühl 19.8.1831 gest. in Brühl 10.11.1920 ‎‏מת כ״ט מרחשון תרפ״א‏‎","1920","11","10"
"brh-21","","","",""
"brh-22","","","",""
"brh-23","","","",""
"brh-24","","","",""
"brh-25","","","",""
"brh-26","","","",""
"brh-27","","","",""
"brh-28","","","",""
"brh-29","","","",""
"brh-3","‎‏פ״נ‏‎ ‎‏איש ירא שמים‏‎ ‎‏הלך באור חיים רק‏‎ ‎‏אמת בלבבו שקר‏‎ ‎‏אין בלשונו זן אשתו‏‎ ‎‏ובניו מיגיע כפיו עד‏‎ ‎‏שיגדלו נערים אז י...‏‎ ‎‏עניניו וימלא בטוב ימיו‏‎ ‎‏עד אחת ושבעים שנה‏‎ ‎‏הוא אהרן בר משה‏‎ ‎‏יחיאל כ״ץ מת ביום ד׳ ‏‎ ‎‏כ״ז כסלו תרל״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1873","12","17"
"brh-30","","","",""
"brh-31","","","",""
"brh-32","","","",""
"brh-33","","","",""
"brh-34","","","",""
"brh-35","‎‏פ״נ‏‎ ‎‏איש ישר [...] ה׳‏‎ ‎‏[...]מיו [...]‏‎ ‎‏[־־־]‏‎","1884","9","11"
"brh-36","‎‏פ״נ‏‎ ‎‏איש ירא ה׳ ומהולל‏‎ ‎‏בשערים בעבור‏‎ ‎‏מעשיו הטובים והישרים‏‎ ‎‏משה יוסף בן יעקב ז״ל ‏‎ ‎‏מת ביום ג׳ כ״ז מרחשון‏‎ ‎‏תרמ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1883","11","27"
"brh-37","‎‏פ״נ‏‎ ‎‏אשה מהוללה בשערים‏‎ ‎‏בעבור מעשיה הישרים‏‎ ‎‏מרת שונכה בת יצחק‏‎ ‎‏מתה ביום ו׳ טבת‏‎ ‎‏תרמ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Frau Jakob Bähr geb. Blum geb. in Lächenich im Jahre 1796 gest. 15. Dec. 1882 in Brühl","1882","12","15"
