"id","transcription","year","month","day"
"c06-1","‎‏פ׳ נ׳‏‎ ‎‏התורני כ״ה ליב בן הגאון מהורר קלמן‏‎ ‎‏באנדינער מת כ״ז אייר ת״ר״ב״ לפ״ק‏‎ ‎‏האיש המשכיל במדע וחכמה‏‎ ‎‏סופר מהיר אסף חכמה אסף דעת‏‎ ‎‏ומזימה וגם במקרה ובמשנה ידו‏‎ ‎‏רמה מעט ורעים היו ימי חיי׳‏‎ ‎‏תקוה ויראת אלהים תמיד לנגד עיני׳‏‎ ‎‏ת׳ נ׳ צ׳ ב׳ ה׳‏‎","1842","5","7"
"c06-10","","","",""
"c06-1007","","","",""
"c06-1009","","","",""
"c06-11","","","",""
"c06-12","","","",""
"c06-13","","","",""
"c06-14","","","",""
"c06-15","","","",""
"c06-16","","","",""
"c06-17","","","",""
"c06-19","","","",""
"c06-2","‎‏תק סט ל פ״נ‏‎ ‎‏איש ישר וכש‏‎^%_‏‎ ‎‏הולך בדרך ת‏‎ ‎‏תמים ה״ה כ׳‏‎ ‎‏ליפמן בן יש‏‎ ‎‏נקבר ך״ח חשון‏‎ ‎‏ת׳ נ׳ צ׳ ב׳ ה׳‏‎","1808","11","18"
"c06-20","","","",""
"c06-21","","","",""
"c06-22","","","",""
"c06-23","","","",""
"c06-24","","","",""
"c06-25","‎‏[־־־]‏‎ ‎‏משר שהלכ׳‏‎ ‎‏לחיי עלמה‏‎ ‎‏ביום ג׳ כ״ה‏‎ ‎‏תשרי תק ל׳‏‎ ‎‏תנצבה‏‎","","",""
"c06-27","‎‏פ״ט‏‎ ‎‏איש ישר כהר חינך‏‎ ‎‏ת׳נ׳צ׳בה׳ כהן מלביד‏‎ Tief betrauert von Weisen und Wittw. hier ruhet deine A sche in Friden u deine Sehle in ... Alle Lust geschl... nicht","","",""
"c06-28","‎‏ביו׳ ד׳ ט׳ אדר‏‎ ‎‏ת׳ס׳ד ל׳ נקבר האש׳‏‎ ‎‏חשוב׳ מ׳ טעלצל‏‎ ‎‏בת כ׳ קאפיל ז״ל‏‎ ‎‏אשת כ׳ מייזל יץ‏‎ ‎‏ת׳ נ׳ צ׳ ב׳ ה׳‏‎","1704","2","14"
"c06-29","‎‏פ׳נ‏‎ ‎‏הנעל׳ כ׳ אברה׳‏‎ ‎‏בר צבי סגל ז״ל‏‎ ‎‏משאסןרייט‏‎ ‎‏נק׳ א׳ י״ח שבט‏‎ ‎‏תק״א לפ׳ק׳‏‎ ‎‏ת׳נ׳צ׳ב׳ה׳‏‎","1741","2","4"
"c06-3","‎‏זאת מצבת איש הולך‏‎ ‎‏תמים זקן ושבע,‏‎ ‎‏שמואל בן צבי‏‎ ‎‏בלייאער מלאבאנט,‏‎ ‎‏מת ז׳ כסליו שנת‏‎ ‎‏ת׳ר׳י״א ל בן עד שנים‏‎ ‎‏ת״נ״צ״ב״החיי״ם‏‎ Hier ruhet der redliche Mann Samuel Bleier aus Labant, gest. am 11. Novemb. 1850, in einem Alter v. 74 Jahre. Friede seiner Asche.","1850","11","11"
"c06-30","‎‏פנ‏‎ ‎‏האשה חשובה‏‎ ‎‏מ׳ ראכל אשת כ׳‏‎ ‎‏אברהם מאוש[וי]‏‎ ‎‏נפטרת ביום ב׳ ך״ה‏‎ ‎‏סיון תקעד ל׳‏‎ ‎‏ת׳ נ׳ צ׳ ב׳ ה׳‏‎","1814","6","13"
"c06-31","‎‏פ׳נ׳‏‎ ‎‏אשת חיל מ׳‏‎ ‎‏חי׳ ריזל אשת‏‎ ‎‏כ׳ יוסף פישל‏‎ ‎‏נ׳ונ׳ יום ו׳ י׳ אלול‏‎ ‎‏שנת תקע״ז ל‏‎","1817","8","22"
"c06-32","‎‏פ נ‏‎ ‎‏יום ו׳ ע׳ש׳ק׳ ך״ג‏‎ ‎‏מנחם ת׳ק׳י׳ט׳ לפק‏‎ ‎‏אשה חשובה‏‎ ‎‏והצנועה מרת‏‎ ‎‏ציפרל אשת התו‏‎ ‎‏מו״ה ליב ש״ץ ת׳נ׳צ׳ב׳ה׳‏‎","1759","8","17"
"c06-33","‎‏ביום ה׳ ך״ז אייר ת׳ר׳י׳א׳ ל׳‏‎ ‎‏פ״ט‏‎ ‎‏האשה חשובה מ׳ גאלדה‏‎ ‎‏אשת כ׳ דוד עסטרייכער‏‎ ‎‏מלאבאנד הלכה בדרך‏‎ ‎‏טובים עטרת בעלה‏‎ ‎‏ותפארת בניה .‏‎ ‎‏ת׳ נ׳ צ׳ ב׳ ה׳‏‎","1851","5","29"
