"id","transcription","year","month","day"
"elm-1","Julius Stoppelman geb. 6. Jan. 1874 gest. 5. Mai 1936 13. Ijar 5696 ‎‏לך בשלום למנוחתך‏‎ ‎‏ותשבע מפרי מעשיך‏‎ ‎‏תנצב״ה‏‎","1936","5","5"
"elm-10","‎‏פ״נ‏‎ ‎‏הבחור יצחק ב״ר‏‎ ‎‏אברהם כ״ץ נולד‏‎ ‎‏ביום הכפורים ש׳‏‎ ‎‏תרי״ב ונפטר בק״ק‏‎ ‎‏האמבורג ביום ג׳ ט׳‏‎ ‎‏אייר ופה לקבורה‏‎ ‎‏הובל ביום עש״ק‏‎ ‎‏י״ב בו ש׳ תר״נ לפ״ק‏‎ ‎‏תנצב״ה‏‎","1890","4","29"
"elm-100","‎‏[־־־]‏‎ ‎‏ותמים ר׳ דוד בן ר׳‏‎ ‎‏[מש]ה ז״ל נפט׳ ביו׳‏‎ ‎‏[...] אדר ראשון‏‎ ‎‏[...] ל[...]‏‎ ‎‏[־־־]‏‎","1878","2","21"
"elm-1004","‎‏פ״ט‏‎ ‎‏הבתולה היקרה מרת‏‎ ‎‏רעסכה בת כ״ה מיכל‏‎ ‎‏בן ר׳ מרדכי הכהן ז״ל‏‎ ‎‏אשר נפטרת בשם טוב‏‎ ‎‏רך בשנים ביום ג׳ ח״י‏‎ ‎‏לחדש מרחשון ונקברת יום‏‎ ‎‏ה׳ ך׳ בו ׃ שנת תר״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎","1845","11","18"
"elm-1008","‎‏פ״נ‏‎ ‎‏א[יש] תם [וישר זקן] בא בימים‏‎ ‎‏שה[...] בבית [...] הלך עם יי‏‎ ‎‏עשה מש[פט וצ]דקה ה״ה ר׳‏‎ ‎‏מיכאל ב״ר מרדכי כהן‏‎ ‎‏נפטר [...] שבט [ת]רכ״ח‏‎ ‎‏תנצב״ה‏‎","1868","2","19"
"elm-101","‎‏פ״נ‏‎ ‎‏האש[ה החשו]בה והי[שרה] מ׳‏‎ ‎‏שר[ה בת ר׳] משה [נפטר]ה‏‎ ‎‏בהשכמה ביום ה׳ [...]‏‎ ‎‏[...] ונקברה ביום [...]‏‎ ‎‏[...] שנת תר[ל״ח] לפ״ק‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎","1877","12","6"
"elm-1010","","","",""
"elm-102","Ruhestätte für Sara Herz gest. d. 27. Januar 1877, im 82. Lebensjahr.","1877","1","27"
"elm-1028","‎‏פ״נ‏‎ ‎‏האשה שינכא בת אהרון‏‎ ‎‏נפטרה ביום ג׳ כ״ו באב תרס״ז לפ״ק‏‎ ‎‏ונקברה ביום ה׳ כ״ח באב‏‎ ‎‏תנצב״ה‏‎ ‎‏פ״נ‏‎ ‎‏האיש ר׳ אליהו ב״ר משה‏‎ ‎‏מת ביום ה׳ טבת תרע״ה לפ״ק‏‎ ‎‏ונקבר ביום ז׳ טבת‏‎ ‎‏תנצב״ה‏‎","1907","7","2"
"elm-103","‎‏פ״נ‏‎ ‎‏האיש הזקן ר׳ [יהו]דה בן ר׳‏‎ ‎‏פנחס [...] חשון‏‎ ‎‏ונק[בר ...] לפ״ק‏‎ ‎‏[־־־]‏‎","1876","11","9"
