"id","transcription","year","month","day"
"erc-101","‎‏[־־־]‏‎ ‎‏[א]ם נאמנה ואהובה מכל בניה, בטח‏‎ ‎‏בה לב בעלה וכל מעשיה ישרים ׃‏‎ ‎‏מ׳ הינדא בת כ״ה ברוך ז״ל‏‎ ‎‏מתה בעש״ק כ״ו אדר תרכ״ה‏‎ ‎‏תנצב״ה‏‎ Johanne Braun geb. Abrahamsohn geb. 13. Mai 1812, gst. 24. März 1865.","1865","3","24"
"erc-102","‎‏[־־־]‏‎ ‎‏הילדה פאגעל בכ״ה‏‎ ‎‏בנימין זאב וואלף‏‎ ‎‏נפט׳ בש״ק ג׳ תשרי שנת‏‎ ‎‏תרכ״ו ׃ תנצב״ה‏‎ Fannÿ Wolff [...] [...]","1865","9","23"
"erc-103","‎‏[־־־]‏‎ ‎‏איש נאמן במלאכתו וכל עסקיו הם בתמים‏‎ ‎‏אך בתוך שנתיו נפל על ערש דוי פתאום‏‎ ‎‏עלה עליו הכרת ואיננו ורוחו שב למרום‏‎ ‎‏הבח׳ דוד ב״ר נפתלי באכמאן‏‎ ‎‏נפט׳ ביו׳ ה׳ א׳ דר״ח אלול תרכ״ד תנצב״ה‏‎ Hier ruhet David Bachmann geb. d. [...] Mai 1813, gest. d. 31. Aug. 18[64]","1864","8","31"
"erc-104","‎‏עד הגל הזה ועדה המצבה על קבר האשה‏‎ ‎‏חשובה ויקרה ממשפחת טובים בטח בה לב‏‎ ‎‏בעלה ועל לבו הורח שמה נצח לזכרון‏‎ ‎‏עד יתאחדו שנית עת יבא קצו לבצרון‏‎ ‎‏מ׳ חיי׳ ייטל אשת ר׳ יואל גליק‏‎ ‎‏נפט׳ ביו׳ ד׳ י״ב תשרי תרל״ב לפ״ק‏‎ ‎‏בצרור החיים נשמתה ופה בכבוד מנוחתה ׃‏‎ Hier ruhet in Frieden Frau Henriette Glück geb. Josky geb. d. 24. Mai 1814 gest. d. 27. Sept. 1871","1871","9","27"
"erc-105","‎‏פ״נ‏‎ ‎‏האיש החכם ומושלם הישר‏‎ ‎‏[...] פזר נתן לאביונים‏‎ ‎‏א[...]פג[...]מן [...]בו‏‎ ‎‏[...] בבריאת‏‎ ‎‏[...]יו מבוראו‏‎ ‎‏[...] בן הר׳ אליעזר‏‎ ‎‏[...] ביום ש״ק‏‎ ‎‏[...] שבט תר״א‏‎ ‎‏[...]‏‎","1841","2","6"
"erc-106","‎‏איש כארז פה מצא קבר, מת בדמי ימיו‏‎ ‎‏כי עלה המות בחלניו, החזיק ידי אביונים‏‎ ‎‏ועצמה הרבה לאין אונים, לכן צדק לפניו‏‎ ‎‏יהלך אל ארץ החיים, שם קבץ לו מטמון‏‎ ‎‏אשר טמן בשמים ׃ ה״ה כ״ה‏‎ ‎‏ישראל בכ״ה יהודה ליב ראזענטהאל כ״ץ‏‎ ‎‏מת ביו׳ ה׳ כ״ז חשון תרי״ט ׃ תנצב״ה ׃‏‎ Israel Rosenth[al] [...] 22. Febr. [...]","1858","11","4"
"erc-107","‎‏איש נאמן במלאכת הרפואה, גם עסק‏‎ ‎‏וטרח כל ימיו בצרכי ציבור באמונה ׃‏‎ ‎‏כ״ה מרדכי בכ״ה לוי ז״ל‏‎ ‎‏פתאום עליו הכרת ואיננו כי לקח‏‎ ‎‏אתו אלהי׳ ביו׳ ג׳ כ״ו סיון תרכ״ב ׃ תנצב״ה‏‎ Hier ruht in Frieden der Militaerarzt a.D. Dr. Ludwig Meyer","1862","6","24"
"erc-108","‎‏פ״נ‏‎ ‎‏על אלה אני בוכיה אשא‏‎ ‎‏קול נהי וקינה, כי רחק ממני‏‎ ‎‏מנחם משיב נפשי, האברך‏‎ ‎‏רך בשנים, הבחר מנחם‏‎ ‎‏מניס בר״ר ר׳ חיים מאאס‏‎ ‎‏נפטר ביום ד׳ כ״ז טבת‏‎ ‎‏ונקבר ביום ה׳ תקצ״ח לפ״ק‏‎ ‎‏תנצב״ה עשצ״ז ב״ע אמן‏‎ Dieser Stein deckt die irdischen Ueberreste des in schönster Jugend[...] [---]","1838","1","24"
"erc-109","‎‏פ״נ‏‎ ‎‏האשה חשו׳ הצנו׳ וחסוד׳‏‎ ‎‏ירא׳ ה׳ בכל לב וכל נפשה‏‎ ‎‏תענוגי עולם לא חשבה‏‎ ‎‏כל חלי׳ ומכאו׳ קבלה באהבה‏‎ ‎‏עד רגע אחרו׳ בצא׳ נשמת׳‏‎ ‎‏א״ח מ׳ שינכי בר״א יהושע‏‎ ‎‏אשת ב׳ זאקס נפט׳ ביו׳ ב׳ כ״ו‏‎ ‎‏תמוז ונקב׳ ביו׳ ד׳ תר[...]‏‎ ‎‏נתצ״ב עש״צ עול[...]‏‎","1842","7","4"
"erc-110","‎‏פ״נ‏‎ ‎‏האשה חשובה‏‎ ‎‏והמהוללה צנועה‏‎ ‎‏היתה במעשיה‏‎ ‎‏כל ימיה הלכה‏‎ ‎‏בדרך ישרה לעני‏‎ ‎‏פרשה כפה, וידיה‏‎ ‎‏לאביון שלחה מצות‏‎ ‎‏ה׳ שמרה,‏‎ ‎‏מרת גוטל בת‏‎ ‎‏החב׳ ר׳ יחיאל‏‎ ‎‏מיכל ז״ל אשת‏‎ ‎‏החב׳ ר׳ שלמה זלמן‏‎ ‎‏בנארי ז״ל, נפטרה‏‎ ‎‏ביום ה׳ י״ט טבת‏‎ ‎‏ונקברה‏‎ ‎‏ביום א׳ תקצ״ג‏‎ ‎‏לפ״ק, נתצב״ה עשצ״ע‏‎ ‎‏ב״ע א׳‏‎","1833","1","10"
"erc-111","‎‏פ״נ‏‎ ‎‏בתי הבתולה‏‎ ‎‏רזל בת ה׳ אברהם משה‏‎ ‎‏פאללאק נפטרה בש״ט‏‎ ‎‏כ״ח חשון‏‎ ‎‏בשנת תרל״ה‏‎ ‎‏תנצב״ה‏‎ Ruhe sanft wie Du lebtest","1874","11","8"
"erc-112","‎‏היער רוהט‏‎ ‎‏דיא ט[..]סטע גאטטין‏‎ ‎‏דיא בעסטע מוטטער‏‎ ‎‏אונד פאללקאממענסטע‏‎ ‎‏הויספרויא‏‎ ‎‏זאפיע קאהען‏‎ ‎‏געב. אונגער‏‎ ‎‏געב. [...] יאנואר 1722‏‎ ‎‏[...]‏‎","1856","5","26"
"erc-113","‎‏פ״נ‏‎ ‎‏בתולה האננע בת כ״ה‏‎ ‎‏מאיר בוימגארטען‏‎ ‎‏מת׳ ביו׳ ב׳ כ״ז כסליו תרט״ו ל״ק‏‎ ‎‏תנצב״ה‏‎","1854","12","18"
"erc-114","‎‏שם טוב בחיים? [...] להניח לנו ב[...]תיך‏‎ ‎‏לתפארת בנ[יך] יהיה כי ילכו בעקבותיך‏‎ ‎‏מה נעים הו[דו?]ת לך על רב טוב גמלתנו‏‎ ‎‏הנה אך בזאת חפצת בדרך ישר להדריכנו‏‎ ‎‏בניך ואשתך יזלו דמעות אחריך רב ויתרון‏‎ ‎‏ר[ב?] אהבתך תמיד יעלה על לוח לבם לזכרון‏‎ ‎‏מעשי צדקותיך בארץ המה ילכו לפניך‏‎ ‎‏אל מרום עלית לחסות באלהי שמים‏‎ ‎‏יהי משכורתך שלמה בעליונים מאת קונך‏‎ ‎‏רוחך ונשמתך יתענגו שם בארץ החיים‏‎ ‎‏כ״ה שלמה בן כ״ה מאיר‏‎ ‎‏נפט׳ ביו׳ א׳ כ״ו אדר תרל״ז לפ״ק תנצב״ה‏‎ Hier ruht der Kaufmann Herr Salomon Meyer geb. d. [...] August [...]","1877","3","11"
"erc-115","‎‏מצבת קברת‏‎ ‎‏הילדה מאידעל המכ׳ מאטהילדע‏‎ ‎‏בכ״ה איסר מאאס ׃ נפטר׳ והלכה‏‎ ‎‏לחיי נצח בת י״ג שנים ביו׳ ד׳ כ׳ סיון‏‎ ‎‏שנת תרי״ח לפ״ק ׃ תנצב״ה‏‎ Mathilde I. Moos [...] [...] [...] [...]","1858","6","2"
"erc-116","","","",""
"erc-117","‎‏פ״נ‏‎ ‎‏איש צדיק [הלך]‏‎ ‎‏תמיד דרך טובים‏‎ ‎‏ה״ה ר׳ אליעזר בר‏‎ ‎‏אליהו היילברון מת‏‎ ‎‏ביום ש״ק ג׳ מרחשון‏‎ ‎‏ונקבר ביום ב׳ ה׳ בו‏‎ ‎‏תרל״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","1876","10","21"
"erc-118","‎‏פ״נ‏‎ ‎‏אשת חיל אם נאמנה לבניה‏‎ ‎‏ולכל ביתה היתה עקרת‏‎ ‎‏מ׳ מרים אשת כ״ה מאיר‏‎ ‎‏מת׳ ביו׳ ב׳ כ״ט אדר תרט״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎ Frau Mariane Baumgart[...] [...] Mariane Baumgarten","1855","3","19"
"erc-119","‎‏פ״נ‏‎ ‎‏הבחורה‏‎ ‎‏[...] בת‏‎ ‎‏רבי ברוך‏‎ ‎‏הערשפעלד‏‎ ‎‏נתב״ה בג״ע א׳‏‎","","",""
"erc-120","‎‏פ״נ‏‎ ‎‏הילד גדליה בר‏‎ ‎‏יעקב לעפי‏‎ Daniel Jacob Levy [...] 8. August [...]","1856","8","8"
"erc-121","‎‏הילד׳ ליבעס‏‎ ‎‏ב״כ שלמה ביבא‏‎","1856","6","6"
"erc-122","‎‏פ״נ‏‎ ‎‏איש נדיב הלך בתמי׳‏‎ ‎‏מעשי׳ היו באהבה שלמי׳‏‎ ‎‏ואכל מיגיע כפי׳ שמו היה‏‎ ‎‏נודע באהבים החבר‏‎ ‎‏ר׳ זלמן מארקוס‏‎ ‎‏[נפט]ר בשבת קודש ונק׳‏‎ ‎‏[...] לפ״ק‏‎ ‎‏[...]‏‎","1818","8","8"
"erc-123","‎‏היער רוהט דיא טריי=‏‎ ‎‏עסטע גאטטין ו ׳מוטער‏‎ ‎‏יאהאננא אונגר‏‎ ‎‏געב. זאלצמאן‏‎ ‎‏געב. ד׳ 12. נאפעמ. 1802‏‎ ‎‏געשט. ד׳ 29. זעפט. 1856‏‎","1856","9","29"
"erc-124","‎‏פ״נ‏‎ ‎‏איש תם וישר ירא ה׳‏‎ ‎‏רודף שלום והיטיב‏‎ ‎‏לקרוביו גם לזרים‏‎ ‎‏עד אחריתו‏‎ ‎‏ה״ה ר׳ יעקב ב״ר אליעזר‏‎ ‎‏היילברונר‏‎ ‎‏נפטר ביום ב׳ י״ג אלול‏‎ ‎‏ונקבר ביום ג׳ י״ד בו תרל״ה‏‎ ‎‏תנצב״ה‏‎","1875","9","13"
"erc-125","‎‏פ״נ‏‎ ‎‏הילד משה אליהו ב״ר‏‎ ‎‏משה דוד נפטר ביום ב׳ כ״ח כסליו‏‎ ‎‏ונקבר ביום ד׳ ר״ח טבת תרל״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruhet Eugen David aus Sömmerda geb. d. 9. März 1871 gest. d. 6. Decbr. 1874","1874","12","6"
"erc-126","‎‏[...]‏‎ ‎‏הבחור מיכאל בן ה[...]‏‎ ‎‏בפתע פתאום בעודו באבו ל[...]‏‎ ‎‏[...] ולתוגת לב כל משפ[חתו ...]‏‎ ‎‏א׳ י״ב אדר ונקבר ב׳ י״ג בו [...]‏‎ ‎‏[...] שנת תרל״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Max Soldin [...] [...] [...] [...]","1874","3","1"
"erc-127","‎‏פ״נ‏‎ ‎‏נערה יפת תואר נשאת? חן עוד׳ באיב׳‏‎ ‎‏מרים ב״ר כתריאל עהרליך‏‎ ‎‏נפט׳ ביום ב׳ דשבועות תרל״ב נ״ע‏‎ Hier ruht die Jungfrau Minna Ehrlich geb. d. 16. October 185[.] gest. d. 13. Juni 1872","1872","6","13"
"erc-128","‎‏[־־־]‏‎ ‎‏[...]ע‏‎ ‎‏[...] שלמה‏‎ ‎‏[...].. ר׳ יהודה‏‎ ‎‏[...] ביום ג׳ ונקבר‏‎ ‎‏[בי]ום ד׳ ה׳ אדר תקפ״ח‏‎ ‎‏לפ״ק נתצב״ה אש״צ‏‎ ‎‏בג״ע אמן‏‎","1828","2","19"
"erc-15","","","",""
"erc-18","","","",""
"erc-2","","","",""
"erc-22","","","",""
"erc-26","","","",""
"erc-3","","","",""
"erc-37","","","",""
"erc-38","","","",""
"erc-39","","","",""
"erc-44","","","",""
"erc-47","","","",""
"erc-55","","","",""
"erc-8","","","",""
"erc-82","","","",""
"erc-84","‎‏אשת חיל [...] הגונה ועקרת הבית‏‎ ‎‏אמנם נפשה תשתחה כי ראתה עני בחיים‏‎ ‎‏תוחלתה בה ועיניה תחזנה תענוגי שמים‏‎ ‎‏מ׳ שרה אשת ר׳ שלמה ביבא‏‎ ‎‏נפט׳ ביו׳ ה׳ י״א אב תרל״ב ׃ תנצב״ה‏‎ Hier ruhet Frau Selma Bibo, geb. Sachs, geb. d. 24. Decbr. 1813, gest. d. 15. Aug. 1872.","1872","8","15"
"erc-9000","Der alte Friedhof der Jüdischen Gemeinde Erfurt bestand an dieser Stelle bis 1952. Hier ruhen zahlreiche bedeutende Erfurter Juden. Wir erinnern. Freistaat // Landeshauptstadt Thüringen // Erfurt Jüdische Landesgemeinde Thüringen","","",""
"erc-9001","Hier stehen die übriggeblie- benen Grabsteine vom alten Friedhof in der Cyriakstras- se, der am 9. November 1938 - der Kristallnacht - zerstört worden ist -","","",""
"erc-91","‎‏פ״נ‏‎ ‎‏אשה ישרה ונעימה‏‎ ‎‏הלכה בדרך תמימה כל ימיה ה״ה מרת‏‎ ‎‏שבע חנה אשת ר׳ יהודה היינעמאנן‏‎ ‎‏עזבה בנעוריה את שני בניה ביום א׳ י״ד אב‏‎ ‎‏ויבכו אחריה בעלה אביה וכל משפחתה‏‎ ‎‏ביום קבורתה יום ב׳ ט״ו בו שנת תרל״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruhet in Gott meine geliebte Frau Elise Heÿnemann geb. Burchhardt, geb. d. 23. Januar [18]51, gest. d. 15. August 1875.","1875","8","15"
