"id","transcription","year","month","day"
"ffh-1","‎‏ ...מון הצדיק מהו׳ יואל שנאטוך בן המנו׳ כ״ה‏‎ ‎‏שלמה שנאטוך זצ״ל נפטר אור ליו׳‏‎ ‎‏[ב׳] ונקבר למחרת ביו׳ ג׳ י״ט טבת תק[מ״ז?]‏‎ ‎‏[רוע]ה צאן קדוש [וגומ]...‏‎ ‎‏... באמונה שלימה [באלה׳ חיים?]‏‎ ‎‏... השכי׳ והעריב לבה״כ ת..‏‎ ‎‏מעש.ה.. שני ועוסק ב...קא יום‏‎ ‎‏ולילה ונסמך על קברו בסמיכת מורינו‏‎","1787","1","7"
"ffh-10","‎‏פ״נ‏‎ ‎‏מ׳ שינכה א׳ ר׳ נפתלי‏‎ ‎‏זעקבאך‏‎ ‎‏נפטרה כ״ח תמוז רנ״ז‏‎ ‎‏תנצב״ה‏‎ Jeanette Seckbach geb. Hess geb. 12. März 1823 gest. 8. Juli 1896","1896","7","8"
"ffh-100","‎‏פ״ט‏‎ ‎‏הבחר קויפמאן בן כ׳‏‎ ‎‏מאנכה בערגי‏‎ ‎‏נפטר ביום ש״ק ח׳ אייר‏‎ ‎‏ונקבר ביום ב׳ יוד אייר תרי״ד לפ״ק.‏‎","1854","5","6"
"ffh-101","‎‏פ״נ‏‎ ‎‏איש שהיה טוב ומצא‏‎ ‎‏חן בעיני אלהים ואדם‏‎ ‎‏ה״ה אברהם בוזעק ב״ר‏‎ ‎‏נפתלי הלוי נפטר ביום‏‎ ‎‏ש״ק י״ט תמוז ונקבר‏‎ ‎‏ביום ב׳ כ״א בו תרי״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1854","7","15"
"ffh-102","‎‏פ״נ‏‎ ‎‏אשת חיל תפארת בעלה‏‎ ‎‏מרת יטלכה אשת כמ״ר‏‎ ‎‏חיים זעקבאך נפטרה‏‎ ‎‏ביום ה׳ כ״ז שבט ונקבר׳‏‎ ‎‏למחרתו יום עש״ק כ״ח‏‎ ‎‏בו בשנת תרט״ו לפ״ק׃‏‎ ‎‏נתצב״ה‏‎","1855","2","15"
"ffh-103","","","",""
"ffh-104","‎‏פ״נ‏‎ ‎‏אשת חיל תפארת בעלה‏‎ ‎‏ובניה תמימה וישרה ונעימה‏‎ ‎‏במעשיה לעני ולאביון פרשה‏‎ ‎‏כפיה לגמול חסד ואמת כל‏‎ ‎‏ימיה ה״ה מרת חאנע אשת‏‎ ‎‏משה קויפמן נפטרה ביום‏‎ ‎‏ט׳ תמוס ונקברה י״א תמוס !‏‎ ‎‏תנצב״ה‏‎ Hier ruht Joha. Kaufmann ge.d. 31. Oct. 1817 ge 12. Juli 856","1856","7","12"
"ffh-105","‎‏פ״נ‏‎ ‎‏אשת חיל תפארת בעלה ובניה‏‎ ‎‏תמימה וישרה ונעימה במעשיה‏‎ ‎‏לעני ולאביון פרשה כפיה‏‎ ‎‏לגמול חסד ואמת כל ימיה‏‎ ‎‏ה״ה מרת ריקלה אשת כ״ה‏‎ ‎‏יאקב בוזעק מפ״ה נפטרה ביום‏‎ ‎‏א׳ כ״ד תמוז ונקברה ביום ג׳‏‎ ‎‏תרט״ז לפ״ק תנצב״ה‏‎ Hier ruht in Gott Regina Buseck geb. d. 20. Feb. 1785 ges. d. 27. Juli 1856","1856","7","27"
"ffh-106","‎‏פ״ט‏‎ ‎‏הבתולה היקרה נקראה בשם‏‎ ‎‏יעאנעטע גאלדשמידט‏‎ ‎‏נולדה ביו׳ א׳ ט״ו טבת תק״ס /‏‎ ‎‏מתה ביו׳ ג׳ י״ג מרחשון תרי״ז לפ״ק‏‎ ‎‏מנעוריה הלכה בדרך ישרה‏‎ ‎‏אה ימיה היו עתותי צרה‏‎ ‎‏בחולי הראש מכה בלתי סרה‏‎ ‎‏עד כי נפשה לאל הסגירה‏‎ ‎‏תנצב״ה‏‎","1856","11","11"
"ffh-107","‎‏פ״נ‏‎ ‎‏אשה ישרה ונעימה‏‎ ‎‏הלכה בדרך תמימה‏‎ ‎‏עשתה צדקה כל ימיה‏‎ ‎‏והדריכה לתורה את בניה‏‎ ‎‏ה״ה מרת שפרינץ אשת‏‎ ‎‏אייזיק עפפערטזהויזען‏‎ ‎‏נפטרת ביום ש״ק כ״א טבת‏‎ ‎‏תקי״ז לפ״ק תנצב״ה ע״נ ! ‏‎ ‎‏שצו״צ שבג״ע אמן‏‎ Hier ruht Sprinz Eppertshausen","1857","1","17"
"ffh-108","‎‏פ״ט‏‎ ‎‏האשה החשובה הזקנה מרת‏‎ ‎‏טעלצכה‏‎ ‎‏בת כמ״ר יוסף סג״ל מרעהבערג‏‎ ‎‏אלמנ׳ כ׳ זנוויל בלום זצ״ל מפה‏‎ ‎‏ותגוע ותמת פ״ג שנה בק״ק פראנקפורט דמיין‏‎ ‎‏ביום עש״ק כ״א אייר ותקבר׳ פה ביו׳ א׳ כ״ג בו שנת‏‎ ‎‏בלע המותלנצח לפ״ק‏‎ ‎‏טוהר מעשיה‏‎ ‎‏עד י...‏‎ ‎‏לבה ...[יה]‏‎ ‎‏[צ]...‏‎ ‎‏כשר[ונת]יה‏‎ ‎‏הלך לפניה‏‎ ‎‏לנשמתה ולגויתה ...‏‎ ‎‏תנצב״ה‏‎","1857","5","15"
"ffh-109","‎‏פ״נ‏‎ ‎‏הבתולה מרת ריש בת חבר‏‎ ‎‏ר׳ משה הלוי זצ״ל‏‎ ‎‏מק״ק ערלענבאך‏‎ ‎‏יצאה נשמתה ביום‏‎ ‎‏ה׳ ד׳ שבט‏‎ ‎‏ונקברת ביום א׳ זין בשבט‏‎ ‎‏תקי״ז לפ״ק תנצב״ה ע״נ‏‎ ‎‏שצו״צ שבג״ע אמן‏‎","1857","1","29"
"ffh-11","‎‏פ״נ‏‎ ‎‏מ׳ שרה א׳ ר׳ הירש פלערשהיים‏‎ ‎‏נפטרה ביום ג׳ ג׳ טבת תרנ״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎ Sara Flörsheim geb. Mühlhausen geb. 18. Febr. 1828 gest. 8. Dez. 1896.","1896","12","8"
"ffh-110","‎‏פ״נ‏‎ ‎‏איש תם וישר ר׳ יהודה‏‎ ‎‏בר חיים הלוי הלך תמים‏‎ ‎‏ופעל צדיק ירא אלהיו !‏‎ ‎‏כל ימיו נפטר ביום ה׳‏‎ ‎‏ד׳ אב ונקבר ביום‏‎ ‎‏א׳ ז׳ אב תרט״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎ Juda Schwarzschild","1855","7","19"
"ffh-111","‎‏פ״ט‏‎ ‎‏האשה החשובה אשת ח׳ תפארת‏‎ ‎‏בעלה מ׳ יטלכה אשת כ׳ מאיר‏‎ ‎‏זעקבאך‏‎ ‎‏נפטרה ביום א׳ ה׳ שבט‏‎ ‎‏ונקברה ביום ג׳ ז׳ בו תר״ך לפ״ק‏‎ ‎‏תנצב״ה‏‎","1860","1","29"
"ffh-112","‎‏פ״ט‏‎ ‎‏איש תם וישר ירא‏‎ ‎‏אלהיו כל ימיו ה״ה‏‎ ‎‏מאיר זעקבאך‏‎ ‎‏מת בזקנה ושיבה טובה‏‎ ‎‏ביום ב׳ ח״י אדר ונקבר‏‎ ‎‏בשם טוב ביום ד׳ כ׳ אדר‏‎ ‎‏תר״ך לפ״ק‏‎ ‎‏׃תנצב״ה׃‏‎","1860","3","12"
"ffh-113","‎‏פ״ט‏‎ ‎‏האשה היקרה והגבירה‏‎ ‎‏אשת חיל יראת אלהים‏‎ ‎‏ [מ]רת ברענדלה‏‎ ‎‏[אשת] ר׳ פייס בערגע׃‏‎ ‎‏[מת]ה ביום ב׳ י״ט תמוז ונקבר׳‏‎ ‎‏[ביום] כ׳ בתמוז תר״ך לפ״ק‏‎ ‎‏[׃ת]נצב״ה׃‏‎","1860","7","9"
"ffh-114","‎‏פ״ט‏‎ ‎‏איש תם וישר ירא‏‎ ‎‏אלהיו כל ימיו הלך‏‎ ‎‏תמים ה״ה׃‏‎ ‎‏׃ליב גאלדשמיט׃‏‎ ‎‏מת ביום ש״ק כ״ו ונקבר‏‎ ‎‏ביום ב׳ כ״ח ניסן תרכ״א‏‎ ‎‏׃תנצב״ה׃‏‎ Löb Goldschmid gest. d. 6. April. beerd. 8. / 621.","1861","4","6"
"ffh-115","‎‏פ״ט‏‎ ‎‏איש תם וישר הלך‏‎ ‎‏תמים ופעל צדק‏‎ ‎‏כ״ה ׃ דוד דאלהיים׃‏‎ ‎‏מת בשיבה טובה‏‎ ‎‏ביום א׳ כ״א ונקבר בי׳‏‎ ‎‏ג׳ כ״ג כסלו תרכ״ב לפ״ק‏‎ ‎‏׃תנצב״ה׃‏‎ David Dahlheim gest. d. 24. Novbr. beerd. d. 26. / 5622.","1861","11","24"
"ffh-116","‎‏פ״ט‏‎ ‎‏האשה היקרה‏‎ ‎‏הצדקת ויראת אלהים‏‎ ‎‏מרת הינדלה‏‎ ‎‏בת כ׳ שלמה פורטה ז״ל‏‎ ‎‏אלמנת כ׳ מארם זעקבאך‏‎ ‎‏הלכה לעולמה אור ליום ה׳ ער״ח‏‎ ‎‏סיון ונקבר׳ ביום עש״ק ר״ח סיון‏‎ ‎‏תרכ״ב לפ״ק‏‎ ‎‏תנ[צב״ה]‏‎ ... Hannchen Seckbach ge...","1862","5","28"
"ffh-117","‎‏פ״ט‏‎ ‎‏קבורת נערה הבתולה‏‎ ‎‏׃זלפה ערלאנגער׃‏‎ ‎‏שמתה בתוך שנתה‏‎ ‎‏ביום א׳ י״ז אדר ונקברה‏‎ ‎‏ביום ג׳ י״ט אדר שנת‏‎ ‎‏תרכ״ג לפ״ק׃‏‎ ‎‏תנצב״ה‏‎","1863","3","8"
"ffh-118","‎‏פ״ט‏‎ ‎‏הא״ח מ׳ ברענדלה בת המנוח‏‎ ‎‏כ׳ ליב שוואלבאך שהיתה אשת‏‎ ‎‏כ׳ נטע פלערסהיים שי׳׃ הלכה‏‎ ‎‏לעולמה יום ד׳ כ׳ טבת ונקברה‏‎ ‎‏יום ו׳ [ע]ש״ק כ״ב בו תרכ״ג לפ״ק !‏‎ ‎‏י... [עש]תה את תפלתה בכונה‏‎ ‎‏... [א]ת ביתה באמונה‏‎ ‎‏משך שלשים ושלש שנה‏‎ ‎‏ואף שהיתה חולה רוב הימים‏‎ ‎‏תקותה כל עת למלך עולמים‏‎ ‎‏ונשאה את עולה בחבה ובלב תמים‏‎ ‎‏תנצב״ה‏‎","1863","12","30"
