"id","transcription","year","month","day"
"gif-1","‎‏פ״נ‏‎ ‎‏האשה מרת אסתר אשת‏‎ ‎‏כ״ה יצחק הלוי מתה ביום‏‎ ‎‏ה׳ ג׳ טבת ונקברת ביום וי״ו‏‎ ‎‏עש״ק תר״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1841","12","16"
"gif-10","‎‏פ״ט‏‎ ‎‏ילדה בשמה‏‎ ‎‏זיסכען זאפיע‏‎ ‎‏בת כ״ה ירמיה‏‎ ‎‏מענקע‏‎ ‎‏מתה תוך שנתה‏‎ ‎‏ביום א׳ י״א אייר‏‎ ‎‏תרכ״א לפ״ק‏‎ ‎‏תנצב״ה‏‎","1861","4","21"
"gif-11","‎‏פ״נ‏‎ ‎‏האשה חשובה מרת שרלה בת‏‎ ‎‏ר׳ יהודה ליב מעיר נארדהויזען‏‎ ‎‏אשת כ״ה משה נולדה בעיר‏‎ ‎‏לענגספעלד ער״ח אלול תק״ס‏‎ ‎‏נפטרה ביום ג׳ כ״ב סיון ונקברה‏‎ ‎‏ביום ה׳ כ״ד בו תקצ״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎","1836","6","7"
"gif-12","‎‏פ״נ‏‎ ‎‏איש ישר אשר שמעו‏‎ ‎‏הלך בכל הארץ ׃ עד יום מתו‏‎ ‎‏מאס ברע ובחר בטוב‏‎ ‎‏ר׳ יעקב ירמי׳ ב״ר‏‎ ‎‏מנחם אהרן ז״ל ׃‏‎ ‎‏נפטר ליל ש״ק ך׳ אדר‏‎ ‎‏ונקבר ביום א׳ כ״א בו‏‎ ‎‏שנת תקס״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1808","3","19"
"gif-13","Hier ruht in Frieden die irdische Hülle des Kaufmanns Salomon Menke, geboren den 22. März 1796, gestorben den. 13. Dezember 1855.","1855","12","13"
"gif-14","Hier ruht nach schwerem Leiden Frau Ernestine Menke, geb. Flörsheim, geboren in Peine den 25. Januar 1798, gestorben hieselbst den 18. März 1856.","1856","3","18"
"gif-15","‎‏פ״ט‏‎ ‎‏חיים בן כ״ה יונה פרידב׳‏‎ ‎‏נולד ביום א׳ כ״א טבת‏‎ ‎‏תקס״ה לפ״ק נפטר ביום‏‎ ‎‏ג׳ י״ד טבת תרל״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1834","12","22"
"gif-16","‎‏פ״ט‏‎ ‎‏אשה חשובה וישרת לב‏‎ ‎‏מרת טייבכה טהערעזא‏‎ ‎‏אשת ר׳ יונה פרידבערג‏‎ ‎‏שבה למנוחיה יום ד׳ ב׳ אב‏‎ ‎‏תרכ״ו לפ״ק‏‎ ‎‏׃ תנצב״ה ׃‏‎","1866","8","1"
"gif-17","Hier ruhet Paul Friedberg geb. 2. Juni gest. 2[4]. Aug. 18[85]","1885","8","24"
"gif-18","‎‏פ״ט‏‎ ‎‏נער נעים וחכים‏‎ ‎‏חיים פריעדבערג‏‎ ‎‏נקטף בן ח׳ שנים‏‎ ‎‏י״א אב תר״נ לפ״ק‏‎ ‎‏׃ תנצב״ה ׃‏‎","1890","7","28"
"gif-19","‎‏פ״ט‏‎ ‎‏ילד רך יעקב בן ר׳‏‎ ‎‏ירמיהו מענקע‏‎ ‎‏עוד לא שלמו לו‏‎ ‎‏שנה ראשונה וה׳‏‎ ‎‏קרא ליעקב בש״ק‏‎ ‎‏ג׳ אייר תרכ״א לפ״ק‏‎ ‎‏׃ תנצב״ה‏‎ :‏‎","1861","4","18"
"gif-2","‎‏פ״ט‏‎ ‎‏אשה ישרה מרת‏‎ ‎‏טייכל אלמנת ר׳‏‎ ‎‏שמעון הכהן מעיר‏‎ ‎‏מערצבא#״5ך ממשפחת‏‎ ‎‏העללמאן‏‎ ‎‏ושבה למנוחתה ביו׳ ב׳‏‎ ‎‏ט׳ סיון תרכ״ד לפ״ק‏‎ ‎‏׃ תנצב״ה ׃‏‎","1864","6","13"
"gif-20","‎‏פ״ט‏‎ ‎‏איש תם וישר ונשוא פנים‏‎ ‎‏עוסק בצרכי רבים באמונה‏‎ ‎‏על פיו יצאו ועל פיו יבואו‏‎ ‎‏כל באי שער עירו ה״ה כהר״ר‏‎ ‎‏יעקב יונה בן כ״ה יעקב ירמיהו‏‎ ‎‏נפטר בשם טוב יום ה׳ כ״ז ניסן וכבוד עשו לו ביום‏‎ ‎‏קבורתו א׳ של ר״ח אייר תרכ״ט לפ״ק‏‎ ‎‏׃ תנצב״ה ׃‏‎","1869","4","8"
"gif-21","‎‏פ״ט‏‎ ‎‏האשה חשובה מרת בילא‏‎ ‎‏אשת ה״ח ר׳ יונה בת החבר‏‎ ‎‏רבי יעקב נולדה בעיר‏‎ ‎‏לעמפערדע כ״ב תמוז תקס״ג‏‎ ‎‏נפטרת בשם טוב יום א׳ ב׳‏‎ ‎‏דר״ח טבת ונקברת ביום ג׳‏‎ ‎‏תרי״ד לפ״ק‏‎ ‎‏׃ תנצב״ה‏‎ :‏‎","1854","1","1"
"gif-22","‎‏פ״נ‏‎ ‎‏איש תם וישר‏‎ ‎‏בחור נחמד משכיל ׃‏‎ ‎‏התנכר במעלליו‏‎ ‎‏כי זך וישר מעשיו ׃‏‎ ‎‏רצון ה׳ עשה כל ימיו‏‎ ‎‏נרו חשך בימי עלומיו‏‎ ‎‏ה״ה הבחור אהרן ב״כ יצחק‏‎ ‎‏נפטר ביום ה׳ י״ח מרחשון‏‎ ‎‏שנת תר״ח‏‎ ‎‏וימת על פני אביו‏‎ ‎‏תנצב״ה‏‎","1847","10","28"
"gif-23","‎‏פ״נ‏‎ ‎‏שבשלמים עפרו תנוח ונשמתו‏‎ ‎‏תפריח לקץ הימים כל ימיו הלך‏‎ ‎‏בדריכים ישרים ורעה‏‎ ‎‏לא עשה כל הימים איש ישר וכשר‏‎ ‎‏הבחר אלעכסאנדר סענדר‏‎ ‎‏ב״ר משה ז״ל‏‎ ‎‏שנפטר ביום ג׳ כ״ג אדר שני ונקבר‏‎ ‎‏ך״ה בו לפרט תקעה ל׳‏‎ ‎‏תנצב״ה‏‎","1815","4","4"
"gif-24","‎‏פ״נ‏‎ ‎‏האשה‏‎ ‎‏הצנועה מ׳ בילה אשת המנוח‏‎ ‎‏ר׳ יעקב ירמי׳ אשר נפטרה בשם‏‎ ‎‏טוב והלכה לעולמה בליל ב׳ ח״י‏‎ ‎‏טבת תקע״ד לפ״ק ונקברה למחרתו‏‎ ‎‏ביום ב׳ תנוח לגורלה ותעמוד‏‎ ‎‏לקץ הימין‏‎ ‎‏תנצב״ה‏‎","1814","1","10"
"gif-25","‎‏פ״ט‏‎ ‎‏איש ישר אוהב שלום‏‎ ‎‏ושונא בצע‏‎ ‎‏כה״ר משה מענקע‏‎ ‎‏ימי שנותיו היו שבעים‏‎ ‎‏שנה . מת ביום ה׳ י״ד טבת‏‎ ‎‏ונקבר ביום ב׳ בו תרכ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1863","12","24"
