"id","transcription","year","month","day"
"hdh-1","‎‏פ״נ‏‎ ‎‏אשת חיל התמימה והישרה הצנועה‏‎ ‎‏והחסידה היקרה. שמה משובח בפי‏‎ ‎‏כל מכיריה, צדקה וחסד עשתה כל‏‎ ‎‏ימיה. ה״ה מרת לאה אלמנת כ׳ דוד בר‏‎ ‎‏שלמה לאווענזבערג מתה ביום ש״ק‏‎ ‎‏כ״ח טבת תרנ״ז לפ״ק תנצב״ה‏‎","","",""
"hdh-10","‎‏פ״ט‏‎ ‎‏האשה החשוב׳ והנעימה מ׳ ריזכ[ה]‏‎ ‎‏אשת ר׳ מאיר הלכה לעולמה ביום‏‎ ‎‏עש״ק י״ט כסלו תרמ״ו ל[פ״ק]‏‎ ‎‏תנצב״ה‏‎ ‎‏את עלית מאפלה לאת אלהיך‏‎ ‎‏כבוד ה׳ יאספך כי הלך‏‎ ‎‏צדקך לפניך‏‎","","",""
"hdh-11","Hier ruht mein lieber Gatte, unser unvergesslicher Vater Max Stein geb. 3. October 1839 gest. 7. April 1902. ‎‏פ״נ‏‎ ‎‏איש היקר מאקס שטיין‏‎ ‎‏נולד כ״ה תשרי שנת ת״ר‏‎ ‎‏ונפטר כ״ט אדר שני תרס״ב‏‎ ‎‏פה היידעסהיים לפ״ק תנצב״ה‏‎","","",""
"hdh-2","","","",""
"hdh-3","","","",""
"hdh-4","‎‏פ״ט‏‎ ‎‏האיש היקר ר׳ דוד בר שלמה‏‎ ‎‏זצ״ל כל ימיו הלך בדרך הטו׳‏‎ ‎‏והישר ירא אלדים מנעוריו‏‎ ‎‏הדריך את בני ביתו לעבודת‏‎ ‎‏הבורא נפטר בשם טוב ביום ...‏‎ ‎‏... שנת תר״נ לפ״ק ...‏‎ ‎‏תנצב״ה‏‎","","",""
"hdh-5","","","",""
"hdh-6","Benno Gruner geb. 18. Febr. 1880 gest. 10. April 1933","","",""
"hdh-7","‎‏נולד כ״ח סיון תרמ״ד לפ״ק‏‎ ‎‏נפטר כ״ח אלול תרמ״ט לפ״ק‏‎","","",""
"hdh-8","‎‏פ״נ‏‎ ‎‏האשה החשובה והיקרה מרת מיכלא‏‎ ‎‏אשת יעקב בר אהרן הכהן‏‎ ‎‏נפטרה ביום ג׳ דחול המועד פסח‏‎ ‎‏י״ט ניסן תרנ״ו לפ״ק‏‎ ‎‏והאשה היקר והנאמן‏‎ ‎‏יעקב בר אהרן הכהן‏‎ ‎‏נפטר ביום ערב שבת ח׳ ואדר תרנ״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"hdh-9","Alexander Ehrenstamm geb. 10. Mai 1859 gest. 13. März 1932","","",""
