"id","transcription","year","month","day"
"hgw-1","‎‏ברוך אתה יי מחיה המתים‏‎ Jüdische Gemeinde Haigerloch Seit 1546 bestand eine jüdische Siedlung in Haigerloch Im Jahr 1780 wurde den jüdischen Bürgern, meist Handwerker und Kaufleute, das Stadtviertel Haag als Wohnstätte zugewiesen. Die jüdische Gemeinde Haigerloch zählte im Jahr 1933 insgesamt 213 Seelen. 1942 wurden die letzten 192 Juden in Vernichtungslager deportiert, dabei haben nur 11 Personen überlebt. Zwischen 1567 und 1884 hat die jüdische Gemeinde ihre Einwohner auf dem Waldfriedhof Weildorf bestattet. 1803 legten sie unterhalb ihres Wohnviertels Haag einen neuen jüdischen Friedhof an. Die Stadt Haigerloch will diese Ruhestätte ihren jüdischen Mitbürgern erhalten. Ehre sei ihrem Gedenken","","",""
"hgw-10","‎‏[...]‏‎ ‎‏[...]ש נדיב [...]‏‎ ‎‏בתמים מע[שיו]‏‎ ‎‏היו [...] ושל[מים]‏‎ ‎‏הא[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[א]ב[...]‏‎ ‎‏[...] כ״ה משה‏‎ ‎‏ב׳ יוסף אברהם נפטר‏‎ ‎‏ונקבר והלך ל[עולמו] ביו׳‏‎ ‎‏[...] סיון‏‎ ‎‏[...] תקט״ו לפ״ק ת״נ‏‎ ‎‏[...] [ש]בג״ע [...]‏‎ ‎‏[...]‏‎","","",""
"hgw-11","‎‏[־־־]‏‎ ‎‏אמן‏‎","","",""
"hgw-12","‎‏פ״ה‏‎ ‎‏נטמן איש חשוב‏‎ ‎‏הנעלה כמ״ר א[...]‏‎ ‎‏ישראל ז״ל הע... ׃‏‎ ‎‏נפטר בשבת קו[דש] כ׳ ׃‏‎ ‎‏חשון בשנת ת״[ק] ל[פ]״ק‏‎ ‎‏תנצב״ה אים שער‏‎ ‎‏צדיקם בגן עדן‏‎ ‎‏אמן ׃ ־ ׃‏‎ ‎‏תנצב״ה‏‎","","",""
"hgw-13","‎‏פ״נ‏‎ ‎‏איש תם וישר צדי׳‏‎ ‎‏ונאמן וש״ץ ה״ה ח״ו‏‎ ‎‏וי״א המופלג בתור׳‏‎ ‎‏[־־־]‏‎","","",""
"hgw-14","‎‏פ״נ‏‎ ‎‏א״ח מ׳ לאה‏‎ ‎‏בת אברהם ז״ל‏‎ ‎‏ונקברת ביום א׳‏‎ ‎‏ך׳ טבת תקל״ג‏‎ ‎‏ל׳ וצד ימין נקבר׳‏‎ ‎‏בתה ברענדל בי׳‏‎ ‎‏ש׳ י״ב ניסן תק״ל‏‎ ‎‏ל[פ]״ק תהי נשמ׳‏‎ ‎‏צב״ה בשצו״צ‏‎ ‎‏ש״ע א״ס׳‏‎","","",""
"hgw-15","‎‏פ״נ‏‎ ‎‏איש תם ויש׳‏‎ ‎‏וי״א ממשכימ‏‎ ‎‏ומעריבם ה״ה‏‎ ‎‏כ׳ ברוך ב׳ י׳ ווייל‏‎ ‎‏נפטר ונקבר‏‎ ‎‏ביום ה׳ י״א אלול‏‎ ‎‏תקל״ה לפ״ק‏‎ ‎‏נשמתו תהא‏‎ ‎‏צרורה בצרור‏‎ ‎‏החיים א״ס‏‎","","",""
"hgw-16","‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...] כ״ה ברוך‏‎ ‎‏ז״ל שנפטר ונק׳‏‎ ‎‏[י]ו׳ ב׳ י״ג אלול ת״ק‏‎ ‎‏[מ]״א ל[פ]״ק תה[א] נש׳‏‎ ‎‏צב״ה בשוש״ע א׳‏‎ ‎‏[...]‏‎","","",""
"hgw-17","‎‏פ״ט‏‎ ‎‏א״ח הצדקת מ׳‏‎ ‎‏הנלי ב׳ אלי׳ ז״ל אשת‏‎ ‎‏כ׳ שמעי׳ מגאלינגין‏‎ ‎‏שנפטרת ונקברת‏‎ ‎‏ביום ה׳ כ״ד ניסן תק״ל‏‎ ‎‏לפק תנצב״ה ב״ש‏‎ ‎‏צ׳ וצ׳ שבג״ע א״ס‏‎","","",""
"hgw-18","‎‏[־־־]‏‎ ‎‏ונקברת יום ד׳ ט׳ו [...]‏‎ ‎‏לפ׳ק תהי נשמתה [...]‏‎ ‎‏בצרור החיים בתוך שאר‏‎ ‎‏צושג׳ע אמן סלה‏‎","","",""
