"id","transcription","year","month","day"
"hht-1","‎‏פ״ט‏‎ ‎‏האשה סלאווע‏‎ ‎‏בת מה״ו אייזק זצ״ל‏‎ ‎‏אשת כ״ה מאנש‏‎ ‎‏ברלין זצ״ל נפט׳‏‎ ‎‏ביו׳ ש״ק ונקברת‏‎ ‎‏ביו׳ א׳ ך[״א]‏‎ ‎‏[...]‏‎","1812","8","29"
"hht-10","","1813","3","13"
"hht-100","","1814","6","26"
"hht-1000","","1812","6","23"
"hht-1001","","1812","6","24"
"hht-1002","","1812","7","29"
"hht-1003","","1812","9","11"
"hht-1004","","1812","9","20"
"hht-1005","","1812","9","25"
"hht-1006","","1812","10","12"
"hht-1007","","1812","10","20"
"hht-1008","","1812","10","22"
"hht-1009","","1812","11","12"
"hht-101","‎‏פ״נ‏‎ ‎‏הילד בער‏‎ ‎‏משה בן של‏‎ ‎‏איצק ה״ב נפט׳‏‎ ‎‏[־־־]‏‎","1813","7","10"
"hht-1010","","1812","12","19"
"hht-1011","","1812","12","24"
"hht-1012","","1812","12","23"
"hht-1013","","1813","1","11"
"hht-1014","","1813","1","23"
"hht-1015","","1813","1","23"
"hht-1016","","1813","2","4"
"hht-1017","","1813","2","19"
"hht-1018","","1813","2","25"
"hht-1019","","1813","3","4"
"hht-102","","1816","6","12"
"hht-1020","","1813","3","21"
"hht-1021","","1813","3","25"
"hht-1022","","1813","3","25"
"hht-1023","","1813","4","27"
"hht-1024","","1813","5","20"
"hht-1025","","1813","5","16"
"hht-1026","","1813","7","8"
"hht-1028","","1813","8","4"
"hht-1029","","1813","8","4"
"hht-103","‎‏[פ״נ]‏‎ ‎‏[איש זקן ויש׳]‏‎ ‎‏[כ׳ שמעון ב״ר]‏‎ ‎‏[זלמן פירשט]‏‎ ‎‏[נפטר ונקבר יו׳]‏‎ ‎‏[(ב׳)] [כ״ד ניסן תקע]״[(ו)]‏‎ ‎‏[־־־]‏‎","1816","4","22"
"hht-1030","","1813","8","16"
"hht-1031","","1813","8","22"
"hht-1032","","1813","9","1"
"hht-1033","","1813","9","4"
"hht-1034","","1813","9","4"
"hht-1035","","1813","9","13"
"hht-1036","","1813","9","25"
"hht-1037","","1813","10","1"
"hht-1038","","1813","10","16"
"hht-1039","","1813","11","2"
"hht-104","‎‏[פ״נ]‏‎ ‎‏[איש זקן ושבע]‏‎ ‎‏[ימים כ״ה משה]‏‎ ‎‏[ב׳ מה״ו דוד פ״ב]‏‎ ‎‏[נפטר עש״ק ע״פ]‏‎ ‎‏[־־־]‏‎","1816","4","12"
"hht-1040","","1813","11","19"
"hht-1041","","1813","11","20"
"hht-1042","","1813","11","20"
"hht-1043","","1813","11","26"
