"id","transcription","year","month","day"
"hld-1","‎‏פ״נ‏‎ ‎‏איש ישר וכשר ׃ כל‏‎ ‎‏ימיו הלך במישור ׃ מתורה‏‎ ‎‏ויראה לא חדל ׃ גמל חסד‏‎ ‎‏לעני ודל ׃ עסק בצורכי‏‎ ‎‏ציבור באמונה ׃ ה״ה אי״א פ״ו‏‎ ‎‏התורני המוכתר במעלות‏‎ ‎‏ומדות כהר״ר נפתלי הירץ‏‎ ‎‏בן כהר״ר משה כהן ז״ל‏‎ ‎‏נפטר ביום ש״ק כ״ח אלול‏‎ ‎‏תקל״ה ונקבר יום א׳ ער״ה‏‎ ‎‏תקל״ו לפ״ק תנצב״ה‏‎","1775","9","23"
"hld-10","‎‏פה‏‎ ‎‏נקברה האשה‏‎ ‎‏החשובה היקרה‏‎ ‎‏והישרה מרת‏‎ ‎‏פריידכה בת הר״ר‏‎ ‎‏מיכל זצ״ל אשת‏‎ ‎‏ר׳ פישל הלכה לעו‏‎ ‎‏למה י״א סיון תצ״ו‏‎ ‎‏נתצב״ה ע״נ אי״ו שרר״ו‏‎","1709","5","20"
"hld-100","‎‏פ״נ‏‎ ‎‏האשה החשובה וצנועה‏‎ ‎‏מרת חנה אשת כ׳ שמואל‏‎ ‎‏פליישהאקקער נפטרה‏‎ ‎‏בש״ט יום ג׳ ב׳ אב שנת‏‎ ‎‏תר״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1848","8","1"
"hld-1001","‎‏צבי‏‎ ‎‏והפאר [...] לגנוז כ[ ...]‏‎ ‎‏ומ[...] הדר? ותהילה?‏‎ ‎‏[...]‏‎ ‎‏[...] הקצין הגאון‏‎ ‎‏[...] צבי הירש בן‏‎ ‎‏הר״ר יצחק ז״ל אפנהיים [...] ׃ תורתו‏‎ ‎‏מאירת [...] נפשו שם בכפו ורץ‏‎ ‎‏כצבי אל שרו[תו?] לשאל גזרת שטנים לבטל‏‎ ‎‏להציל נפשות מישראל [...]תנו מוכתר בת״ת‏‎ ‎‏לדרוש תורת ה׳ חפצו כל הימים לגמילות חסדים‏‎ ‎‏וביקור חולים לא מש מכיסו ידיהו ׃ למג[...]‏‎ ‎‏הגואל? כל אדם? ומ[...] החזיק מלמדי תלמוד‏‎ ‎‏[...] שמהם תצא תורה‏‎ ‎‏[...] ושמ[ירה?]‏‎ ‎‏נפטר ונקבר ביום כ״ב? תמוז‏‎ ‎‏תקכ״ב לפ״ק נתצב״ה‏‎","1762","7","13"
"hld-1002","‎‏פה‏‎ ‎‏גנוזה וטמונה צנועה והגונה חשובה וספונה‏‎ ‎‏אשה חכמת לב הרבה מצוה הבאה לידה תקיימנ׳‏‎ ‎‏דרכיה דרכי נועם נשמות לשון רכה דבריה‏‎ ‎‏משמן טוב מפיק רצון מה׳ דרכיה כוננה ׃ אשה‏‎ ‎‏משכלת עינים עין חמלה ועין חנינה ׃ חוננת‏‎ ‎‏דלים ונפש רעבה מלא ברכת ה׳ היא תעשר‏‎ ‎‏בעין יפה בעתו ׃ עת לעשות לה׳ זו זמן תפלה‏‎ ‎‏שגורה בפיה ורגיל על לשונה תדברה משפט‏‎ ‎‏וצדקה ׃ צדקת ה׳ עשתה מנעורה וגם עד‏‎ ‎‏זקנה ושיבה אל תעזבנה ׃ הלא היא‏‎ ‎‏מנורה הטהורה ברה כלבנה ׃ הרבנית מר׳‏‎ ‎‏טאלצי איצטלת בת [..]ול רבינו?‏‎ ‎‏כ[...] הוא המאור הגדול הגבירא רבא‏‎ ‎‏דעמים ומדברנא דאומת׳ הגאון מוהר״ר‏‎ ‎‏שמשון ווערטהיים זצ״ל אשת ה[...]א[.]ש‏‎ ‎‏[...] המאור הגדול לממשלה‏‎ ‎‏הרב מוהר״ר יוסף אופנהיים אב״ד דק״ק‏‎ ‎‏העלשויא זצ״ל ׃ וה[...] כי טוב מאוד‏‎ ‎‏זה המות [...] ונצחו לתחתונים‏‎ ‎‏ונפטרת [ביום? ש״ק?] בזקנה ושבע׳ ימים‏‎ ‎‏ונקבר׳ ביום א׳ י״ב ימים לירח אדר ראשון‏‎ ‎‏תקכ״ט לפר׳ קטן ותפלתנו אל שוכן‏‎ ‎‏[...] בשמים? ׃ שתהא נשמתה צרורה‏‎ ‎‏בצרור החיים עם נשמת צדיקי יסוד ל‏‎ ‎‏עולם ׃ ההולכים מחיל אל חיל ומשלום‏‎ ‎‏אל שלום ׃ עד שיקיצו ורננו שוכני‏‎ ‎‏עפר אמן‏‎","1769","2","18"
"hld-1004","‎‏פה‏‎ ‎‏נטמן צלוחית‏‎ ‎‏המן הרב הגדול‏‎ ‎‏אב״ד דקהילתנו‏‎ ‎‏מ״ו מוהר״ר מרד‏‎ ‎‏כי בן מורינו הרב‏‎ ‎‏הגדול ר׳ מתתי׳‏‎ ‎‏כ״ץ נפטר בש״ט‏‎ ‎‏יום ה׳ י׳ תמוז‏‎ ‎‏תמ״ד תנצב״ה‏‎","1684","6","22"
"hld-101","‎‏פ״נ‏‎ ‎‏כ״ה ישראל וואנגנהיים‏‎ ‎‏הכהן נפטר ביום א׳‏‎ ‎‏כ״ב תמוז תר״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1848","7","23"
"hld-1014","‎‏פה‏‎ ‎‏נקבר איש ישר‏‎ ‎‏ונאמן היקר כמ״ר‏‎ ‎‏צבי הירש בן הי‏‎ ‎‏קר הפרנס כמ״ר‏‎ ‎‏יוסף מרדכי נפ‏‎ ‎‏טר בשם טוב‏‎ ‎‏ביום ב׳ י״ז חשון‏‎ ‎‏ת״ם לפ״ק תנצב״ה‏‎ ‎‏עם נשמת אי״ו‏‎ ‎‏שרר״ו אמן ׃‏‎","1679","10","23"
"hld-102","‎‏פ״נ‏‎ ‎‏אשת חיל עטרת ביתה‏‎ ‎‏חכמת לב ויראת אלהים‏‎ ‎‏כל ימיה גמלה טוב‏‎ ‎‏לעני ולאב[יון פת]חה ידיה‏‎ ‎‏ה״ה מרת מ[ינה] אלמנת‏‎ ‎‏כ״ר יאקב [...]‏‎ ‎‏[נא]ספה אל [עמה] בשיבה‏‎ ‎‏וזקנה טובה יום ד׳ ז׳ שבט‏‎ ‎‏תר״ח לפ״ק מנוחתה כבוד‏‎ ‎‏תנצב״ה‏‎","1848","1","12"
"hld-103","‎‏איש‏‎ ‎‏ישר וצדיק באמונתו‏‎ ‎‏ובקבר פה מנוחתו‏‎ ‎‏סופו העיד על תחלתו‏‎ ‎‏פעולתו הראה מעלתו‏‎ ‎‏אשרי גופו ואשרי נשמתו‏‎ ‎‏ה״ה כ״ה יוסף גידמאן ׃‏‎ ‎‏שהלך לעולמו ביום ש״ק‏‎ ‎‏כ״א סיון שנת תר״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","1847","6","5"
