"id","transcription","year","month","day"
"hos-10","‎‏פ״נ‏‎ ‎‏הגבירה המהוללה אשת חיל‏‎ ‎‏תפארת בעלה ותפארת בניה‏‎ ‎‏ה״ה אשה יראת אלהים פעלה טוב‏‎ ‎‏כל ימיה היקרה מרת ייטל‏‎ ‎‏אלמנה מיעקב בר שמואל‏‎ ‎‏מתה בזקנה ושיבה טובה ביום ד׳‏‎ ‎‏כ״ד אייר ונקברה בכבוד גדול ביום‏‎ ‎‏מש״ק לסדר בהר ובחקתי שנת תר״נ לפ״ק‏‎ ‎‏תנצב״ה‏‎","1890","5","14"
"hos-100","‎‏פ״נ‏‎ ‎‏האישה היקרה תפארת בעלה‏‎ ‎‏ובנותיה מרת שינלע בת שמואל‏‎ ‎‏נפטרה בשם טוב ביום ב׳ חשון‏‎ ‎‏ונקב׳ ביום ד׳ חשון תרצ״ו לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎ Frieda Salmon geb. Strauss 1874 1935","1935","10","29"
"hos-108","Hier ruht in Gott unser liebes Kind Selma Salmon geb. 6. Juni 1901 gest. 18. März 1904 ‎‏פ״נ‏‎ ‎‏ילדה רכה כשושנה‏‎ ‎‏פורחת כמעט וגם היא‏‎ ‎‏בורחת ה׳ היא שרה‏‎ ‎‏נפטרה ביוח ר״ח ניסן‏‎ ‎‏נקברה עש״ק בּ׳ בו תרס״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1904","3","17"
"hos-109","‎‏פ״נ‏‎ ‎‏ורך ילדה כשושנה‏‎ ‎‏פורחת כּמעט בארץ‏‎ ‎‏וגם היא בורחת ׃ היא‏‎ ‎‏בריינלנ בת אהרן נפטרה‏‎ ‎‏ביום ח׳ ונקברה י׳ טבת‏‎ ‎‏תרס״א לפ״ק תנצב״ה ‏‎ Hier ruht in Gott unser liebes Töchterchen Erna Salmon geb. 4. Mai 1899 gest. 30. Dezb. 1900. Ruhe sanft!","","",""
"hos-11","‎‏פ״נ‏‎ ‎‏לקבנסיו גם לזרים‏‎ ‎‏ומישרים היטיב‏‎ ‎‏בר יעקב אהב צדק‏‎ ‎‏לא נפרדו ה״ה דוד‏‎ ‎‏בחייהם ובמותם‏‎ ‎‏בצדו מת ביום ב׳ י״ד‏‎ ‎‏ואשתו יטכא הנקברה‏‎ ‎‏ד׳ ט״ז בו שות תר״ן לפ״ק‏‎ ‎‏תנצב״ה סיון ונקבר ביום‏‎","1890","6","2"
"hos-110","‎‏פ״ט‏‎ ‎‏שרה בת מרים‏‎ ‎‏נפטרה ביום ה׳ כ״ז חשון‏‎ ‎‏תרע״ג לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott Marta Gugenheim, geb. 24. März 1910, gest. 7. Nov. 1912.","1912","11","7"
"hos-111","‎‏פ״נ‏‎ ‎‏ילד רך הבחור‏‎ ‎‏מת תוך שנתו‏‎ ‎‏יצחק בן שראקה‏‎ ‎‏ביום א׳ דפסח תקפ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott unser lb. Kind Siegfried Schauder 1922 - 1923","1923","4","1"
"hos-112","Ruhestätte unseres uns unvergesslichen Sohnes und Bruders Paul Eugen Kupfer geb. 10. Mai 1919 gest. 2. Dez 1923. ‎‏תנצב״ה‏‎","1923","12","2"
"hos-113","‎‏פ״ט‏‎ ‎‏האיש חשוב ר׳ מנחם‏‎ ‎‏ב״ה רבי משה ארי׳ שהלך‏‎ ‎‏לעולם שכולו חי ביום‏‎ ‎‏ג׳ י״ב טבת שנת‏‎ ‎‏תקצ״ח לפ״ק‏‎ ‎‏נתצב״ה‏‎","1838","1","9"
"hos-114","‎‏פ״ט‏‎ ‎‏האשה חשובה מרת‏‎ ‎‏היבלא אשת כבוד‏‎ ‎‏ליב בר יעקב שהלכה‏‎ ‎‏לעולם שכולו חי‏‎ ‎‏ביום וי״ו י״ז שבט תקצ״ו‏‎ ‎‏לפ״ק‏‎ ‎‏נתצב״ה‏‎","1836","2","5"
