"id","transcription","year","month","day"
"hrs-1","‎‏פ״נ‏‎ Hier ruht in Frieden David Rolef geb. 28. Aug. 1854 in Rheinbach gest. 20. Juni 1924 in Widdig","","",""
"hrs-10","‎‏פ״נ‏‎ ‎‏האשה החשובה יראת אלהים‏‎ ‎‏מ׳ פיגלכהבת אליעזר‏‎ ‎‏מתה כ״ט אייר תרס״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden unsere liebe, unvergessliche Mutter u. Grossmutter Sophia Apfel geb. Israel gest. 30. Mai 1908 im Alter von 87 Jahren.","","",""
"hrs-11","‎‏פ״נ‏‎ ‎‏איש צדיק בכל דרכיו‏‎ ‎‏ה״ה אשר בר אברהם‏‎ ‎‏נפטר ביום ג׳ י״ד כסלו‏‎ ‎‏ונקבר ט״ו כסלו תרנ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Andreas Apfel gestorben im Alter von 70 Jahren, am 15. Dez. 1891.","","",""
"hrs-12","‎‏פ״נ‏‎ ‎‏איש צדיק וישר‏‎ ‎‏יעקב בר אשר‏‎ ‎‏נפט׳ ביום כ״ט ניסן‏‎ ‎‏תרמ״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"hrs-13","‎‏ [...]‏‎ ‎‏מתה ביום ה׳ [...]‏‎ ‎‏ביום [...] אב תרמ״ח [לפ]״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Johanna Levy geb. Eiser gest. zu Widdig 26. Juli 1888.","","",""
"hrs-14","‎‏פ״נ‏‎ ‎‏הבחור פינחס‏‎ ‎‏ב״ר אשר נפטר‏‎ ‎‏בחצי ימיו ביום‏‎ ‎‏כ״ג שבט תרמ״ו‏‎ ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Simon Apfel geb. 28. Mai 1853 gest. 29. Januar 1886.","","",""
"hrs-15","‎‏פ״נ‏‎ ‎‏הנערה הבתולה‏‎ ‎‏שרה בת אליעזר‏‎ ‎‏מת׳ ביום כ״ז ניסן תרמ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Sophia Mayer geb. in Grau-Rheindorf den 12. Juli 1863 gest. 23. März 18[83] R.I.P.","","",""
"hrs-16","‎‏פ״נ‏‎ Hier ruht Simon Levy, geb. 12. Jan. 1836, gest. 4. Nov. 1881. ‎‏תנצב״ה‏‎","","",""
"hrs-17","‎‏פ״נ‏‎ ‎‏אשת חיל תפארת‏‎ ‎‏בעלה ובניה מרת‏‎ ‎‏הענדלנ׳ בת ע׳ שנים‏‎ ‎‏ביום כ״ה תשרי תרמ״ב‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Friden (!) Helene Bock geb. Kappel geb. 12 Juni 1812 gest. 18 October 1881","","",""
"hrs-18","‎‏פ״נ‏‎ ‎‏איש ישר ירא ה׳‏‎ ‎‏יעקב ב״ר מנחם הלוי‏‎ ‎‏אשר מת ביום ה׳ ט״ו‏‎ ‎‏אייר תרל״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎ Jacob Marx geb. 9. Januar 1827 gest. 8. Mai 1879.","","",""
