"id","transcription","year","month","day"
"hwf-1","Hier ruht meine teure Frau Johanne Sachs geb. Heine geb. 23. März 1862 gest. 25. August 1921. ‎‏תנצב״ה‏‎","1921","8","25"
"hwf-10","Hier ruht in Gott Johanne Isenberg verw. Goldschmidt geb. Nachmann geb. 19. Januar 1855 gest. 20. August 1927 22. Av. 5687 ‎‏עזה כמות אהבה‏‎ Es heisst nicht sterben, lebt man im Herzen der Seinen fort.","1927","8","20"
"hwf-11","‎‏פ״נ‏‎ ‎‏אשה חשובה ויקרה‏‎ ‎‏ה״ה רייסיה ב׳ בענדיקס‏‎ ‎‏נפ׳ ה׳ תשרי תרפ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott Ida Salm geb. Goldschmidt geb. 24. Nov. 1879 gest. 7. Okt. 1921. Die dein Wesen ganz ermessen, werden deiner nie vergessen.","1921","10","7"
"hwf-12","‎‏פ״נ‏‎ ‎‏נערה בתולה צנועה וחמודה‏‎ ‎‏בעלת חן כבת מלך כבודה‏‎ ‎‏נקטפה באבה לדאבון הוריה‏‎ ‎‏עודנה לא באה לחצי ימיה‏‎ ‎‏ה״ה מרת כינדעל בת לאה‏‎ ‎‏י״ז ניסן תרכ״ג לפ״ק‏‎","1863","4","6"
"hwf-13","‎‏פ״נ‏‎ ‎‏איש תם וישר‏‎ ‎‏הלך תמים ופעל צדק‏‎ ‎‏ירא אלהיו כל ימיו‏‎ ‎‏צדיק באמונתו חיה‏‎ ‎‏ה״ה מייר בר אהרן‏‎ ‎‏מת בזקנה ושיבה טובה‏‎ ‎‏ביום כ״ו אב תרכ״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1868","8","14"
"hwf-14","","","",""
"hwf-15","Sette Reinhaus gest. 16. Febr. 1870 102 Jahre alt.","1870","2","16"
"hwf-16","‎‏[־־־]‏‎ ‎‏[...] בת יעקב‏‎ ‎‏מתה בשם טוב גדול ביום‏‎ ‎‏א׳ ט״ז אדר ונקברה‏‎ ‎‏[ביום] ד׳ תרל״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎ [...] Frau Julie Wissbrun geb. Baum [...] geb. Baum geb. 1806 gest. den 25. Febr. [...]","1872","2","25"
"hwf-17","‎‏פ״ש‏‎ ‎‏גוית האשה החשבה מכל‏‎ ‎‏משובחה לעולם לא נשכחה‏‎ ‎‏ה״ה לאה בת מוהר״ר יוסף‏‎ ‎‏אשת ר׳ יעקב אלקסנדר‏‎ ‎‏מווערטהער הלכה לעולמה‏‎ ‎‏ביום ש״ק ז׳ סיון יום ב׳ דעצרת‏‎ ‎‏נקברה ביום א׳ ח׳ סיון‏‎ ‎‏תרל״א‏‎","1871","5","27"
"hwf-18","‎‏פ״נ‏‎ ‎‏זקן ביתו ולא נחשב כמת‏‎ ‎‏ידו כזית מלא בדמי חפץ‏‎ ‎‏ה״ה ר׳ אלקסנדר זיסקינד‏‎ ‎‏ב״ר יעקב מזענדענהארז׳‏‎ ‎‏ויגוע ויאסף שובע בשנים‏‎ ‎‏ביום ש״ק י״ח ויקבר ביום‏‎ ‎‏ב׳ כ׳ מרחשון תרל״א‏‎ ‎‏תנצב״ה‏‎","1870","11","12"
"hwf-19","Hier ruht Joseph Schreiber geb. in Erwitte 1833 gest. den 6. Februar 1875.","1875","2","6"
"hwf-2","","","",""
"hwf-20","‎‏פ״נ‏‎ ‎‏איש תם וישר הולך‏‎ ‎‏תמים ופ׳ צדק כל ימיו‏‎ ‎‏נתן בר רפאל‏‎ ‎‏הלך לעולמו יו׳ כ׳ אדר‏‎ ‎‏תרל״ד לפ״ק ׃ וזמן שני חיי‏‎ ‎‏פ״ח שנת ׃‏‎ ‎‏זכר צדיק לבדכה‏‎ ‎‏תנצב״ה‏‎","1874","3","9"
"hwf-21","Hier ruhet in Gott Regina Stern geb. Reinhaus, geb. im Febr. 1806, gest. am 27. Octbr. 1878.","1878","10","27"
"hwf-22","Hier ruhet in Gott Feidel Stern geb. im März 1796 gest. am 22. Febr. 1882. ‎‏תהא נפשה צרורה‏‎ ‎‏בצרור החיים‏‎","1882","2","22"
"hwf-23","‎‏יאהא#״5ננא#״5 שטערן‏‎ Hier ruhet in Gott Johanna Stern geb. am 24. Novbr. 1840, gest. am 17. August 1882.","1882","8","17"
