"id","transcription","year","month","day"
"igw-1","‎‏פ״ט‏‎ ‎‏איש הישר בנדיבים‏‎ ‎‏אשר הלך בדרך טובים‏‎ ‎‏כ[ל מעשיו] עשה בכושר‏‎ ‎‏ב[ה׳ דבק נפ]שו ביושר‏‎ ‎‏[...]‏‎ ‎‏[... גופו יישן אר]צה‏‎ ‎‏[...]... לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"igw-10","‎‏פ״נ‏‎ ‎‏אשה חשובה אשת‏‎ ‎‏חיל כל ימיה הלכה‏‎ ‎‏בדרך ישרה מצות ה׳‏‎ ‎‏מרת טאלץ אשת‏‎ ‎‏כמר [...] ז״ל‏‎ ‎‏מ[...]ר‏‎ ‎‏ונ[...]..‏‎ ‎‏[־־־]‏‎","","",""
"igw-11","‎‏פ״נ‏‎ ‎‏איש זך וכשר אשר‏‎ ‎‏הלך בדרך הישר‏‎ ‎‏כל מעשיו היו לש״ש‏‎ ‎‏ונתן מכיסו לעניים‏‎ ‎‏ה״ה כ״ה לווי ז״ל‏‎ ‎‏מזויערשוואבענהיים‏‎ ‎‏נפטר יום [...]‏‎ ‎‏[...]״ז‏‎ ‎‏לפ״ק תנצב״ה‏‎","","",""
"igw-12","‎‏פ״ט‏‎ ‎‏האשה החשובה‏‎ ‎‏והצנועה א״ח כל‏‎ ‎‏ימיה [...] לש״ש‏‎ ‎‏[...] כפה‏‎ ‎‏[...]ם מ׳‏‎ ‎‏[...] אשת כ״ה‏‎ ‎‏[...]‏‎ ‎‏[...]בענהיים‏‎ ‎‏[־־־]‏‎","","",""
"igw-13","","","",""
"igw-14","","","",""
"igw-15","‎‏פ״ט‏‎ ‎‏איש תם וישר הק׳‏‎ ‎‏כ״ה יששכר מכונה‏‎ ‎‏באר בן כ״ה דוד‏‎ ‎‏מפלאניג נפטר בשם‏‎ ‎‏טוב ביום ש״ק כ״ב‏‎ ‎‏אייר ונקבר בכבוד‏‎ ‎‏גדו[ל למחרתו] ביום‏‎ ‎‏א׳ כ״[ג אייר תרי״א] לפ״ק‏‎ ‎‏תנ[צב״ה ע...]‏‎ ‎‏[אמן]‏‎","1851","5","24"
"igw-16","‎‏פ״ט‏‎ ‎‏האשה החשובה מ׳ גיטל‏‎ ‎‏בת כ״ה אליקם מכונה פייבל‏‎ ‎‏מג׳ ווינטערנהיים אשת‏‎ ‎‏כ״ה באר מפלאניג‏‎ ‎‏נפטרת בשם טוב‏‎ ‎‏ביום א׳ י״ד אדר ראשון‏‎ ‎‏ונקברת בכבוד גדול‏‎ ‎‏ומ[ספד] ביום ב׳ בשנת‏‎ ‎‏תר[י״א ...]‏‎ ‎‏[...]‏‎ ‎‏אמן‏‎","1851","2","16"
"igw-17","‎‏פ״ט‏‎ ‎‏[־־־]‏‎","","",""
"igw-18","","","",""
"igw-19","","","",""
"igw-2","‎‏פ״ט‏‎ ‎‏איש [תם וי]שר ירא אלהים‏‎ ‎‏כל ימיו הלך תמים ופעל‏‎ ‎‏צדק נשא ונתן באמונה‏‎ ‎‏צדיק באמונתו חיה ה״ה כ״ה‏‎ ‎‏מאיר בן כ׳ לוי מזויערשווא‏‎ ‎‏בענהיים נפטר ה׳ תשרי ונקב׳‏‎ ‎‏ז׳ בו בשנת תרי״ד לפ״ק ב״ז תהי׳‏‎ ‎‏נשמתו צרור׳ בצרור החיי׳ ע״נ‏‎ ‎‏אברהם יצחק ויעקוב א״ס‏‎ Hier ruht Marx Kramer aus Sauerschwabenheim gest. 7. Oct. 1853 in seinem 67. Lebensjahre. Friede seiner Asche!","1853","10","7"
"igw-20","","","",""
"igw-21","","","",""
"igw-22","‎‏פ״ט‏‎ ‎‏איש תם וישר ירא אלהים כ׳ ברוך‏‎ ‎‏בן כ׳ לוי ע״ה מזויערשוואבענהיים‏‎ ‎‏אשר הלך כל ימיו בדרך הישר‏‎ ‎‏וזן את אשתו ואת בניו כאיש כשר‏‎ ‎‏שנים רבים היה בעל תפלה ובעל‏‎ ‎‏תוקע בימים הנוראים נשא ונותן‏‎ ‎‏באמונה נפטר בש״ט יו׳ עש״ק חי״ת‏‎ ‎‏אדר ונקבר בכ״ג יו׳ א׳ יו״ד בו בשנ׳‏‎ ‎‏תר״ך לפ״ק תנצב״ה בג״ע העליון אמן‏‎ Hier ruht Benedict Kramer aus Sauerschwabenheim gest. d. 2. Maerz 1860, im Alter von 83 Jahren. Friede seiner Asche.","1860","3","2"
"igw-23","‎‏פ״ט‏‎ ‎‏הגבר הצדיק התמי׳ ירא‏‎ ‎‏אלהי׳ והלך בדרכיו כ׳ שלמה‏‎ ‎‏בן כ׳ זאב זויעבאך מזויער‏‎ ‎‏שוואבענהיים ז״ל [...]לא‏‎ ‎‏[...]‏‎ ‎‏[...]נ׳‏‎ ‎‏גדל ליק׳ בדרכי השם נפטר‏‎ ‎‏בשם טוב יום ה׳ כ״ד שבט שנ׳‏‎ ‎‏תרכ״ג לפ״ק נשמתו תהיה צ׳‏‎ ‎‏בצרו׳ החיים עם צ׳ וצד׳ אמן‏‎","1863","2","13"
"igw-24","‎‏פ״ט‏‎ ‎‏עד הגל הזה ועדה המצבה‏‎ ‎‏על ישרת לב ותם דרך האשה‏‎ ‎‏המהוללה והגבירה מר׳ ריס‏‎ ‎‏בת כ״ה מתתיהו מאפפענהיים‏‎ ‎‏אשת כ״ה לוי מזויערשווא‏‎ ‎‏בענהיים היא היתה יראת‏‎ ‎‏אלהים ועקרת הבית והצנע לכ׳‏‎ ‎‏כל ימיה ויהללו בשערי׳ מעשיה‏‎ ‎‏נפטרה ז׳ ניסן שנת תרכ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier liege ich, schlafe, denn mich haelt der Ewige Rosine Kramer geb. Lazarus aus Sauerschwabenheim gest. am 26. Maerz 1863. Friede ihrer Asche.","1863","3","26"
"igw-25","‎‏פ״ט‏‎ ‎‏האשה החשובה אשת חיל מרת‏‎ ‎‏גיטל בת כ׳ נתן הירש מפארטענ‏‎ ‎‏היים אשת כ׳ ברוך קראמער ע״ה‏‎ ‎‏אשר הלכה כל ימיה בדרך היש׳‏‎ ‎‏והטוב נפטר׳ בש״ט יום ד׳ י״ג‏‎ ‎‏טבת בשנת תרכ״ה לפ״ק בש״ז‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Carolina Kramer geb. Hirsch aus Sauer-Schwabenheim geb. zu Partenheim 6.? October 1784 gest. 11. Jan. 1865. Tief betrauert von ihrem Sohne und Enkeln.","1865","1","11"
