"id","transcription","year","month","day"
"ihl-1","‎‏פ״[.]‏‎ ‎‏[ה]אשה הצנ[וע]ה [...]‏‎ ‎‏[ש?]רל בת כ׳ בייבעל הכהן אשת‏‎ ‎‏כ״ה א[ורי?] הכהן נפטר[ת] בשם ט׳‏‎ ‎‏ע[ש״ק י״ח] טבת ונקבר[ה בי]ום א׳‏‎ ‎‏כ׳ טבת שנת תר״ב לפ״ק תנצב״ה‏‎ ‎‏ש[...]‏‎ ‎‏[...]‏‎ ‎‏אמן‏‎ [Hier ruht] [...h] [...] [...] [...Asche]","1841","12","31"
"ihl-10","‎‏פ״ט‏‎ ‎‏מרדכי בר יעקוב‏‎ ‎‏מאויבראינגלהיים‏‎ ‎‏נפטר ביום ש״ק יום‏‎ ‎‏א׳ דחה״מ של סוכת‏‎ ‎‏ונקבר ביום ב׳ דחה״מ‏‎ ‎‏[הנ״]ל שנת תר״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎","1845","10","18"
"ihl-100","‎‏פ״נ‏‎ ‎‏איש תם וישר וירא אלהים‏‎ ‎‏פועל טוב וכשר מעללים‏‎ ‎‏ורודף שלום עד אחריתו‏‎ ‎‏ה״ה צבי בר יוסף הכהן‏‎ ‎‏נפטר ביום כ״ח אדר תרס״א לפ״ק‏‎ ‎‏ונקבר ראש חדש ניסן תרס״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ Heinrich Hirsch geb. 13. Mai 1836, gest. 19. März 1901 Karoline Hirsch geb. 24. Jan. 1841, gest. 16. Aug. 1924.","1901","3","19"
"ihl-101","Hier ruht in Frieden Frau Adelheid Hirsch geb. Altstadt geb. zu Kreuznach 19. Juli 1817, gest. 11. April 1901, zu Ober-Ingelheim.","1901","4","11"
"ihl-102","Hier ruht in Frieden Friedericke Oppenheimer geb. Hirsch geb. d. 4. Jan 1838, gest. d. 27. Aug. 1901. Ruhe sanft!","1901","8","27"
"ihl-103","Siegmund Bonné geboren 3. Juli 1858, gestorben 9. Juli 1902 Dem Auge fern, dem Herzen ewig nah Johanna Bonné geb. Riegel geboren 5. Juli 1832 gestorben 25. August 1910 Liebende Fürsorge war die Seele ihres Waltens bis zur letzten Lebensstunde.","1902","7","9"
"ihl-104","‎‏פ״נ‏‎ ‎‏ר׳ ברוך בן אליעזר הכהן‏‎ ‎‏נולד יום א׳ דר״ה תרי״ז‏‎ ‎‏ונפטר יום ג׳ אלול תרס״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden Bernhard Kahn geb. im Septbr. 1857, gest. im Septbr. 1903.","1903","8","26"
"ihl-105","‎‏פ״נ‏‎ ‎‏משה בן אורי הכהן‏‎ ‎‏מת ביום י״ט באייר תרס״ד‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott Moritz Kahn geb. 9. März 1835, gest. 4. Mai 1904 . Sophie Kahn, geb. Mayer geb. 1. Okt. 1845, gest. 5. Juli 1905. ‎‏פ״נ‏‎ ‎‏שרה בת יוסף‏‎ ‎‏{נ}פטרת ביום ב׳ ונקברה‏‎ ‎‏ביום ד׳ בתמוז תרס״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1904","5","4"
"ihl-106","‎‏פ״נ‏‎ ‎‏האשה החשובה מרת ברענדיל‏‎ ‎‏אשת אליעזר מייער‏‎ ‎‏נפטרה ביום י׳ אב ונקברה ביום‏‎ ‎‏י״ב אב תרס״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Frau Bertha Maÿer Bertha Mayer geb. Neumann geb. Neumann geb. 28. Juni 1849, gest. 22. Juli 1904. Ruhe sanft!","1904","7","22"
"ihl-107","‎‏פ״ט‏‎ ‎‏האיש אליעזר ב׳ מיכל הירש‏‎ ‎‏הכהן‏‎ ‎‏נפטר ביום ערב שבת‏‎ ‎‏קודש כ״ה תמוז ונקבר‏‎ ‎‏ביום א׳ כ״ז תמוז תלס״ה‏‎ ‎‏קבורת איש תמים‏‎ ‎‏פתו נתן לאביונים‏‎ ‎‏כבד ענים ודלים‏‎ ‎‏שבתות וימים טובים‏‎ ‎‏חנך ילדיו לצדקה‏‎ ‎‏ומת בשבה טובה‏‎ ‎‏תנצב״ה‏‎","1905","7","28"
