"id","transcription","year","month","day"
"iis-1","‎‏[...]‏‎ ‎‏[...כשר]ה וצנוע׳‏‎ ‎‏[במע]שיה היולדת מרת‏‎ ‎‏[...]ד בת [הור״ר מרדכי‏‎ ‎‏[.]בר [...]אלף‏‎ ‎‏א[שת ...]ים‏‎ ‎‏נ[פ...]ז‏‎ ‎‏טבת תקל״א [...]‏‎","1770","12","24"
"iis-10","‎‏[פ]״ט‏‎ ‎‏איש ישר הל[ך כל]‏‎ ‎‏ימיו בדרך טוב ו[ג]ומל‏‎ ‎‏חסד לרבים וה[לך] כל יום‏‎ ‎‏וים בבה״כ להתפל[ל] בכונה‏‎ ‎‏ה״ה כ״מ פייס בר משה‏‎ ‎‏ז״ל מאא״ה נפטר ונקבר‏‎ ‎‏בשם טוב יום בי״ת‏‎ ‎‏טי״ת סיון תק״צ‏‎ ‎‏לפ״ק תנצב״ה‏‎ ‎‏אמן‏‎","1830","5","31"
"iis-11","‎‏[פ]״ט‏‎ ‎‏האשה אשר היתה‏‎ ‎‏כשרה בדרכיה ובמ=‏‎ ‎‏עשיה ישרה כאמנו‏‎ ‎‏שרה שרלה אשת‏‎ ‎‏כ״ה ליב רינדסקאפף‏‎ ‎‏מאפפענהיים נפטרה‏‎ ‎‏ונקברה בש״ט ביום ג׳ כ״ג‏‎ ‎‏כסליו תקע״ח ל׳ תנצב״ה‏‎ ‎‏ע״נ כל הצדיקים בג״ע אמן‏‎","1817","12","2"
"iis-12","‎‏פ״נ ‏‎ ‎‏האלוף והקצין‏‎ ‎‏כ׳ יעקב בר אורי‏‎ ‎‏ז״ל צדיק וישר ׃ כל‏‎ ‎‏מעשיו בכשר ‏‎ ‎‏נפטר ונקבר [...]‏‎ ‎‏[...] סיון תצ״ו ל׳ פה‏‎ ‎‏אינגלהיים תנצב״ה‏‎","1736","5","10"
"iis-13","‎‏[...]‏‎ ‎‏איש ישר [...]‏‎ ‎‏[...]‏‎","","",""
"iis-14","‎‏[־־־]‏‎ ‎‏כל מעשיו עשה בכושר‏‎ ‎‏בה׳ דבק נפשו ביושר צדקה‏‎ ‎‏עשה וג״ח לרש ועושר נ׳ ונ׳‏‎ ‎‏באמונה ה״ה כ״ה משה ב״ר‏‎ ‎‏יצחק אפפעננהיימער מן‏‎ ‎‏א״א נפטר ונקבר בש״ט [...]‏‎ ‎‏[...] תקע״ח ל׳‏‎ ‎‏תנצב״ה ע״נ אי״ו שבג״ע א׳‏‎","1817","10","1"
"iis-15","‎‏פ״ט‏‎ ‎‏[... היו]לד״ת‏‎ ‎‏[...]ת מרת‏‎ ‎‏מ[...] א׳ כ״ה מ׳‏‎ ‎‏מא״א נפטרת ביו׳‏‎ ‎‏ה׳ ונקברת ביום ו׳‏‎ ‎‏כ״ו אב [...]‏‎ ‎‏[...]‏‎","","",""
"iis-16","","","",""
"iis-17","‎‏פ״ט‏‎ ‎‏האשה כשרה במע‏‎ ‎‏שיה וישרה בדרכיה כל ‏‎ ‎‏ימיה היתה פתחה לעני‏‎ ‎‏ים כפיה שרלה אשת‏‎ ‎‏כ״ה איצק אפפענהיים מא״א‏‎ ‎‏נפטרת ביום ב׳ י״א כסליו ונק‏‎ ‎‏ברת בש״ט יום ד׳ י״ג כסליו‏‎ ‎‏תקפ״ג לפ״ק תנצב״ה ע״נ כל‏‎ ‎‏הצדיקים וצדקניות בגן ע׳‏‎ ‎‏אמן‏‎","1822","11","25"
"iis-18","‎‏פ״[.]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏תנב״צ הח׳‏‎ ‎‏ב״ע א״ס‏‎","","",""
