"id","transcription","year","month","day"
"ils-1","‎‏פה‏‎ ‎‏טמון איש ישר‏‎ ‎‏וכשר יצחק בר‏‎ ‎‏יוסף מאלינגע׳‏‎ ‎‏... הוא עסק‏‎ ‎‏כל ימיו בגמילות‏‎ ‎‏חסדים וכל מעשיו‏‎ ‎‏היה לשם שמים‏‎ ‎‏הולך לעולמו‏‎ ‎‏בשנת תקכ״א י״ב סיון‏‎ ‎‏לפ״ק תנצב״ה‏‎","1761","7","14"
"ils-10","‎‏פה‏‎ ‎‏טמונה האשה‏‎ ‎‏ח׳ מ׳ בונלה לאה‏‎ ‎‏אשת כ״ה לאזה‏‎ ‎‏מנ״ק נפטרת‏‎ ‎‏ונקברת ביום ה׳‏‎ ‎‏י״א אלול תקנ״ח‏‎ ‎‏לפ״ק תנצב״ה‏‎","1798","8","23"
"ils-1001","","","",""
"ils-1002","","","",""
"ils-1003","‎‏פ״נ‏‎ ‎‏איש תם וישר יהודה‏‎ ‎‏בר מרדכי תשב...‏‎ ‎‏עריעד[...]‏‎ ‎‏ביש[...]‏‎ ‎‏נפטר [... ונ]קבר‏‎ ‎‏ביו[...] לפ״ק‏‎ ‎‏[נתצב״ה‏‎]‏‎","","",""
"ils-1004","‎‏פ״נ‏‎ ‎‏שרה אשת אברהם‏‎ ‎‏וכל רצ[ונה ...] ה׳‏‎ ‎‏לע[שות ...] שפתיו‏‎ ‎‏נפטר יום ה׳ כ״ה סיון תרל״א‏‎ ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎ S[ara] Blum [---]","1871","6","14"
"ils-1005","‎‏פ״נ‏‎ ‎‏אבר[הם] בר אברהם‏‎ ‎‏איש תם וישר וכל‏‎ ‎‏הדרכים דרכי (?) ה׳‏‎ ‎‏מנעריו נפטר ר״ח סיון‏‎ ‎‏תרל״א לפ״ק ונ[ק]בר בו‏‎ ‎‏ביום‏‎ ‎‏תנצב״[ה‏‎]‏‎ Abrah[a]m Adler","1871","5","21"
"ils-1006","‎‏[־־־]‏‎ ‎‏[...] שבעים‏‎ ‎‏שנה ביום ע[ש״ק?] י״ז אדר‏‎ ‎‏ונקבר ביו[...] תרל״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"ils-1007","[---] Hier ruht in Frieden Joseph Levy aus Dudweiler gest. d. 31. März 1877 im 54. Jahre seines Lebens","1877","3","31"
"ils-1008","","","",""
"ils-1009","‎‏פ״נ‏‎ ‎‏גבר תמים [...]‏‎ ‎‏פה [...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏תנצב״ה‏‎","","",""
"ils-1010","","","",""
"ils-1011","‎‏פ״נ‏‎ ‎‏קבורת נערה‏‎ ‎‏בתולה מרת יפה‏‎ ‎‏קענדל בת ליב ז״[ל?]‏‎ ‎‏משטרסבורג‏‎ ‎‏נפטרת י[ום] ש״ק‏‎ ‎‏כ״ג כסליו ת[ר]״ל‏‎ ‎‏לפ״ק ונק׳(?) יום ב׳ בו ל‏‎ ‎‏תנצב״ה‏‎","1869","11","27"
"ils-1012","‎‏[פ״]נ‏‎ ‎‏אב[רה]ם בר נפתלי‏‎ ‎‏[איש ת]ם וישר‏‎ ‎‏אב[...]וכי‏‎ ‎‏הא[...] ה׳ תמיד‏‎ ‎‏נפט[ר ...] א׳ ר״ח‏‎ ‎‏אלול תרכ״ט לפ״ק‏‎ ‎‏[תנ]צב״ה‏‎","1869","8","7"
"ils-1014","‎‏פ״נ‏‎ ‎‏יאקב בר‏‎ ‎‏יהודה מת‏‎ ‎‏ביום ח׳ ניסן‏‎ ‎‏תר[..] לפק‏‎ ‎‏תנצב״ה‏‎ Hier [ruht] Jakob Schwarz gest. im Alter v. 62 Jahren [...] 20. [März] 1869","1869","3","20"
"ils-1015","‎‏פ״ט‏‎ ‎‏[־־־]‏‎ ‎‏[...] לפ״ק‏‎ [...]‏‎ ‎‏[־־־]‏‎","","",""
"ils-1016","‎‏פ״נ‏‎ ‎‏יטכה אשת יחיאל נפטר׳‏‎ ‎‏יום כ״ו מרחשון תרכ״ח לפ״ק‏‎ ‎‏באילינגן תמיד הלכה בעמל‏‎ ‎‏רב אתה ה׳ ישלם הטוב תמיד‏‎ ‎‏לחסות בנאוה קודש בשעת‏‎ ‎‏חליתה ונפטר בשם טוב בקר‏‎ ‎‏היה ילבש נשמתה ויזכה‏‎ ‎‏כאי.ת .נשמה אמן‏‎ ‎‏תנצב״ה‏‎","1867","11","24"
"ils-1017","‎‏[...]ם‏‎ ‎‏[...]מים וירא אלקי׳‏‎ ‎‏כ׳ יעקב [...]ק״ק אילינגען יע״א‏‎ ‎‏ויהי ... [...]אל יעקב‏‎ ‎‏ק[... ויגו]ע יעקב וימת‏‎ ‎‏[...] ביום ד׳ וי״ו‏‎ ‎‏[...] יעקב לפ״ק‏‎ ‎‏[...]תו‏‎ ‎‏[...]תו‏‎ ‎‏[...]ים‏‎ ‎‏[...]ים ׃‏‎ ‎‏[...]תו‏‎ ‎‏[...]דתו ׃‏‎ ‎‏[...]‏‎ ‎‏[...] בעדו‏‎ ‎‏[...]...ל ברצון יוצרו ׃‏‎ ‎‏ה[...] עם שארי טמוני קבר‏‎ ‎‏ל[...] ולתנער מעפר‏‎ ‎‏ו[...] בתוך צדיקים השלים‏‎ ‎‏יושבי בצל עליון בעטרותיהם מע[ו]טרים‏‎ ‎‏תנצב״ה אמן‏‎","1867","3","11"
"ils-1018","","","",""
"ils-1019","","","",""
"ils-1020","","","",""
"ils-1021","","","",""
"ils-1022","","","",""
"ils-1023","[...] Jakob Alexander gest. [...] [...]","1883","1","27"
