"id","transcription","year","month","day"
"imr-1","Hier ruhet in Gott unser geliebtes, so früh dahingeschie denes Söhnchen Leopold Heilbrun geb. d. 24. März 1867 gest. d. 3. Mai 1869 Friede seiner Asche!","1869","5","3"
"imr-10","‎‏...‏‎ ‎‏אשה חשובה אשת חיל מרת‏‎ ‎‏לאה‏‎ ‎‏אשת החבר ר׳ אליעזר‏‎ ‎‏פייזער‏‎ ‎‏מתה ביום א׳ של שבועות‏‎ ‎‏תרנ״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1898","5","27"
"imr-100","","","",""
"imr-101","Hier ruhet Frau Hitzel Levi geb. Cohn, geb. 6. März 1814, gest. 25. April 1879","1879","4","25"
"imr-102","","","",""
"imr-103","Hier ruht in Gott unsere geliebte Mutter?, Groß- u. Schwieger?mutter Frau Viehh[ändler?] [...]","","",""
"imr-11","‎‏פה טמון‏‎ ‎‏איש הישר בנדיבים‏‎ ‎‏מעשיו היו באמונה‏‎ ‎‏שלמים ה״ה כ׳ חיים‏‎ ‎‏ב״כ דוד נולד ח״י אדר‏‎ ‎‏תקס״ג ומת ביום ב׳ ב׳‏‎ ‎‏תמוז תרכ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1862","6","30"
"imr-12","","","",""
"imr-13","‎‏פ״נ‏‎ ‎‏איש תם וישר הלך‏‎ ‎‏[תמ]ים ופעל צדק ירא‏‎ ‎‏אלהיו כל ימיו צדיק‏‎ ‎‏באמונתו חיה ה״ה כה״ר‏‎ ‎‏אריה ליב בה״ר דוד?‏‎ ‎‏נפטר ב[יום שבת] קודש‏‎ ‎‏י״ח כסליו ונקבר ביום‏‎ ‎‏א׳ בו תרכ״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1864","12","17"
"imr-14","Hier ruhet in Gott unser theurer [...] [...] Gustav W[...] Heilbrun geb. [...] 1796 [gest. ...] Aug. 1867","1867","8","23"
"imr-15","[Hier ruht in] Gott [...] und [...] Levi Heilbrun gest. den 24. [Januar 186]3 [im] 75. Lebensjahre","1863","1","24"
"imr-16","Hier ruht in Gott mein inniggeliebter Gatte, unser theurer unvergeßlicher Vater, Groß- u. Schwiegervater der Pferdehändler Mendel Heilbrun, geb. im November 1812, gest. 8. Mai 1887. Friede seiner Asche!","1887","5","8"
"imr-17","Blümchen C[ohn]","1882","3","25"
"imr-18","H[ier ruhet] Itzig C[ohn] geb. [...] 18[..] gest. 21. April [1883]","1883","4","21"
"imr-19","","","",""
"imr-2","Hier ruhet Meyer Levi geb. 18. April 1813 gest. 21. Janr 1876.","1876","1","21"
"imr-20","","","",""
"imr-3","H[ier ruht in Frie?]den der [...] Aron [...]d [...] ge[b. ...] g[est. ...]","1869","1","3"
"imr-4","Hier ruht in Gott unser theurer Gatte u. Vater Peritz Baumann Lehrer u. Vorsänger d. israel. Gem. zu Immenrode geb. d. 18 Mai 1805 gest. d. 20 Juni 186[.] Friede seiner Asche","1868","6","20"
"imr-5","","","",""
"imr-6","‎‏פ״נ‏‎ ‎‏איש נאמן במלאכתו‏‎ ‎‏ה״ה הבחור‏‎ ‎‏חיים פייזר‏‎ ‎‏מת ביום ש״ק ד׳ דחג‏‎ ‎‏הסכות וגם אבותיו‏‎ ‎‏נחים פה שם אביו‏‎ ‎‏יהודה בן גרשון‏‎ ‎‏ושם אמו מרמלכה‏‎ ‎‏תנצב״ה‏‎","1890","10","4"
"imr-7","","","",""
"imr-8","","","",""
"imr-9","... ‎‏תרל״ד לפ״ק ׃‏‎ ‎‏׃ תנצב״ה‏‎ :‏‎","1874","4","8"
