"id","transcription","year","month","day"
"ket-1","‎‏פ״נ‏‎ ‎‏אשת חיל בת אבגיל כל דרכיה‏‎ ‎‏וכל מעשיה לרחוקים ולקרובים‏‎ ‎‏היתה טובים לעניים ולעשירים‏‎ ‎‏גומליה חסדים מיתה בשיבה טובה‏‎ ‎‏ובנעמים אישה מרת האנא בת ר׳‏‎ ‎‏יהודא אשת כ״ה רבי אשר ז״ל נפטרת‏‎ ‎‏ונקברת ביום עש״ק ד׳ סיון ת״ר לפ״ק‏‎ ‎‏[תנצב״ה]‏‎","1840","6","5"
"ket-10","‎‏פ״נ‏‎ ‎‏מ׳ קיילכה בת נפתלי מבקקנהיים אצל ווירמייזא‏‎ ‎‏ה״ה אשה ישרה ונעימה‏‎ ‎‏הלכה בדרך תמימה‏‎ ‎‏עשתה כיכולתה צדקה‏‎ ‎‏וחיה עם בעל נעורה בשלום נ״ג שנה‏‎ ‎‏ומתה אחרי כלות לה פ״א שנה‏‎ ‎‏בפורים בערב תרט״ו לפ״ק‏‎ ‎‏ונקברת נט״ו אדר‏‎ ‎‏תנצב״ה‏‎","1855","3","4"
"ket-11","‎‏פ״נ‏‎ ‎‏מהיר היה במלאכתו‏‎ ‎‏בזמן קצר פעולתו‏‎ ‎‏ה״ה הבחור שמואל בר אשר‏‎ ‎‏נפטר בעש״ק כ״ד סיון‏‎ ‎‏ונקבר ביום א׳ כ״ו בו תרט״ז ל׳‏‎ ‎‏תנצב״ה‏‎","1856","6","27"
"ket-12","‎‏פ״נ מ׳ שבע בת אהרן צבי הכהן‏‎ ‎‏אשת שמואל בר יהוד׳‏‎ ‎‏ה״ה אשת חיל עקרת הבית‏‎ ‎‏תפארת בעלה וניניה‏‎ ‎‏ואיננה כי מתה במבחר שנותיה‏‎ ‎‏ביום ג׳ כ״ד טבת תרי״ז לפ״ק‏‎ ‎‏ונקברת ביום שלאחריו‏‎ ‎‏תנצב״ה ׃‏‎","1857","1","20"
"ket-13","Hier ruht Jetta Aaron geb. Würzburger gest. 25/8.1872","1872","8","25"
"ket-14","‎‏זאת מצבת קבורת איש תם וישר‏‎ ‎‏יצחק בר יוסף‏‎ ‎‏יצחק יאשרוהו בניו קרוביו ומכיריו‏‎ ‎‏בר לבב ונקי כפים נשא נפשו כל ימיו‏‎ ‎‏ישר נאמן וצדיק אהב ורדף שלום‏‎ ‎‏ושמח לתפלה ולתורה מעל ספיר ויהלם‏‎ ‎‏סר מרע ועשה טוב כנאה לנבונים‏‎ ‎‏פרס לרעב לחמו והשביע אביונים‏‎ ‎‏ימי חייו היו שמנים ושלש שנה‏‎ ‎‏ונפטר באשמורת יום א׳ כ״ח אב‏‎ ‎‏ונאסף אל עמיו ביום ג׳ ל׳ בו‏‎ ‎‏שנת תרל״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1872","9","1"
"ket-15","‎‏פ״נ‏‎ ‎‏מ׳ ייטלה בת ר׳ שמואל‏‎ ‎‏ה״ה צנועה חסודה‏‎ ‎‏[כל] כבודה בת מלך פ[נימה]‏‎ ‎‏[...] התפללה ב[..]‏‎ ‎‏[...] מ״ד וחצי שנ[..]‏‎ ‎‏[..]נה [...]‏‎ ‎‏[מ]תה? [...]‏‎ ‎‏תנצב״ה‏‎","1872","10","2"
"ket-16","‎‏פה‏‎ ‎‏שבת עבר ארח‏‎ ‎‏מישרים הלך דרכו‏‎ ‎‏ומכל מכריו מברך‏‎ ‎‏אמנם צדיק בכל פעלו‏‎ ‎‏לזכר עולם יהיה שמו‏‎ ‎‏ר׳ שמואל בן הח״ר יוסף‏‎ ‎‏מת ביום ד׳ ד׳ לחדש אלול‏‎ ‎‏ונקבר בעש״ק ו׳ אלול‏‎ ‎‏תרל״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1873","8","27"
"ket-17","‎‏ז״מ‏‎ ‎‏בנימין בר יצחק‏‎ ‎‏בחור תמים‏‎ ‎‏רך בשנים‏‎ ‎‏ורב פעלים‏‎ ‎‏ישכון בשאננים‏‎ ‎‏בחור נאמן יקראוהו מכיריו‏‎ ‎‏נעימים מעשיו ודבריו‏‎ ‎‏נקטף באבו בשנים מועטות‏‎ ‎‏מתוקה שנתו בעטרת צדקות‏‎ ‎‏נולד ביום א׳ דשבועות ת״ר‏‎ ‎‏נפטר ביום ד׳ י״א טבת‏‎ ‎‏ונקבר בעש״ק י״ג בו תרל״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1873","12","31"
"ket-18","","","",""
"ket-19","‎‏פ״נ איש תם וישר‏‎ ‎‏יהודא ב״א‏‎ ‎‏שמו‏‎ ‎‏ימיך התחזקת ושמרת דתי השם‏‎ ‎‏באמונה רעית אשריך‏‎ ‎‏הון רב נחלתך‏‎ ‎‏לכן יודוך בניך ואנשי השם‏‎ ‎‏ויהי יהודא שבעים שנה כמעט‏‎ ‎‏והלך לעמו ביום ו׳ י״ג טבת לפרט‏‎ ‎‏ת׳ה׳א נפשו׳ צר׳ורה ב׳צרור‏‎ ‎‏החיים ׃(כא״ח‏‎):‏‎","1852","12","24"
"ket-2","‎‏[...]‏‎ ‎‏במ[...]כל‏‎ ‎‏כב[ודא בת מלך פנ]ימה‏‎ ‎‏לרב[...]...‏‎ ‎‏בת ש[... אש]ת‏‎ ‎‏שמוא[ל ...]‏‎ ‎‏ביום ה׳ [...] ונקברת‏‎ ‎‏למחרתו תק[.״.] לפ״ק תנצב״ה‏‎","","",""
"ket-20","‎‏פ״נ שמואל בר משה‏‎ ‎‏שמר מצות ודתי אלהיו‏‎ ‎‏בן וראה מה שיהי תקותו‏‎ ‎‏ויהי בשבת בשלח נפשו‏‎ ‎‏ומת בי׳ ונקבר בי״ב שבט‏‎ ‎‏תרכ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1862","1","11"
"ket-21","‎‏פ״נ‏‎ ‎‏הגבירה המהוללה אשת חיל‏‎ ‎‏תפארת בעלה ותפארת בני[ה]‏‎ ‎‏ה״ה אשה יראת אלהים [עשתה]‏‎ ‎‏טוב כל ימיה [היקרה מרת] חנה‏‎ ‎‏בת כ״ה דוד [משוועלם אשת] כ״ה‏‎ ‎‏מרדכי סג״ל מתה בזקנה ושיבה‏‎ ‎‏טובה ביום ד׳ ח״י אלול ונקברה‏‎ ‎‏עש״ק כ׳ אלול שנת תרכ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1863","9","2"
"ket-22","‎‏פ״נ‏‎ ‎‏איש שכל רצנו לעשות‏‎ ‎‏מצות אלהיו ושמח בחלקו‏‎ ‎‏ה״ה אשר בר אהרן ומת זקן‏‎ ‎‏ושבע ימים בן צ״ג שנה‏‎ ‎‏כ״ד אדר ראשון ונקבר ביום‏‎ ‎‏א׳ כ״ו בו תר״ל לפ״ק תנצב״ה‏‎","1870","2","25"
"ket-23","","","",""
"ket-24","‎‏ואלה ימי שני חיי אברהם אשר חי תשעים שנה‏‎ ‎‏פ״נ‏‎ ‎‏האיש היקר אשר הלך לעלמו‏‎ ‎‏ונפטר ביום ו׳ עש״ק ונקבר ביום‏‎ ‎‏א׳ כ״ו טבת תקפ״א [לפ״ק] תנצבה״ח‏‎ ‎‏אם שאר צדיקים [וצדק]ניות‏‎ ‎‏אמן‏‎","1820","12","29"
"ket-25","‎‏פ״נ‏‎ ‎‏איש [תם ו]ישר הלך‏‎ ‎‏תמ[ים ופעל צדק ...]ירץ‏‎ ‎‏כ[...]‏‎ ‎‏ה[...]‏‎ ‎‏ונ[קבר? ...]‏‎ ‎‏ב[...]‏‎ ‎‏[תנצב״ה]‏‎","","",""
"ket-26","‎‏זאת מצבת בחור נחמד‏‎ ‎‏משה בר שמואל‏‎ ‎‏מתוקה שנת העלם הנעים‏‎ ‎‏בלבו נצר דרך תמימים‏‎ ‎‏שמח ואמץ לבב אבותיו‏‎ ‎‏על זאת שבחוהו הכל מעשיו‏‎ ‎‏כי בשני׳ מועטות עשה גדולות‏‎ ‎‏ונשמתו בטהור׳ עלת׳ למעלות‏‎ ‎‏בן ל׳ שנה ביום א׳ כ״ג אדר‏‎ ‎‏וגופו נקבר ביו׳ ג׳ כ״ה בו תרל״ו לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎","1876","3","19"
"ket-27","‎‏זאת מצבת אשה חשובה‏‎ ‎‏רעכלה בת שלמה‏‎ ‎‏ראוה בנות ויאשרו׳ בעלי׳ ויהללוה‏‎ ‎‏עוד בכלל מנשי׳ באו׳ תברך יכללוה‏‎ ‎‏כי אשת חיל היתה בכל שנותיה‏‎ ‎‏לעני ולאביון פרשה יד׳ כאבותיה‏‎ ‎‏הוד והדר לבוש׳ ותש׳ ליו׳ אחרון‏‎ ‎‏בת שלמה נקרא׳ ושמ׳ נאה ל׳ לזכרון‏‎ ‎‏נפטר׳ בת ס״א שנה בש״ק י״א סיון‏‎ ‎‏ונקברה בי״ג בו שנ׳ תרל״ו לפ״ק ׃‏‎ ‎‏תנצב״ה‏‎","1876","6","3"
"ket-28","‎‏פ״ט‏‎ ‎‏איש נאמן‏‎ ‎‏אשר בר הח׳ יוסף‏‎ ‎‏משאו ומת[נו היה] רק באמונה‏‎ ‎‏ובכל דרכ[יו ה]יה נכונה‏‎ ‎‏צדקת ד׳ עשה כל ימיו ׃‏‎ ‎‏האיש החסיד אלוף עניו ׃‏‎ ‎‏אוי ס״ז לימי חייו‏‎ ‎‏גוע בשושן פורים קטן‏‎ ‎‏ונקבר י״ז אדר א׳‏‎ ‎‏תרל״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1878","2","18"
"ket-29","‎‏פ״נ‏‎ ‎‏אהרן בר משה‏‎ ‎‏האיש הזך וישר בכל ע[סכיו]‏‎ ‎‏רודף חסד ו[פעל? צד]ק לאב[יון]‏‎ ‎‏נפטר בערב ראש חודש [אל]ול‏‎ ‎‏ביום א׳ דר״ח נקבר ב[כבוד] ׃‏‎ ‎‏רוב צדקת פזרונו מי כ[מוהו?]‏‎ ‎‏מע[סק] הפרנס באמן עד? ע[...]‏‎ ‎‏שם טוב קנה, ע[ליו] שאו קינה‏‎ ‎‏ה[... ע]טרו חזרתו לכנפי השכינה‏‎ ‎‏בשנת תרל״ט לפ״ק‏‎ ‎‏תנצב״ה‏‎","1879","9","17"
"ket-3","‎‏עדה המצבה [...] אשה [...]‏‎ ‎‏היתה‏‎ ‎‏רב חסד לעני [...]‏‎ ‎‏עוז והדר התא[זרה]‏‎ ‎‏בכן תמיד שמח[...]ל[...]‏‎ ‎‏עטרת ותפארת [בניה]‏‎ ‎‏החזיקם לצדקה ול[...]א[..]צ[.]ם‏‎ ‎‏צדקה לפ[ניה י]הלך לח[...]ם‏‎ ‎‏היא האשה הצנועה מרת ר[חל חוה]‏‎ ‎‏בת שמעון הלוי שני חי[...]‏‎ ‎‏מ״ט שנה ו[נפטרת] בשם [טוב ביום]‏‎ ‎‏ב׳ ונקברת ביום ג׳ ד׳ לח[ודש] נ[יסן]‏‎ ‎‏שנת ה׳ תר״ט [ליצירה]‏‎ ‎‏תנצב״ה‏‎","","",""
