"id","transcription","year","month","day"
"kuc-1","","","",""
"kuc-10","‎‏פ״ט‏‎ ‎‏האשה הנכבדה‏‎ ‎‏מינדל‏‎ ‎‏בת מאיר, אשת יעקב ע״ה‏‎ ‎‏זאממער נפט׳ בש״ט י״ג ניסן‏‎ ‎‏שנת תרפ״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Frau Jakob Sommer Jr. Wilhelmine geb. Leopold geb. 14. April 1850 gest. 28. März 1926","1926","3","28"
"kuc-11","","","",""
"kuc-12","","","",""
"kuc-13","‎‏פ״ט‏‎ ‎‏איש אמונים הולך תמים‏‎ ‎‏ה״ה כמר יחיאל אברהם‏‎ ‎‏בר משה מכפר קוכענהיים‏‎ ‎‏מת לדאבון אשתו ובניו‏‎ ‎‏ביום ש״ק ה׳ ניסן ונקבר‏‎ ‎‏בכבוד ביום א׳ בו שנת‏‎ ‎‏תרמ״ב לפ״ק תנצב״ה‏‎ Michael Sommer geb. zu Cuchenheim 17. Oktbr. 1807 gest. 25. März 1882 Beerdigung: 26. März 1882","1882","3","25"
"kuc-14","‎‏פ״ט‏‎ ‎‏אשה צנועה בכל דרכיה‏‎ ‎‏ישרה ותמימה במעשיה‏‎ ‎‏ה״ה מר׳ מלכא בת דוד‏‎ ‎‏אשת ר׳ יחיאל מקוכענהיים‏‎ ‎‏מתה ביום א׳ י״ב חשון‏‎ ‎‏ונקברה ביום ג׳ י״ד חשון‏‎ ‎‏שנת תרמ״ח לפ״ק תנצב״ה‏‎ Hier ruht Frau Michael Sommer aus Kuchenheim gest. im Alter von 80 ...","1887","10","30"
"kuc-15","","","",""
"kuc-16","","","",""
"kuc-17","","","",""
"kuc-18","","","",""
"kuc-19","‎‏פ״ט‏‎ ‎‏הבחור כמר דוד המכונה‏‎ ‎‏גוזטאף זאמער בן שמעון‏‎ ‎‏בכפר קוכענהיים מת בש״ט‏‎ ‎‏במבחר שנותיו בן כ״ח שנה‏‎ ‎‏לדאבון אבותיו ביום ה׳ ט״ו‏‎ ‎‏תמוז ונקבר בכבוד ביום‏‎ ‎‏א׳ י״ח תמוז שנת תר״ס לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Herr Gustav Sommer Er starb im Alter (von) 28 Jahren den 12. Juli 1900 Er ruhe in Frieden","1900","7","12"
"kuc-2","‎‏פ״נ‏‎ ‎‏נפתלי בר אברהם יחיאל‏‎ ‎‏נולד ט״ו מרחשון תרי״א‏‎ ‎‏מת כ״ב ניסן תרפ״ט‏‎ ‎‏תנצב״ה‏‎ Hier ruht Herr Hermann Sommer geb. 21. Oktb. 1849, gest. 2. Mai 1929. Ruhe in Frieden","1929","5","2"
