"id","transcription","year","month","day"
"l05-1","‎‏ציון לנפש נדיבה‏‎ ‎‏פ״נ‏‎ ‎‏איש בעל צדקה ואהוב לבריו[ת]‏‎ ‎‏כמר שמואל בר בן ציון אליהו‏‎ ‎‏פ#״5יטלבערג‏‎ ‎‏נפטר בש״ט י׳ תמוז תרצ״ט תּנצב״ה‏‎","","",""
"l05-10","‎‏ציון [על קבר ...]‏‎ ‎‏ונכבד מופלג ומצוין‏‎ ‎‏בתורה ויראה , ה״ה‏‎ ‎‏מו״ה אברהם בן מו״ה‏‎ ‎‏בנימין זאב הכהן‏‎ ‎‏אהראנזאהן‏‎ ‎‏נאסף אל עמיו‏‎ ‎‏בשמונים שנה לחייו‏‎ ‎‏כ״ט אד״ש שנת תר״ס‏‎ ‎‏לפ״ק תנצב״ה‏‎","","",""
"l05-100","‎‏פה נקברים‏‎ // Hier ‎‏הורינו היקרים‏‎ // ‎‏התמימים והישרים‏‎ // ruhet in Gott ‎‏בחייהם ובמותם‏‎ // ‎‏לא נפרדים ה״ה‏‎ // unser geliebter Vater ‎‏אבינו ר׳ שלום ב״ר‏‎ // Scholem Haase ‎‏אריה ליב האאזע‏‎ ‎‏שנפטר יום ו׳‏‎ // gest. 13. April 1889 ‎‏לחדש אייר‏‎ ‎‏ואמנו מרת‏‎ // und ‎‏רחל בת ר׳ יצחק‏‎ // unsere geliebte Mutter ‎‏שנפטרה כ״ב סיון‏‎ ‎‏שנת תרמ״ט לפ״ק‏‎ // Rahel Haase ‎‏תנצב״ה‏‎ // gest. 29. Mai 1889.","","",""
"l05-102","‎‏פ״נ‏‎ ‎‏האשה מ׳‏‎ ‎‏גאלדא בת‏‎ ‎‏ר׳ אברהם‏‎ ‎‏שנפטרה‏‎ ‎‏בשנת תר״מ‏‎ ‎‏בחמשה ימים‏‎ ‎‏לחודש‏‎ ‎‏שבט הא..‏‎ ‎‏תנצב״ה‏‎","","",""
"l05-104","‎‏פ״נ‏‎ ‎‏צעיר בּימים ורב מפעלים‏‎ ‎‏תּמים דרך וישר במעשים‏‎ ‎‏ה״ה היקר והנכבּד מוּ״ה‏‎ ‎‏אברהם דוב בּמ״וּ יוסף‏‎ ‎‏מת בּימי עלומיו בּיום י״ד בּחדש‏‎ ‎‏מנחם אב שנת תרט״ו לפ״ק‏‎ ‎‏תּנצבּ״ה‏‎","","",""
"l05-105","‎‏פ״נ‏‎ ‎‏היקר מוה״ר‏‎ ‎‏ארי׳ ב׳ הר״ר‏‎ ‎‏יוסף‏‎ ‎‏נפטר והלך‏‎ ‎‏למנוחתו כ״א‏‎ ‎‏לחוד׳ ניסן‏‎ ‎‏שנת תרכ״ג‏‎ ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"l05-12","[---] Hier ruht unsere geliebte Mutter Doris Herzberg","","",""
"l05-13","‎‏ציון‏‎ ‎‏קבר אשה חשובה‏‎ ‎‏וצנועה בעלת מעשים‏‎ ‎‏טובים אשה יראת ה׳‏‎ ‎‏וחוננת דלים , מרת‏‎ ‎‏הענע בת מ״ר מרדכי‏‎ ‎‏אשת ר׳ יוסף‏‎ ‎‏פאלקענהאף‏‎ ‎‏אשר עזבה ארץ החיים‏‎ ‎‏בחצי יומים ותעל‏‎ ‎‏לשמים י״ט ימים לירח‏‎ ‎‏סיון שנת תרס״א לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
"l05-14","‎‏פ״נ‏‎ ‎‏איש ישר‏‎ ‎‏באדם וירא‏‎ ‎‏שמים , ר׳ קלמן‏‎ ‎‏מרדכי ב״ר‏‎ ‎‏יהודא ליב‏‎ ‎‏בן שמונים‏‎ ‎‏שנה ׃ נפטר‏‎ ‎‏ער״ח אב‏‎ ‎‏שנת תרס״ג‏‎ ‎‏תנצב״ה‏‎","","",""
"l05-15","‎‏פ״נ‏‎ ‎‏האיש הזקן הנגיד‏‎ ‎‏ומנהיג העיר תם וישר‏‎ ‎‏הח״ר יהודה בן הח״ר‏‎ ‎‏יצחק‏‎ ‎‏הלך לעולמו כ״ג ניסן‏‎ ‎‏שנת תרכ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","","",""
