"id","transcription","year","month","day"
"mmd-1","‎‏פ״ט‏‎ ‎‏אשת חיל מרת פעס‏‎ ‎‏האשה מליב פראנק ז״ל‏‎ ‎‏אשר בחייה פרשה כפה‏‎ ‎‏לעני ושלחה ידיה לאביון‏‎ ‎‏נפטרה בשבת ק׳ ו׳ מרחשון‏‎ ‎‏ונקברה ביום א׳ ז׳ שבו‏‎ ‎‏תרט״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎","1854","10","28"
"mmd-10","‎‏פ״ט‏‎ ‎‏הב״ח כ׳ שמחה‏‎ ‎‏ב״כ איצק נפטר‏‎ ‎‏בשם טוב יום‏‎ ‎‏ג׳ כ״ד טבת ונ׳‏‎ ‎‏יום ד׳ ת״ר ל׳‏‎ ‎‏תנצב״ה‏‎","1839","12","31"
"mmd-100","‎‏פ״נ‏‎ ‎‏האיש הישר והטוב‏‎ ‎‏צבי בר ישעיה‏‎ ‎‏לאנגזטאעדטער נפטר‏‎ ‎‏בשם טוב ביום ג׳‏‎ ‎‏כ״ב מרחשון תרע״ח‏‎ ‎‏לפ״ק ׃‏‎ ‎‏תנצב״ה ׃‏‎ Im Leben geliebt und geehrt, im Tode unvergeßlich.","1917","11","6"
"mmd-101","‎‏פ״נ‏‎ ‎‏איש אמונים‏‎ ‎‏ונכבד סר מרע‏‎ ‎‏טוב וישר עושה‏‎ ‎‏חסד אהב אשתו‏‎ ‎‏וכל קרוביו אהרן‏‎ ‎‏בר נפתלי מת כ״ט‏‎ ‎‏טבת ונקבר יום ב׳‏‎ ‎‏שבט תרע״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1918","1","13"
"mmd-102","‎‏פ״נ‏‎ ‎‏איש תם וישר הלך תמים‏‎ ‎‏ופעל צדק ירא אלהים כל‏‎ ‎‏ימיו צדיק באמונתו חיה‏‎ ‎‏ה״ה ישעיה בר יששכר‏‎ ‎‏מת בזקנה ושיבה טובה‏‎ ‎‏ביום ש״ק י״ב ניסן ונקבר‏‎ ‎‏ביום ב׳ י״ד ניסן תרע״ט לפ״ק ׃‏‎ ‎‏תנצב״ה ׃‏‎ Isidor Langstädter geb. 5. März 1849 gest. 12. April 1919.","1919","4","12"
"mmd-103","‎‏פ״נ‏‎ ‎‏בן יקיר יחיד ורך‏‎ ‎‏כציץ פרה וכצל ברח‏‎ ‎‏הוא הילד שמעון פראנק‏‎ ‎‏נפטר ביום א׳ כסלו ׃ ונקבר‏‎ ‎‏ביום ג׳ כסלו תרפ״ז ׃‏‎ ‎‏תנצב״ה‏‎","1926","11","7"
"mmd-104","‎‏פ״נ‏‎ ‎‏איש ירא ה׳ מנעוריו‏‎ ‎‏תם וישר בכל מעשיו‏‎ ‎‏ה״ה בנימין המ׳ בעננא נארדהיימער‏‎ ‎‏נפטר ביום ד׳ ד׳ סיון‏‎ ‎‏ונקבר ביום ה׳ סיון תקפ״ח ׃ לפ״ק ׃‏‎ ‎‏תנצב״ה ׃‏‎ Ruhestätte unseres unvergeßlichen Gatten u. Vaters Herrn Benno Nordheimer geb. 10. Juni 1859, gest. 23. Mai 1928.","1928","5","23"
"mmd-105","‎‏פ״נ‏‎ ‎‏ר׳ צבי בר אברהם נרדהיימער‏‎ ‎‏מפה שמת בשם טוב כבן ס״ח‏‎ ‎‏שנה א׳ תמוז תר״צ לפ״ק‏‎ ‎‏איש ירא ה׳ דרכו במישרים‏‎ ‎‏נושא אשתו ובתו על כנפי נשרים‏‎ ‎‏גם עומל בעדם בזעת אפים‏‎ ‎‏מעורר בתפלתו לב קהלתו לשמים‏‎ ‎‏ענו שמח בחלקו זה עשרו בחיים‏‎ ‎‏מת עוד בתקפו לתוגת בני מחנים‏‎ ‎‏תנצב״ה‏‎ Herrmann Nordheimer geb. 4. Aug. 1862, gest. 26. Juni 1930.","1930","6","26"
"mmd-106","‎‏פ״נ‏‎ ‎‏אחתנו היקרה וט[ובה]‏‎ ‎‏כל תשכח מקל[.] לבינו‏‎ ‎‏יראת אלהים כל חייה‏‎ ‎‏לעני ואביון שלחה ידיה‏‎ ‎‏בתולה שרה בת ר׳ אברהם‏‎ ‎‏קויבמאנן נפטרה בש״ט‏‎ ‎‏ט׳ אלול תרפ״ג לפ״ק ׃‏‎ ‎‏תנצב״ה ׃‏‎","1923","8","21"
"mmd-107","‎‏פ״נ‏‎ ‎‏האשה היקרה אשת‏‎ ‎‏חיל פעלה טוב כל‏‎ ‎‏ימיה מרת ריקקא‏‎ ‎‏אשת שמעון פראנק‏‎ ‎‏מתה ביום י׳ סיון‏‎ ‎‏ונקברה ביום י״ב סיון‏‎ ‎‏תרפ״ח לפ״ק תנצב״ה‏‎","1928","5","29"
