"id","transcription","year","month","day"
"mz1-1023","‎‏האבן הזאת מראשות‏‎ ‎‏הרב המאור הגדול נרתק‏‎ ‎‏התורה רבנא ר׳ משלם‏‎ ‎‏ב״ר משה בן רבנא ר׳‏‎ ‎‏יתיאל הנפטר בשנת‏‎ ‎‏תתנ״ה תהא מנוחתו‏‎ ‎‏כבוד‏‎","","",""
"mz1-1024","‎‏האבן‏‎ ‎‏הזאת הוקמה לראש‏‎ ‎‏ר׳ משלם ב״ר קלונימוס‏‎ ‎‏הנפטר בי״ב בכסליו‏‎ ‎‏בתתקל״ב לפרט מנוחתו‏‎ ‎‏תחת עץ החיים‏‎","","",""
"mz1-2001","","","",""
"mz1-2002","‎‏קבר ר׳ שלמה‏‎ ‎‏ב״ר ירחמיאל‏‎ ‎‏הנפטר י׳ בתשרי‏‎ ‎‏בתתקס״ה לפרט‏‎ ‎‏נוחו עדן‏‎ ‎‏‏‎","","",""
"mz1-2003","‎‏קבר‏‎ ‎‏חכים הכהן‏‎ ‎‏הנער בר מאי[ר]‏‎ ‎‏[ה]נפטר במרחש[ון]‏‎ ‎‏בתתקס״ז לפר[ט]‏‎ ‎‏נוחו עדן‏‎ ‎‏‏‎","","",""
"mz1-2004","‎‏קבר מרת‏‎ ‎‏חנה בת ר׳ דוד‏‎ ‎‏הכהן הנפטרה‏‎ ‎‏בסיון בתתקע״ו‏‎ ‎‏לפרט נוחה עדן‏‎ ‎‏‏‎","","",""
"mz1-2005","‎‏[זאת]‏‎ ‎‏[ק]בור׳ מרת‏‎ ‎‏[רח]ל הבחו׳ בת‏‎ ‎‏[ר׳] אברהם הכה[ן]‏‎ ‎‏הנפט׳ בתתקע״ו‏‎ ‎‏לפרט נוחה עדן‏‎ ‎‏‏‎","","",""
"mz1-2006","‎‏קבר מרת‏‎ ‎‏רחל בת ר׳ יצח[ק]‏‎ ‎‏הנפטרה באדר‏‎ ‎‏בתתקע״ז לפר[ט]‏‎ ‎‏מנוחתה [...]‏‎","","",""
"mz1-2007","‎‏[ז]את מצב[ת]‏‎ ‎‏[ק]בורת החבר‏‎ ‎‏[ש]מואל בן הרב‏‎ ‎‏[ר׳ יצ]חק הנפטר‏‎ ‎‏[בי]רח תשרי‏‎ ‎‏[בת]תקע״ח לפרט‏‎ ‎‏‏‎","","",""
"mz1-2008","‎‏האבן‏‎ ‎‏הזאת הוקמה‏‎ ‎‏לראש מרת בלט‏‎ ‎‏בת ר׳ אברהם הנפטר׳‏‎ ‎‏בסיון בתתקע״ט לפרט‏‎ ‎‏מנוחתה בגן עדן‏‎ ‎‏‏‎","","",""
"mz1-2009","‎‏המצבה‏‎ ‎‏הזאת הוקמה‏‎ ‎‏לראש מרת אסתר‏‎ ‎‏בת ר׳ ראובן‏‎ ‎‏הנפטרה בתמוז‏‎ ‎‏בתתקע״ט לפ׳ [...]‏‎","","",""
"mz1-2010","‎‏קבורת‏‎ ‎‏מרת ייונא‏‎ ‎‏הבחורה בת ר׳‏‎ ‎‏דוד הנפטרה‏‎ ‎‏באב בתתקע״ט‏‎ ‎‏לפרט נוחה‏‎ ‎‏בגן עדן‏‎ ‎‏‏‎","","",""
"mz1-2011","‎‏[ה]אבן‏‎ ‎‏[ה]זאת הוקמה‏‎ ‎‏לראש ר׳ ברוך‏‎ ‎‏ב״ר שמואל‏‎ ‎‏הנפטר באייר‏‎ ‎‏בתתקפ״א לפרט‏‎ ‎‏נפשו צרורה בגן‏‎ ‎‏עדן‏‎ ‎‏‏‎","","",""
"mz1-2012","‎‏קבר ר׳ יוסף‏‎ ‎‏הבחור ב״ר יחיאל‏‎ ‎‏הנעים הנפטר בסיון‏‎ ‎‏בתתקפ״ב לפרט‏‎ ‎‏מנוחתו בעדן‏‎ ‎‏‏‎","","",""
"mz1-2013","[...] ‎‏[ר]בקה הבח[ורה]‏‎ ‎‏בת ר׳ משה הכה[ן]‏‎ ‎‏החזן הנפטר׳‏‎ ‎‏בתמוז בתת״ק‏‎ ‎‏פ״ב לפרט נוחה‏‎ ‎‏עדן‏‎ ‎‏‏‎","","",""
"mz1-2014","‎‏עד‏‎ ‎‏הגל הזה‏‎ ‎‏ועדה המצבה‏‎ ‎‏לראש מרת‏‎ ‎‏אלישבע בת ר׳ יוסף‏‎ ‎‏הנפטרה באב‏‎ ‎‏בתתקפ״ג לפרט‏‎ ‎‏מנוחתה עדן‏‎ ‎‏‏‎","","",""
"mz1-2015","‎‏[צי]ון ר׳ יעקב‏‎ ‎‏הבחור ב״ר משה‏‎ ‎‏הכהן החזן הנפט׳‏‎ ‎‏כ׳ שבט בתתקפ״ד‏‎ ‎‏לפרט ט (!) נוחו‏‎ ‎‏עדן [...]‏‎","","",""
