"id","transcription","year","month","day"
"obh-1","‎‏פ״נ‏‎ ‎‏האשה היקרה והחשובה‏‎ ‎‏מרת קילה אשת כ״ה יואל‏‎ ‎‏מהאלטן הלכה לעולמה ביום‏‎ ‎‏עש״ק כ״א אייר ונקברת בשם‏‎ ‎‏טוב ביום א׳ כ״ג בו תקס״ז לפ״ק‏‎ ‎‏[תנצב״ה ...]‏‎","1807","5","29"
"obh-10","","","",""
"obh-11","[...] geb. [...] Decb. 17[..] gest. zu Süchteln [...] Decb. 1867","","",""
"obh-12","Hier ruht Leo[...] geb. d. [...] Juli [...] gest. d. [...]","","",""
"obh-13","‎‏פ״נ‏‎ ‎‏אשת חיל עטרת בעלה‏‎ ‎‏ותפארת בניה מרת‏‎ ‎‏טייבכה בת אברהם‏‎ ‎‏אשת מאיר יקבי מתה‏‎ ‎‏בזקנה ושיבה טובה כמ[עט]‏‎ ‎‏אם שבעים שנים ביום ב׳‏‎ ‎‏כ״[ז] אדר שנת תרל״א לפ״ק‏‎ ‎‏תנצב״ה‏‎","1871","3","20"
"obh-14","‎‏פ״נ‏‎ ‎‏הגבירה המהוללה‏‎ ‎‏אשת חיל תפארת בעלה‏‎ ‎‏ותפארת בניה‏‎ ‎‏ה״ה אשה יראת אלהים‏‎ ‎‏ופעלה טוב כל ימיה‏‎ ‎‏היקרה מרת מרלה בת חיים‏‎ ‎‏אשת חיים ז״ל‏‎ ‎‏מתה בזקנה ושיבה טובה‏‎ ‎‏בת צ״ז שנת חייה‏‎ ‎‏ביום ד׳ י״ט ונקברת ביום ה׳‏‎ ‎‏כ׳ שבט‏‎ ‎‏תרכ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1864","1","27"
"obh-15","","","",""
"obh-16","‎‏פ״נ‏‎ ‎‏הילד שלמה‏‎ ‎‏בר יצחק נולד‏‎ ‎‏כ׳ חשון תרל״ה‏‎ ‎‏ונפטר כ״ד טבת‏‎ ‎‏תרל״ט לפ״ק‏‎ ‎‏תנצ[ב״ה]‏‎","1879","1","19"
"obh-17","Hier ruht Sophie Wolf geb. 7. März gest. 24. März 1880","1880","3","24"
"obh-18","‎‏פ״נ‏‎ ‎‏אין עושין נפשות‏‎ ‎‏הן הן‏‎ ‎‏גדליהו ב״ר אשר‏‎ ‎‏ברלד? ביום ט״ו‏‎ ‎‏כסלו תקע״ו לפ״ק‏‎","1815","12","17"
"obh-19","Hier ruht Isidor Daniel geb. 17. März 1851 gest. 10. Mai 1889 zu Sterkrade","1889","5","10"
"obh-2","‎‏פ״נ‏‎ ‎‏האשה הצנועה במעשיה‏‎ ‎‏המצות ה׳ היתה עוסקיה‏‎ ‎‏טוב היתה לבעלה ולילדותיה‏‎ ‎‏ולעני פרשה ידיה‏‎ ‎‏היתה ציפור בת זיס אשת‏‎ ‎‏אשר מתה בת מ״ט שנה‏‎ ‎‏ביום ה׳ ונקבר עש״ק ב׳‏‎ ‎‏מרחשון תקצ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1831","10","9"
"obh-20","","","",""
"obh-21","‎‏פ״נ‏‎ ‎‏איש ירא ה׳ מנעוריו‏‎ ‎‏תם וישר בכל מעשיו‏‎ ‎‏ה״ה יוסף בר יהודה‏‎ ‎‏מת ביום ג׳ שבט תרנ״ז‏‎ ‎‏תנצב״ה‏‎ Hier ruht Joseph Plaut geb. 9. April 1814, [g]est. 6. Jan. 1897.","1897","1","6"
"obh-22","","","",""
"obh-23","‎‏[־־־]‏‎ ‎‏[...]‏‎ ‎‏כסלו תרל״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1872","12","15"
"obh-24","‎‏פ״ט‏‎ ‎‏אשה יקרה וישרה‏‎ ‎‏עטרת בעלה ובניה‏‎ ‎‏מרת‏‎ ‎‏גידלא בת שלמה‏‎ ‎‏מתה ביום כ״ב טבת‏‎ ‎‏תרנ״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ Henriette Wolf geb. Braunstein geb. 7. März 1815, gest. 1. Jan. 1891.","1891","1","1"
"obh-25","‎‏פ״נ‏‎ ‎‏איש תם וישר‏‎ ‎‏כהר״ר‏‎ ‎‏אברהם בר יעקב‏‎ ‎‏מת ביום עש״ק ח׳ אלול‏‎ ‎‏תרנ״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht Abraham Isaac geb. 1. Aug. 1851, gest. 11. Sept. 1891. Ruhe in Frieden!","1891","9","11"
"obh-26","","","",""
