"id","transcription","year","month","day"
"ora-1","Hier ruht in Gott Albert Isaack geb. 9. Septb. 1890 in Frankfurt/O. gest. 13. Jan. 1891","1891","1","13"
"ora-101","Hier ruhet in Gott unser lieber Sohn Eugen Blumenthal geb. 24. Juni 1893, gest. 19. Octbr. 1893. Ruhe sanft.","1893","10","19"
"ora-102","Fritz Jontofsohn geb. 11. Juni 1909 gest. 6. April 1910.","1910","4","6"
"ora-103","‎‏פ״נ‏‎ ‎‏איש יקר הלך בדרך תמים‏‎ ‎‏ה״ה הח״ר‏‎ ‎‏יצחק‏‎ ‎‏בן הח״ר שלמה הכהן‏‎ ‎‏נולד ד׳ אדר תקפ״ג‏‎ ‎‏ונפטר ו׳ כסל׳ תרל״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1873","11","26"
"ora-104","‎‏פ״נ‏‎ ‎‏איש תם ירא ה׳‏‎ ‎‏הלך תמים צדיק באמנתו‏‎ ‎‏חיה כל ימיו‏‎ ‎‏ה״ה החבר ר׳ אהרן‏‎ ‎‏בן החבר ר׳ גבריאל‏‎ ‎‏מת בשיבה טובה ביום ד׳ אדר‏‎ ‎‏ונקבר בשם טוב‏‎ ‎‏שנת תרמ״ב לפ״ק‏‎","1882","2","23"
"ora-105","‎‏פ״ט‏‎ ‎‏אשה יראת ה׳‏‎ ‎‏מנשים באוהל תבורך‏‎ ‎‏לבעלה היתה עטרת‏‎ ‎‏ולבניה תפארת‏‎ ‎‏לקרוביה נזר וליודעיה עזר‏‎ ‎‏להדלים תשועה ולמחלת לב רפואה‏‎ ‎‏מרת גלדא‏‎ ‎‏בת כ״ה ישראל‏‎ ‎‏אשת ר׳ ארון גוביטץ‏‎ ‎‏נ׳ ביום ב׳ ט׳ כסלו‏‎ ‎‏ונק׳ ביום ד׳ י״א בו‏‎ ‎‏שנת וזהב הארץ ההוא טוב בעדן מצאה לפ״ק‏‎","1855","11","19"
"ora-106","‎‏פ״ט‏‎ ‎‏האשה החשובה רכה בשנים‏‎ ‎‏מרת ננקא‏‎ ‎‏אשת כ״ה שמואל לעווענהיים‏‎ ‎‏בת כ״ה שמעון יצ״ו משטעפענהאגן‏‎ ‎‏נפטרה ביום הכפורים‏‎ ‎‏ונקברה בשם טוב י״א תשרי‏‎ ‎‏שנת תרי״ד לפ״ק‏‎ ‎‏א[הה]‏‎ ‎‏בעלה ובנה אביה ואמה יקוננו עליה‏‎ ‎‏ימי שני מגורה לא השיגו כ״ז שנים‏‎ ‎‏תנצב״ה‏‎","1853","10","12"
"ora-107","‎‏פ״ט‏‎ ‎‏האשה החשובה והזקנה‏‎ ‎‏מרת יטה‏‎ ‎‏אשת כ״ה משה לעווענהיים ז״ל‏‎ ‎‏בת כ״ה שמואל הכהן ז״ל‏‎ ‎‏מוואנגרין‏‎ ‎‏נפטרה ביום הכפורים‏‎ ‎‏ונקברה בשם טוב יום ד׳ י״א תשרי‏‎ ‎‏שנת תרי״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1853","10","12"
"ora-108","‎‏מצ[בה ר]אשונה‏‎ ‎‏פ״נ‏‎ ‎‏הילד יעקב דוד‏‎ ‎‏בן כ״ה אריה ליב‏‎ ‎‏נפ׳ ונ׳ יום ג׳ ד׳ אדר ראשון‏‎ ‎‏שנת תקע״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1815","2","14"
"ora-109","‎‏פ״ט‏‎ ‎‏עצמות‏‎ ‎‏משה בן זאב‏‎ ‎‏נפטר ביום ד׳ ח׳ אדר שני‏‎ ‎‏ונקבר ביום ה׳ ט׳ בו תקצ״ז לפ״ק‏‎ ‎‏מה רבו [...]‏‎ ‎‏שבע[...]‏‎ ‎‏הלכ[...]‏‎ ‎‏בהו[...] מכאבה‏‎ ‎‏נפש[ו על]תה לשמיים אל מקורה‏‎ ‎‏זאת [...]ך‏‎ ‎‏אשר תמצא שם שלום מכל תלאתך‏‎ ‎‏בניך הקימו זאת המצבה לך‏‎ ‎‏תנצב״ה‏‎","1837","3","15"
