"id","transcription","year","month","day"
"pro-1","‎‏אתהלך לפני יהוה בארצות‏‎ ‎‏החים‏‎ Ps. 116 V. 9. ‎‏פ״נ‏‎ ‎‏אשת חיל תפארת בעלה‏‎ ‎‏אשה יראת אלהים מרת‏‎ ‎‏מרים בת יהודה נאספה‏‎ ‎‏אל עמיה ו׳ אדר ראשון‏‎ ‎‏תרי״ג לפ״ק תנצב״ה‏‎","1853","2","13"
"pro-10","‎‏פ״נ איש תם וישר‏‎ ‎‏אורי בן יעקב‏‎ ‎‏נאסף אל עמיו י״ג‏‎ ‎‏אדר תרכ״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ Der Geist kehrt heim zu Gott, der ihn gegeben Pred. 12,7. Hier ruht Philipp Hurwitz geb. 19. Dec. 1784 gest. 23. Febr. 1861.","1861","2","23"
"pro-11","‎‏פ״נ‏‎ ‎‏איש תם וישר‏‎ ‎‏הלך תמים ופעל צדק‏‎ ‎‏ירא אלהיו כל ימיו‏‎ ‎‏צדיק באמונתו יחיה‏‎ ‎‏מת בשם טוב גדול‏‎ ‎‏לזכר שמו לברכה‏‎ ‎‏ביום ג׳ תמוז‏‎ ‎‏שנת תר״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1848","6","22"
"pro-12","‎‏פ״נ‏‎ ‎‏א״ח היא האשה‏‎ ‎‏החכמה עלתה נשמתה‏‎ ‎‏למרומה כל ימיה‏‎ ‎‏הלכה בדרך ישרה‏‎ ‎‏מצות ה׳ שמרה מרת‏‎ ‎‏חיה מערלה בת כ״ה‏‎ ‎‏גומפל ז״ל אשת כ״מ‏‎ ‎‏אברהם ב״ר זנוויל ז״ל‏‎ ‎‏הלכה לעולמה נפטרת‏‎ ‎‏ונקבר׳ ביום ה׳ ז׳ אלול‏‎ ‎‏תקס״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1803","8","24"
"pro-13","‎‏פ״נ‏‎ ‎‏הזקן והישר הולך‏‎ ‎‏בדרך תמים וכל‏‎ ‎‏מעשיו היו לש״ש‏‎ ‎‏כ׳ אברהם ב״כ‏‎ ‎‏פרץ ז״ל נפטר‏‎ ‎‏בה״ר ונקבר בש״ת‏‎ ‎‏תקס״ט ל׳‏‎ ‎‏וצב״ה א׳‏‎","1808","10","12"
"pro-14","‎‏פ״נ‏‎ ‎‏ונקבר חיים‏‎ ‎‏ב׳ ע׳ יוזפא כ״ץ‏‎ ‎‏נ׳ ביו׳ ד׳ כ״ח סיון‏‎ ‎‏[־־־]‏‎","","",""
"pro-15","‎‏פ״נ‏‎ ‎‏האשה מ׳ אסתר בת‏‎ ‎‏כ׳ מאיר ז״ל ונפטרת‏‎ ‎‏ביו׳ ב׳ ד׳ אלול תקס״ג‏‎ ‎‏לפ״ק‏‎ ‎‏ונקברת ד׳ [ו׳] בו [תנצב״ה]‏‎","1803","8","22"
"pro-16","‎‏פ״נ‏‎ ‎‏ונקבר יהודא‏‎ ‎‏ליב ב״כ יוספא‏‎ ‎‏כ״ץ‏‎ ‎‏[...]‏‎","1806","5","14"
"pro-17","‎‏[...]‏‎ ‎‏אשת ליב כ״ץ‏‎ ‎‏ז״ל נפטרה יום ה׳‏‎ ‎‏ט׳ תמוז תקע״ב ל׳‏‎","1812","6","19"
"pro-18","‎‏פ״נ‏‎ ‎‏[...]‏‎","","",""
"pro-19","‎‏פ״נ‏‎ ‎‏איש ישר וחשוב‏‎ ‎‏הולך תמים ופעל‏‎ ‎‏וכל מעשיו לש״ש‏‎ ‎‏כ׳ מאיר ב״כ פייבל‏‎ ‎‏נפטר ונקבר בי׳ ד׳‏‎ ‎‏י״ג סיון תקס״ח ל׳‏‎ ‎‏[תנצב״ה]‏‎","1808","6","8"
"pro-2","‎‏ואת׳ תבוא אל‏‎ ‎‏אבתיך בשלום‏‎ ‎‏פ״נ הבח׳ שמעון‏‎ ‎‏בן מיכעל נאסף‏‎ ‎‏אל עמיו ה׳ אב‏‎ ‎‏תרי״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎","1854","7","29"
"pro-20","‎‏פ״נ‏‎ ‎‏ה״ה היקר והנאמן ט״מ‏‎ ‎‏כש״ה כ״ה יהודא המכונה‏‎ ‎‏ליב כ״ץ כ״י הי׳ עוסק במו״מ‏‎ ‎‏באמונ׳ פזר נתן לאביונים‏‎ ‎‏[־־־]‏‎","1824","1","24"
"pro-21","‎‏פ״נ‏‎ ‎‏[־־־]‏‎","","",""
"pro-22","‎‏ויקרבו ימי דוד למות‏‎ ‎‏פ״נ‏‎ ‎‏דוח רבנו‏‎ ‎‏והי׳ שמו צ...‏‎ ‎‏דרכת מ....‏‎ ‎‏ה״ה הבחור דוד בן נתן גרינבערג‏‎ ‎‏[...]‏‎","1866","9","1"
"pro-23","","","",""
"pro-24","‎‏פ״נ‏‎ ‎‏אשת חיל צדק׳‏‎ ‎‏עשתה כאביגיל כל‏‎ ‎‏ימיה הלכה בדרך‏‎ ‎‏ישרה מצות ה׳ שמרה‏‎ ‎‏מ׳ ברענדלה אשת ה׳‏‎ ‎‏ליב כ״ץ ׃ הלכה לעולמה‏‎ ‎‏נפטרת יום ד׳ ונקברת‏‎ ‎‏ה׳ ניסן תקל״ב‏‎ ‎‏תנצב״ה‏‎","1772","4","7"
