"id","transcription","year","month","day"
"reg-110","‎‏פ״נ‏‎ ‎‏ונקבר האיש המהולל ירא‏‎ ‎‏אלהים שמו נודע לתהלה‏‎ ‎‏כ״ה משה אברהם בן כ״ה חיים קאך‏‎ ‎‏איש לבית הלוי‏‎ ‎‏נפטר יום ש״ק ונקבר יום א׳ ח״י תמוז‏‎ ‎‏שנת‏‎ ‎‏וילך איש מבית לוי לעלמא דקשוט‏‎ ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎ Herr Moses Koch starb am 18. Juli 1829 66 Jahre alt","1829","7","18"
"reg-119","Hier ruht Herr Moritz Uhlfeld Bankier und Bürger dahier, der vielbeweint von seiner Gattin, von seinen Kindern & Enkeln am 31. März 1883, 79 Jahre alt ins Jenseits abberufen wurde. Ewig unvergessen!","1883","3","31"
"reg-16","‎‏פ״ט‏‎ ‎‏אשת חיל מ׳ ראזא אשת כ״ה יונה שוואבאכער‏‎ ‎‏מפה נפטרת במבחר שנותיה ש״ק כ״ז אדר תרכ״ח לפ״ק‏‎ ‎‏אשה חשובה והצניעה לכת כל ימיה‏‎ ‎‏אשה יראת אלהים המהוללה במעשיה‏‎ ‎‏על כן כל מכיריה כבדוה‏‎ ‎‏ויהללו בשערים נתיבותיה‏‎ ‎‏ויבכו אחריה אישה ובניה‏‎ Ruhestätte der Frau Rosa Schwabacher geb. Brüll, Kaufmannsgattin dahier, gestorben am 21.ten März 1868 im 26.ten Lebensjahre.","1868","3","21"
"reg-173","‎‏פ״ט‏‎ ‎‏אשה הגב[ירה] והמהוללה מ׳ ריקא‏‎ ‎‏אשת כ״ה מייער ניעדערמייער ז״ל מפה‏‎ ‎‏נפטרת יום ה׳ כ״ד ונ׳ ביום עש״ק‏‎ ‎‏כ״ה תמוז תרל״ד לפ״ק‏‎ ‎‏אשה יראת אלהים וצנועה במעשיה‏‎ ‎‏עטרת בעלה ותפארת בניה‏‎ ‎‏דרכיה דרכי נועם ושלום בנתיבותיה‏‎ ‎‏תנצב״ה‏‎ Hier ruht Frau Rika Niedermeier Ehefrau des verlebten Herrn Meier Niedermeier von hier gest. am 8. Juli 1874 alt 35 Jahre.","1874","7","8"
"reg-178","‎‏מצבת‏‎ ‎‏קבר אשת חיל‏‎ ‎‏מ׳ מרים ש״ה אשת‏‎ ‎‏כ׳ יחיאל שווארצהויפט מפה‏‎ ‎‏מרים איננה מר יבכיון אישה ובניה‏‎ ‎‏רחוק ממנו מנחם גדלה כים מכתינו‏‎ ‎‏ידיה לא רפו לעני כפה פרשה‏‎ ‎‏מה רב טובך אשר צפנת ליראיך‏‎ ‎‏מתה בחצי ימיה יום ג׳ י״ד אלול‏‎ ‎‏ונקברה בהספד יום ד׳ ט״ו אלול‏‎ ‎‏תרל״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎","1875","9","14"
"reg-181","‎‏לזכרון עולם‏‎ ‎‏מצבת אבן על קבר הרופא‏‎ ‎‏אבערשטאבזארצט‏‎ ‎‏ח׳ משה בן חבר ר׳ אלכסאנדר הלוי‏‎ ‎‏מן באמבערג‏‎ ‎‏מת יום ה׳ י״ב ניסן ונ׳ א׳ דפסח‏‎ ‎‏תרל״ו לפ״ק‏‎ ‎‏פארוהו בני עמו וכבדוהו שרים‏‎ ‎‏רועה עדתו בחכמה במשרים‏‎ ‎‏באמונה היו כל מעשיו‏‎ ‎‏ורצוי לכל אחיו כל ימי חייו‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott unser unvergesslicher Gatte, Vater und Großvater Herr Dr. Moritz Feldheim, kgl. Bayr. Oberstabsarzt geboren in Bamberg 1806, gestorben in Regensburg 1876. Das arme Herz hienieden von manchem Sturm bewegt, [...] wahren Fried[en [...] es nicht mehr schlägt. Gesegnet bleibe dein Andenken","1876","4","6"
"reg-197","‎‏פ״נ‏‎ ‎‏הילד רך וטוב‏‎ ‎‏אליעזר בן ה׳ יצחק‏‎ ‎‏ליליענטהאל מפה‏‎ ‎‏מת לאבל גדול בכל העדה‏‎ ‎‏ביום שבת קודש ט׳ סיון‏‎ ‎‏ונקבר בכבוד יום א׳ י׳ סיון‏‎ ‎‏תרל״ט לפ״ק‏‎","1879","5","31"
"reg-199","‎‏ותלקח אסתר אל המלך ביום ב׳ תמוז שנת תרל״ט לפ״ק‏‎ ‎‏פה‏‎ ‎‏טמונה‏‎ ‎‏האשה החשובה והחסודה אשת חיל כאביגיל‏‎ ‎‏וצנועה כשפרה ופועה המושכלת המפוארה במעשיה‏‎ ‎‏עטרת בעלה ותפארת בניה הנדיבה מרת‏‎ ‎‏אסתר‏‎ ‎‏אשת הקצין הנכבד ומרומם כ״ה איציק‏‎ ‎‏גרינהוט‏‎ ‎‏מרעגענזבורג‏‎ ‎‏אשה יראת אלקים ופועלת טוב כל ימיה‏‎ ‎‏סעדה לב עניים ואביונים ולחם פרשה כפיה‏‎ ‎‏תפארת בעלה ובניה היתה כל ימי חייה‏‎ ‎‏רוב צדקתה ויושר לבה יעירו כי טובים מעשיה‏‎ ‎‏גמלה חסד וטוב כל ימי חייה‏‎ ‎‏רבות עשתה ומה נעים גורליה‏‎ ‎‏ידיה שלחה לאביון לכל עמיה‏‎ ‎‏נתיבותיה שלום כל ימיה‏‎ ‎‏הלכה במצות חנ״ה כל ימיה‏‎ ‎‏וצדקתה עומדת עד אחריה‏‎ ‎‏טוב בידה עד לחיי עולמיה‏‎ ‎‏תנצב״ה‏‎ Hier ruht Frau Ester Grünhut geb. Westerheimer? gest. 23. Juni 1879 im 44. Lebensjahre","1879","6","23"
"reg-211","‎‏פ״נ‏‎ ‎‏האיש הטוב והישר ירא‏‎ ‎‏ה׳ כל ימיו ר׳ שמואל בן‏‎ ‎‏ר׳ מנחם שהלך לעולמו‏‎ ‎‏ביום ה׳ ונקבר ביום ו׳ כ״ח‏‎ ‎‏אדר שני תרמ״ג לפ״ק ׃‏‎ ‎‏שמימה הלכת אבינו שמואל‏‎ ‎‏מושביך במרום עלית לבית אל‏‎ ‎‏ואנחנו בבכי נרים קולינו‏‎ ‎‏אשר עזבתנו עטרת ראשינו‏‎ ‎‏לאביון פרשת בכל עת כפיך‏‎ ‎‏מאור היית לכל בני ביתך‏‎","1883","4","5"
"reg-212","‎‏פ״נ‏‎ ‎‏האשה חשובה עטרת‏‎ ‎‏משפחתה מרת פיגעלע‏‎ ‎‏אשת ר׳ שמואל‏‎ ‎‏אבערדארפער שהלכה‏‎ ‎‏לעולמה ביום ב׳‏‎ ‎‏טבת ה׳ תר״נ‏‎ ‎‏פיה פתחה בחכמה‏‎ ‎‏וידיה בצדקה ׃ תנצב״ה ׃‏‎","1889","12","25"
"reg-216","Hier ruht in Gott unsere gute, unvergeßliche Mutter, Frau Leonore Feldheim geb. Hesslein Gattin des ihr im Tode voraus- gegangenen k. Oberstabsarztes Dr. M. Feldheim geboren zu Bamberg 1815 gestorben in Regensburg am 24. August 1883 Friede ihrer Asche!","1883","8","24"
"reg-226","Hier ruht Herr Aaron Frankenburger Schullehrer in Regensburg, gestorben am 9. Oktober 1884, 61 Jahre alt. Glänzen werden wie der Glanz des Himmels Diejenigen, die Viele weiser machen. Leuchten aber wie die Sterne immer u. ewig Diejenigen, die Viele tugendhafter machen. Dan 12.3.","1884","10","9"
"reg-6","‎‏פ״נ‏‎ ‎‏איש נכבד מטובי העיר‏‎ ‎‏ה״ה שמשון בן מוהר״ר יעקב סג״ל‏‎ ‎‏המכונה זיגמונד ווייל מפה‏‎ ‎‏מת בזקנה יום ג׳ ד׳ ניסן ונקבר‏‎ ‎‏יום ד׳ ה׳ ניסן תרכ״ו לפ״ק‏‎ ‎‏דת האלהים שמר וחוקי תורתו‏‎ ‎‏עשה צדקה וגמל חסד כפי יכלתו‏‎ ‎‏צדיק באמונתו חיה עד עלתה נשמתו‏‎ ‎‏צר לנו אבינו, צעקו בתו וחתנתו‏‎ ‎‏תנצב״ה‏‎","1866","3","20"
"reg-81","‎‏ציון לנפש‏‎ ‎‏איש יקר רוח נכבד ומהולל נדיב לב‏‎ ‎‏פזר נתן לאביונים כ״ה דוד בן מהור״ר‏‎ ‎‏פייבלמאן ווערטהיים‏‎ ‎‏אשר רוב ימיו היו מכאובים נפטר‏‎ ‎‏ביום ג׳ כ״ז ניסן ונקבר ביום ה׳ כ״ט‏‎ ‎‏ניסן תקצ״ז לפ״ק‏‎ ‎‏תנצב״ה‏‎ ‎‏עם שארי שוכני ארץ בג״ע אמן‏‎ Ruhestätte des Herrn David Philippsohn Wertheimber Bürger u. Großhändler v. Regensburg gestorben am 2. Mai 1837 im 31. Lebensjahre","1837","5","2"
"reg-91","‎‏פ״ט‏‎ ‎‏הישר כ׳ אברהם ישעי׳ בר עוזר צבי פעלדמאן‏‎ ‎‏מק״ק טרייכטלינגען נפטר יו׳ א׳ ונקבר יו׳ ב׳ ד׳ כסלו ת״ר ל׳‏‎ ‎‏אברהם הלך ממקומו לעסוק באמונה‏‎ ‎‏ישעי׳ אמץ במעשי׳ טובים כקטורת ולבונה‏‎ ‎‏בן ישר רוח הבריות נוחה הימנו‏‎ ‎‏עוזר לדלים ורודף שלום כל עונה‏‎ ‎‏כצבי רץ לדבר מצוה ולהתפלל בכוונה‏‎ ‎‏תנצב״ה‏‎","1839","11","10"
