"id","transcription","year","month","day"
"rth-1","‎‏...‏‎ ‎‏ונקב׳ יו׳ ו׳ ה׳ תשרי‏‎ ‎‏תנצב״ה עש״צ‏‎ ‎‏שבג״ע א״ס ׃‏‎","","",""
"rth-10","‎‏[...]‏‎ ‎‏כ״ל? [... עסק?] בצדקה וג״ח ׃ ...ל‏‎ ‎‏ותזכה לעמוד בק״ה עם‏‎ ‎‏שאר צ״ו נפטר ונקבר‏‎ ‎‏ביום ב׳ ו׳ אב תק״ע לפ״ק‏‎ ‎‏תנצב״ה בגן עד׳ אמן‏‎","","",""
"rth-11","‎‏פה‏‎ ‎‏טמונת אשה‏‎ ‎‏ח׳ מ׳ שרה אידל‏‎ ‎‏בת כ״ה זנוויל‏‎ ‎‏אשת כ׳ יוזפא נפ‏‎ ‎‏טרת ונקברת‏‎ ‎‏בשם טוב ביום‏‎ ‎‏א׳ ך״ו א׳ ש׳ תס״ה‏‎ ‎‏לפ״ק תנצב״ה‏‎ ‎‏אשמי״א‏‎","1705","3","22"
"rth-12","‎‏שנת תצ״ה‏‎ ‎‏לפ״ק‏‎ ‎‏פה טמון האלוף וה‏‎ ‎‏קצין כהר״ר מאיר‏‎ ‎‏אברהם במהור״ר יע‏‎ ‎‏קב יצחק זצ״ל נפטר‏‎ ‎‏יום ד׳ ונקבר יום ה׳ כ״ז‏‎ ‎‏אייר תנצב״ה ע״נ‏‎ ‎‏שצ״ו שבג״ע א״ס‏‎","1735","5","18"
"rth-13","‎‏פה‏‎ ‎‏טמונת איש הישר‏‎ ‎‏כ״ה משה ב״ה נפתלי‏‎ ‎‏שנפטר בשם טוב‏‎ ‎‏ב׳ ב׳ ט״ו שבט תקס״ג‏‎ ‎‏[לפ״ק] נתצב״ה ע׳ כ׳‏‎ ‎‏מע״י אמן‏‎","1803","2","7"
"rth-14","‎‏שנת‏‎ ‎‏תק״ט לפ״ק‏‎ ‎‏פה טמון האלוף‏‎ ‎‏והתורני כהר״ר יוסף‏‎ ‎‏אברהם ב׳ מהור״ר‏‎ ‎‏יעקב יצחק זצ״ל‏‎ ‎‏נפטר ונקבר יום ה׳‏‎ ‎‏כ״ה תשרי תנצ״ב‏‎ ‎‏ה׳ ענשצ״ו ש[...]‏‎ ‎‏[...]‏‎","1748","10","17"
"rth-15","‎‏תקנ״ב לפ״ק‏‎ ‎‏ביום שבת קו׳ ך״ו‏‎ ‎‏טבת נפטר התורני‏‎ ‎‏המופלג בתור׳ בדק‏‎ ‎‏דוק ובתכונה ה״ה כ״ה‏‎ ‎‏מאיר בר יהוד׳ יעקב‏‎ ‎‏ז״ל ונקבר ב׳ א׳ ך״ז הנ׳‏‎ ‎‏תשהל״ה ונת״צ‏‎ ‎‏ב״ה עכמ״י אמן‏‎","1792","1","21"
"rth-16","‎‏פה‏‎ ‎‏טמונת אשה ח׳‏‎ ‎‏הענדל אשת כ״ה‏‎ ‎‏יוסף שנפטרת‏‎ ‎‏בשם טוב יום ו׳‏‎ ‎‏ח׳ טבת תקע״א לפ״ק‏‎ ‎‏יהרשנצב״ה‏‎ ‎‏עשצ׳ וצ׳ שב״ע‏‎ ‎‏אמן‏‎","1811","1","4"
"rth-17","‎‏שנת‏‎ ‎‏תק״יוד לפ״ק‏‎ ‎‏פה נטמנת האשה‏‎ ‎‏חשובה והחסידה‏‎ ‎‏מרת חנה שרה בת‏‎ ‎‏כהר״ר אליעזר‏‎ ‎‏שלי״ט נפטרת ונ‏‎ ‎‏קברת ביום ב׳ ט׳‏‎ ‎‏תמוז תנצב״ה ע״נ‏‎ ‎‏שצ״ו שבג״ע [א״ס]‏‎","1750","7","13"
"rth-18","‎‏תקכ״ה‏‎ ‎‏פ״ט איש‏‎ ‎‏ישר ונאמן‏‎ ‎‏כ״ה אברהם ב״ה‏‎ ‎‏יוסף אברהם‏‎ ‎‏מא״ר ׃ נפטר‏‎ ‎‏...‏‎","1764","10","10"
