"id","transcription","year","month","day"
"sgb-100","‎‏פ״נ‏‎ ‎‏מינדל בת ח׳ מרדכי‏‎ Hier ruht Frau Mathilde Rosenthal geb. Heumann geb. 30. März 1879 gest. 11. März 1938 ‎‏מתה ח׳ אדר ב׳ תרצ״ח לפ״ק‏‎","1938","3","11"
"sgb-101","Hier ruht mein innigst geliebtes einziges Kind Ilse Fröhlich geb. 11.2.1919 gest. 13.6.1939","1939","6","13"
"sgb-102","‎‏פ״נ‏‎ ‎‏דבורה בת יצחק שולצע‏‎ ‎‏אשת יצחק בר שמעון הלוי וואלף‏‎ ‎‏מתה ביום ש״ק כ״ה טבת תש״ל לפ״ק‏‎ ‎‏דרכיה דרכי נעם וכל נתיבותיה שלום‏‎ ‎‏תנצב״ה‏‎ Debora Wolf geb. Schulze geb. 22.3.1872 gest. 6.1.1940","1940","1","6"
"sgb-103","‎‏פ״נ‏‎ ‎‏יצחק בן בנימין‏‎ Philipp Meier 1873 - 1940 seine Frau Fanny geb. Linz seine Tochter Erna und sein Schwiegersohn Martin Lesser erlitten den Märtyrertod.","1940","6","24"
"sgb-104","","","",""
"sgb-105","‎‏פ״ט‏‎ ‎‏האשה חשובה וצנועה‏‎ ‎‏נודע בשערים פעלה ה״ה‏‎ ‎‏מרת יענט בת כ״ה יהודה‏‎ ‎‏אשת כ״ה אייזיק מגייס=‏‎ ‎‏טינגען נפטרת ונקברת‏‎ ‎‏ביום עש״ק ט״ז [ט{ת}]שרי‏‎ ‎‏תר״[ב] לפ״ק תנצב״ה‏‎","1841","9","30"
"sgb-106","Levi Meier geb. 9. Juli 1865 gest. 11. Juni 1932 Lina Meier geb. Steinfels starb den Märtyrertod 1944 in Polen","","",""
"sgb-107","‎‏פ״נ‏‎ ‎‏דטרת בר בנימן !‏‎ ‎‏מת ביום א׳ ח׳ אייר תרצ״ב‏‎ ‎‏לפ״ק תנצב״ה‏‎ Sally Theodor Berger geb. 6.6.1886 Niederzissen gest. 14.6.1932 Siegburg","","",""
"sgb-108","‎‏פ״נ‏‎ ‎‏אהרן בר יצחק‏‎ ‎‏מת יום ג׳ ה׳ אדר תרצ״ד לפ״ק ׃‏‎ ‎‏איש ישר ותמים היה ׃ תנצב״ה‏‎ Hier ruht Aron Schulze geb. 9. Juni 1857 gest. 20. Febr. 1934.","","",""
"sgb-109","‎‏פ״נ‏‎ ‎‏אשר בר יעקב‏‎ ‎‏מת בערב שבת כ״ג אדר תרצ״ד לפ״ק ׃ תנצב״ה ׃‏‎ Hier ruht mein guter Gatte und treusorgender Vater Adolf Wolf geb. 13. April 1881 gest. 9. März 1934 ‎‏אסתר בת חיים‏‎ ‎‏מתה כ״ה אדר תרצ״ט לפ״ק ׃ תנצב״ה ׃‏‎ Hier ruht uns. gute treuherzige Mutter Frau Eva Wolf geb. 2. Februar 1875, gest. 15. März 1939.","","",""
"sgb-110","‎‏פ״נ‏‎ ‎‏יעקב בר ראובן הכהן נפטר י״ג אב‏‎ ‎‏תרצ״ד לפ״ק ׃ ויעקב הלך לדרכו! תנצב״ה‏‎ Hier ruht Jakob Hoffmann geb. 18. Sept. 1862 in Lohmar gest. 24. Juli 1934.","","",""
