"id","transcription","year","month","day"
"srm-1","Hier ruht Salomon Starnberg geb. 25. Aug. 1838 gest. 1. Juli 1925. Er war uns ein lieber Vater, Großvater und Urgroßvater.","1925","7","1"
"srm-10","‎‏פ״נ‏‎ ‎‏נתן בן אורי‏‎ ‎‏בחור נחמד ומפואר‏‎ ‎‏נפטר כ״ד אייר תרע״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎","1918","5","6"
"srm-11","‎‏ [..]‏‎ ‎‏נערה [...] יקרה‏‎ ‎‏מוכתרת [בכל מידה] ישרה‏‎ ‎‏ה״ה מרת [ב]רינה‏‎ ‎‏בת הח״ר מתתיהו הלוי‏‎ ‎‏נפטרה ביום ד׳‏‎ ‎‏ו׳ כסלו תרנ״ד לפ״ק‏‎ ‎‏תנצב״ה‏‎ Bertha Benjamin geb. am 30. August 1827, gest. am 15. November 1893.","1893","11","15"
"srm-12","‎‏ [...]‏‎ ‎‏אורי [...]‏‎ ‎‏מת ביום [... עשרה ב]טבת‏‎ ‎‏בשנת [...]‏‎ ‎‏איש [...]נים‏‎ ‎‏[...]‏‎ ‎‏[...]‏‎ ‎‏[־־־]‏‎","1893","12","19"
"srm-13","","","",""
"srm-14","‎‏פ״נ‏‎ ‎‏אשה ישרה ונעימה‏‎ ‎‏הלכה בדרך תמימה‏‎ ‎‏עשתה צדקה כל ימיה‏‎ ‎‏והדריכה לתורה את בניה‏‎ ‎‏מ׳ אסתר בת מאיר הלוי‏‎ ‎‏פרנסתה דחברת נשים‏‎ ‎‏מתה ביום ג׳ ט׳ מרחשון‏‎ ‎‏תרנ״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎ Frau Esther Anschel geb. Spiro geb. 12. Nov. 1818, gest. 10. Nov. 1891.","1891","11","10"
"srm-15","‎‏פ״נ‏‎ ‎‏שלמה בר החבר פינחס‏‎ ‎‏מת י׳ אדר שני‏‎ ‎‏תרל״ד (!) לפ״ק‏‎ ‎‏תנצב״ה‏‎ Salomon Jonas geb. 17. Januar 1826, gest. 15. März 1878.","1878","3","15"
"srm-16","‎‏פ״נ‏‎ ‎‏איש ישר כ״ה דוד בר‏‎ ‎‏אורי הלך לחיי עולם‏‎ ‎‏ביום ד׳ ב׳ כסלו‏‎ ‎‏תרל״ב לפ״ק‏‎ ‎‏תנצב״ה‏‎","1871","11","15"
"srm-17","‎‏פ״נ‏‎ ‎‏אשה הצנועה מרת‏‎ ‎‏היצלכה בת ר׳ משה‏‎ ‎‏הלכה לחיי עולמה‏‎ ‎‏ביום ה׳ כ״ד תשרי‏‎ ‎‏תרי״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1852","10","7"
"srm-18","‎‏[...]‏‎ ‎‏האשה [...]ים‏‎ ‎‏אשר[...] בת‏‎ ‎‏הגא[...]ה‏‎ ‎‏כב[...]‏‎ ‎‏נ[...]‏‎ ‎‏[־־־]‏‎","","",""
"srm-19","‎‏פ״ט‏‎ ‎‏נפש יקרה ׃ אשה ישרה ׃‏‎ ‎‏לבעלה היתה עטרה ׃ וזר‏‎ ‎‏תפארה ׃ ה״ה הצנועה מרת‏‎ ‎‏פרים בת כ״ה יוזפא גאך ׃‏‎ ‎‏הלכה בדרך תמים כל הימים‏‎ ‎‏ואחר מלאת לה שבעים שנה‏‎ ‎‏השלימה נפשה לקונה ׃‏‎ ‎‏ביום ג׳ כ״ח מרחשון תקע״ג‏‎ ‎‏[־־־]‏‎","1812","11","3"
"srm-2","‎‏פ״נ‏‎ ‎‏נערה בתולה ישרה‏‎ ‎‏פרדיא בת דוד‏‎ ‎‏ויקחה המות פתאום‏‎ ‎‏ביום ה׳ ניסן תרצ״ה לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht unsere geliebte unvergeßliche Schwester Rika Marchand geb. 13. Mai 1887, gest. 8. April 1935.","1935","4","8"
"srm-20","‎‏פ״נ‏‎ ‎‏גוית איש ישר‏‎ ‎‏נפתלי בר בנימן‏‎ ‎‏מת בן פ״ד שנה‏‎ ‎‏ביום ב׳ י״ג מרחשון‏‎ ‎‏ונקבר ביום ה׳ ט״ז בו‏‎ ‎‏שנת תרל״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ [---]","1870","11","7"
