"id","transcription","year","month","day"
"sts-1","‎‏פ״ט‏‎ Hier ruht in Frieden meine liebe Mutter Frau Sara Kahn geb. Kahn Ehefrau des Samuel Kahn geb. 29.2.1880, gest. 4.6.1937","1937","6","4"
"sts-10","Hier ruht unsere liebe Mutter Fanny Lion geb. Blatt ‎‏פראדכה בת בנימן‏‎ geb. 29. Nov. 1869 gest. 30. Nov. 1926 d.i. 25. Kislew 5687","1926","11","30"
"sts-103","Zum Andenken an unsere geliebten Eltern","1940","4","17"
"sts-104","","","",""
"sts-105","‎‏פ״נ‏‎ ‎‏אלכ{ס}נדר‏‎ ‎‏בן אברהם‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott mein lieber Gatte, unser guter Vater Alex. Alfred Baum Alexander Alfred Baum aus Bosen geb. 29.8.1879, gest. 14.3.1930. Ruhe sanft!","1930","3","14"
"sts-106","‎‏פ״נ‏‎ ‎‏יהודה בר שמואל‏‎ ‎‏איש תם וישר אב טוב‏‎ ‎‏היה לנו בוחר ביראת ה׳‏‎ ‎‏ועכרה (?) ׃ מת כ״ח בתמוז‏‎ ‎‏תר״צ לפ״ק‏‎ ‎‏תנצב״ה‏‎ Leopold Baum aus Bosen geb. 7. Nov. 1847, gest. 24. Juli 1930.","1930","7","24"
"sts-107","‎‏פ״נ‏‎ ‎‏אליהו בר דוד‏‎ ‎‏מת [ב]יום כ״ט‏‎ ‎‏אב ת[ר]צ״א‏‎ ‎‏לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruhen unsere lieben Eltern Elias Sternberg aus Sötern geb. 21.9.1870, gest. 12.8.1931. ‎‏פ״ט‏‎ ‎‏ראס בת יצחק‏‎ ‎‏מת ביום כ״ג‏‎ ‎‏שבט תרצ״א‏‎ ‎‏[לפ]״ק‏‎ ‎‏ת[נ]צב״ה‏‎ Rosa Sternberg geb. Rothschild geb. 16.8.1877, gest.10.2.1931. Dem Auge fern, dem Herzen ewig nah!","1931","2","10"
"sts-108","Gertrude Baum geb. Schömann gest. 16.12.1931 6. Tewes 5692 Du lebst in unserem Herzen weiter","1931","12","16"
"sts-109","","","",""
"sts-11","","","",""
"sts-110","","","",""
"sts-111","","","",""
"sts-112","‎‏פ״נ‏‎ ‎‏יצחק בר יהודה‏‎ ‎‏מת י״ח אדר תר״פ לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Gott Isaak Sender v. Sötern geb. 10. Oktober 1857, gest. 8. März 1920 im Alter von 62 Jahren. Friede seiner Asche! Es heisst nicht sterben lebt man in den Herzen der Menschen fort die man verlassen hat","1920","3","8"
"sts-113","[Hier ruht] [... ...v]ater Benja[min] Blatt ‎‏בני[מן] בר [יש]שכר‏‎ ‎‏[...]‏‎ ‎‏מת? [...] לפ״ק‏‎ ‎‏[...]‏‎ geb. [...] gest. [...]","1920","4","4"
"sts-114","","","",""
"sts-115","‎‏פ״נ‏‎ ‎‏איש תם וישר מרדכי בר אשר‏‎ ‎‏נפטר י״ב סיון תרפ״א לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht in Frieden unser geliebter Gatte u. Vater Max Sender geb. am 21. März 1873, gest. am 18. Juni 1921. Friede seiner Asche","1921","6","18"
"sts-116","‎‏פ״נ‏‎ ‎‏סעלא בת אהרון‏‎ ‎‏מת׳ ביום א׳ ניסן תרפ״ג‏‎ ‎‏תנצב״ה‏‎ Hier ruht unsere herzensgute Mutter und Grossmutter Susanna Sender v. Bosen geb. 22.November 1852, gest. 18. März 1923. Ruhe sanft!","1923","3","18"
"sts-117","","","",""
"sts-118","‎‏פ״נ‏‎ Hier wohnt mein lieber Gatte unser guter Vater Wilhelm Lion ‎‏זאב בן יהודה‏‎ geb. 11.4.1864, gest. 19.12.1924 Ruhe sanft!","1924","12","19"
"sts-119","","","",""
"sts-12","‎‏פ״נ‏‎ ‎‏יהודה בר שלם‏‎ Hier ruht mein lieber Gatte, unser guter Vater. Leopold Baum II v. Bosen geb. 28. Okt. 1852, gest. 1. Aug. 1926. (21. Ab 5686) ‎‏תנצב״ה‏‎","1926","8","1"
"sts-120","","","",""
"sts-121","Geliebt u. unvergessen Ruhe sanft!","","",""
"sts-122","","","",""
"sts-123","‎‏פ״נ‏‎ ‎‏חנה בת דטרס‏‎ ‎‏תנצב״ה‏‎ Hier ruht Johanna Löb geb. Marx Ehefrau des Emanuel Löb aus Sötern geb. 7.2.1859, gest. 8.4.1917. Ruhe in Frieden!","1917","4","8"
"sts-124","‎‏פ״נ‏‎ ‎‏נפתלי בר ארי[ה]‏‎ ‎‏מת ביום א׳ ניסן תרע״ח‏‎ ‎‏תנצב״ה‏‎ Hier ruht Magnus Baum gest. 14. März [1]918 im Alter von 82 Jahren","1918","3","14"
"sts-125","Hier ruht in Frieden unser? [...] Gustav Blatt ‎‏גרשם בר ב[נימן]‏‎ geb. 29. Januar 1866 [gest. ...] 1918 ‎‏[...]‏‎ ‎‏תנצב״ה‏‎","1918","4","19"
"sts-126","Unseren unvergesslichen Eltern","1930","9","24"
"sts-127","Trennung ist unser Loos Wiedersehn unsere Hoffnung","","",""
"sts-128","","","",""
"sts-129","‎‏פ״[נ]‏‎ ‎‏שמואל [בר] יחיאל‏‎ ‎‏מת בשיבה טובה‏‎ ‎‏ביום כ״ד [תמ]וז תרס״ח לפ״ק‏‎ ‎‏תנצב״ה‏‎ Samuel Sender [...] ge[st. ...] Sa[nft sei seine Ruhe]","1908","7","23"
"sts-13","‎‏פ״נ‏‎ ‎‏איש ירא את ה׳ מנעוריו‏‎ ‎‏אשר בר יצחק‏‎ ‎‏מת ביום כ״ח סיון תרפ״ו לפ״ק‏‎ ‎‏תנצב״ה‏‎ Hier ruht unser geliebter Vater Adolf Lion geb. 13.11.1845, gest. 7.6.1926. Ruhe in Frieden!","1926","6","7"
"sts-130","","","",""
"sts-131","","","",""
"sts-132","","","",""
"sts-133","","","",""
"sts-134","","","",""
"sts-135","","","",""
"sts-136","","","",""
