"id","transcription","year","month","day"
"tr1-1","‎‏[...]‏‎ ‎‏המצבה אש[ר]‏‎ ‎‏שמתי לרא[ש]‏‎ ‎‏ר׳ אלעזר ב[ן]‏‎ ‎‏ר׳ יוסף הלו[י]‏‎ ‎‏הנפטר יום‏‎ ‎‏א׳ ג׳ כסליו‏‎ ‎‏שנת קל״ד ל[פ״ק]‏‎ ‎‏[...] ש[...]‏‎ ‎‏[...] א׳ סל[ה]‏‎","1373","11","19"
"tr1-10","‎‏[...]מה‏‎ ‎‏[...רא?]ש קהל‏‎ ‎‏[...]ה ׃‏‎ ‎‏[... י]ודה? ..‏‎ ‎‏[...]ה בתוך‏‎ ‎‏[־־־]‏‎","","",""
"tr1-11","‎‏[...] מצבה‏‎ ‎‏[... אש]ר הוצב׳‏‎ ‎‏[־־־]‏‎","","",""
"tr1-12","‎‏הציון ה[לז ...]‏‎ ‎‏ר׳ יום [טוב? ...]‏‎ ‎‏ט״ו בח[דש‏‎ ...]‏‎ ‎‏[־־־]‏‎","","",""
"tr1-2","‎‏האב[ן]‏‎ ‎‏הזאת הוק׳‏‎ ‎‏לראש הנער‏‎ ‎‏יעקב ב[ן ר׳] שמואל‏‎ ‎‏הנקב[ר ב]ש׳ ה׳ כ״ג‏‎ ‎‏ת‏‎?[...]...‏‎","1262","10","10"
"tr1-3","‎‏פה‏‎ ‎‏נק׳ברת מר׳‏‎ ‎‏וורויידא‏‎ ‎‏בת ר׳ אברהם‏‎ ‎‏ש״נ בשלש‏‎ ‎‏שבת‏‎ [...]‏‎ ‎‏[...]‏‎","","",""
"tr1-4","‎‏[...]‏‎ ‎‏שהניח[ו ...]‏‎ ‎‏בר״ח א[...]‏‎ ‎‏ק״ו לפ״[ק ...]‏‎ ‎‏אמ[ן‏‎ ...]‏‎","","",""
"tr1-5","‎‏[...]‏‎ ‎‏[... לרא]ש הנ׳‏‎ ‎‏[...] יכנט בת‏‎ ‎‏[...] יום ג׳ ו׳‏‎ ‎‏[־־־]‏‎","","",""
"tr1-6","‎‏[צי]ון‏‎ ‎‏[הלז ... לר]אש מ׳‏‎ ‎‏[... שנ]הרגה‏‎ ‎‏[על קדו]ש השם‏‎ ‎‏[... ק]״ח לפרט‏‎ ‎‏[לאלף] הששי‏‎ ‎‏[...] אמן‏‎ ‎‏[אמן] אמן ׃‏‎","","",""
"tr1-7","‎‏זאת‏‎ ‎‏מצבת מרת‏‎ ‎‏בילקין בת ר׳ שלמ׳‏‎ ‎‏הנפטרת בשם טוב‏‎ ‎‏ביום ב׳ עשרים יום‏‎ ‎‏באדר הראשון שנת‏‎ ‎‏מאה ותשע לאלף‏‎ ‎‏[ה]שש[י] תנוח נפשה‏‎ ‎‏[ב]צרור החיים עם שאר‏‎ ‎‏[צד]קי עולם וצדקניות‏‎ ‎‏[א׳] א׳ א׳‏‎ ‎‏ס׳‏‎","1349","2","9"
"tr1-8","‎‏זאת האבן הוק׳‏‎ ‎‏לראש ר׳ משה‏‎ ‎‏ב״ר מנוח הנפ׳‏‎ ‎‏ביום [...]‏‎ ‎‏[־־־]‏‎","","",""
"tr1-9","‎‏ציון הלז‏‎ ‎‏לראש מר׳‏‎ ‎‏חנה בת ר׳‏‎ ‎‏[־־־]‏‎","","",""
