"id","transcription","year","month","day"
"win-1","‎‏פ״ט‏‎ ‎‏האשה הזקנה הצדקית‏‎ ‎‏הצנוע׳ וחסוד׳ היקרה‏‎ ‎‏וישרה עוסקת במצות‏‎ ‎‏ובג״ח ובמ״ט מ׳ חנה‏‎ ‎‏בת כה׳ איצק אפטרוד‏‎ ‎‏נפטר׳ ביו׳ הש׳ ונקבר׳ יו׳‏‎ ‎‏ה׳ י״ב אלול תקך״ה לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה׳‏‎","1765","8","27"
"win-10","‎‏פ״נ‏‎ ‎‏איש תם וישר ירא אלהי‏‎ ‎‏כל ימיו הבח׳ יעקב בן‏‎ ‎‏מהו׳ (ארי) ליב נולד ה‏‎ ‎‏אדר ר׳ תק(כ)ז מת בימי‏‎ ‎‏... ביו׳ ג (י׳ כסלו) ונקב׳‏‎ ‎‏י״ב בו תקצט לפק‏‎ ‎‏תנצב״ה‏‎","1838","11","27"
"win-11","‎‏פ״ט‏‎ ‎‏הזקנה מרת פעסקה‏‎ ‎‏בת ר׳ יהודא סג׳ל ז׳ל‏‎ ‎‏אשת ר׳ מרדכי ב׳ר חיים‏‎ ‎‏ז״ל‏‎ ‎‏נפטרת בת (פ״ו?) שנה‏‎ ‎‏ביום ג׳ ט׳ו ונקברת יום ה׳‏‎ ‎‏י׳ז טבת ת׳ק׳צ׳ו לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה‏‎","1836","1","5"
"win-12","‎‏פ״נ‏‎ ‎‏האשה היקרה והצדקת‏‎ ‎‏יראת אלהים כל ימיה מ׳ עדל‏‎ ‎‏בת ר׳ ארי אשת ר׳ אברהם‏‎ ‎‏הלל מתה בזקנה טובה ביו׳‏‎ ‎‏ד׳ י׳ אייר ונקברה ע׳ש׳ק׳‏‎ ‎‏י׳ב בו ת׳ר׳ לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה׳‏‎","1840","5","13"
"win-13","‎‏פ״נ‏‎ ‎‏האשה שרכה בת ר׳‏‎ ‎‏שלמה הכהן אשת‏‎ ‎‏ר׳ יוסף נולדה ת׳ק׳פ׳ה׳‏‎ ‎‏ומתה ביום ו׳ י״א אייר‏‎ ‎‏ת׳ר׳ך לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה‏‎","1860","5","3"
"win-14","‎‏פ״נ‏‎ ‎‏האשה החשובה מר׳‏‎ ‎‏שינכה בת ר׳ מייר אש׳‏‎ ‎‏ר׳ ליב נולדה ת׳ק׳מ׳ז׳‏‎ ‎‏לפ״ק ומתה ביום ש״ק‏‎ ‎‏י״ג כסלו ת׳ר׳י׳ט לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה‏‎","1858","11","20"
"win-16","‎‏פ״נ‏‎ ‎‏האשה החשובה מרת‏‎ ‎‏יטל בת ר׳ ליב מווינזן‏‎ ‎‏אלמנת ר׳ מיכאל משה ז״ל‏‎ ‎‏נולדה כ״ב טבת ת׳ק׳כ׳ג‏‎ ‎‏ונפטרה מש״ק ט׳ שבט‏‎ ‎‏ת׳ק׳צ׳ח לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה׳‏‎","1838","2","4"
"win-17","‎‏פ״נ‏‎ ‎‏האשה החשובה מרת‏‎ ‎‏בילה בת כ׳ה שלמה‏‎ ‎‏אשת ר׳ יהודא הלוי‏‎ ‎‏נולדה ג׳ תשרי ת׳ק׳מ׳ה‏‎ ‎‏לפ״ק ומתה ביו׳ ב׳ כ׳ח ניסן‏‎ ‎‏ת׳ר׳ט׳ו לפ״ק‏‎ ‎‏תנצבה‏‎","1855","4","16"
"win-18","‎‏פ״נ‏‎ ‎‏האשה היקרה מ׳ שערכה‏‎ ‎‏בת ר׳ יהודא הלוי אשת ר׳‏‎ ‎‏שלמה עם שני בניה ליב‏‎ ‎‏והלל נולדה ביו׳ ד׳ כ׳א ניסן‏‎ ‎‏ת׳ק׳פ׳ג לפ״ק ומתה ביו׳ ה׳‏‎ ‎‏ג׳ סיון ת׳ר׳י׳ג׳ לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה׳‏‎","1853","6","9"
"win-19","‎‏פ״ט‏‎ ‎‏איש תם וישר ירא אלהים‏‎ ‎‏ופעל צדק ה׳ה׳ ראש (הקהילה)‏‎ ‎‏ר׳ יוסף בן ה׳ה׳ר ש(למ)ה‏‎ ‎‏נולד ד׳ ניסן ת׳ק׳מ׳ לפ״ק‏‎ ‎‏ומת ביום שמיני עצרת‏‎ ‎‏ת׳ר׳י׳א׳ לפ״ק‏‎ ‎‏ת׳נ׳צ׳ב׳ה‏‎","1850","9","28"
