"id","transcription","year","month","day"
"wsw-1","‎‏פ״נ‏‎ ‎‏א״ח היא האשה‏‎ ‎‏עלתה נשמתה למרומה‏‎ ‎‏כל ימיה הלכה בדרך ישרה‏‎ ‎‏רייטץ אשת אייזק סג״ל‏‎ ‎‏הלכה לעולמה ונפטרת‏‎ ‎‏ונקברת ביום ד׳ יו״ד ני‏‎ ‎‏סן תקמ״ט לפ״ק‏‎ ‎‏ונתצב״ה‏‎","1789","4","6"
"wsw-10","‎‏פה‏‎ ‎‏נטמן הישר כמ״ר צבי ב׳‏‎ ‎‏יעקב מרדכי הלוי ונפטר‏‎ ‎‏[...] לפ״ק‏‎ ...","","",""
"wsw-11","... ‎‏ה״ה האשה מרת יענטלה‏‎ ‎‏בת כ׳ משולם אשת כ׳ נתן‏‎ ‎‏נפטרת ביום ש״ק יום ב׳ דחג‏‎ ‎‏שבועות שנת תקנ״ג לפ״ק‏‎ ‎‏תנצב״ה‏‎","1793","5","18"
"wsw-12","‎‏פ״נ‏‎ ‎‏האשה החשובה א״ח היא‏‎ ‎‏האשה החכמה מצות ה׳ שמרה‏‎ ‎‏עלה שרה בת מאיר קאסיל‏‎ ‎‏מבונא אשת כ״ה יוסף הלוי‏‎ ‎‏נפטרה ונקברה ביום א׳‏‎ ‎‏י׳ אלול תקו״ם לפ״ק תנצב״ה‏‎","1786","9","3"
"wsw-13","‎‏[פ״]נ‏‎ ‎‏איש ישר ונאמן‏‎ ‎‏הר״ר חיים ב״ח יהודא‏‎ ‎‏ז״ל נפטר ביום ד׳ ר״ח‏‎ ‎‏חשון תק״ן לפ״ק‏‎ ‎‏תנצב״ה ע״נ איו״י א׳‏‎","1789","10","21"
"wsw-14","‎‏פ״נ‏‎ ‎‏[...] שינכה בת זוסמ[.]ן‏‎ ‎‏[א]שת כמ״ר מרדכי בר דוד‏‎ ‎‏[...] ... נפטרת ונקבר׳‏‎ ‎‏[... אל]ול תקע״ז לפ״ק תנצב״ה‏‎","1817","9","8"
"wsw-2","‎‏פ״נ‏‎ ‎‏איש ישר ונאמן‏‎ ‎‏כ׳ אברהם בן כ׳ צבי‏‎ ‎‏בצלאל הלוי נפטר‏‎ ‎‏ונקבר ביום ו׳ ניסן‏‎ ‎‏תקמ״ח לפ״ק תנצב״ה‏‎","1788","4","14"
"wsw-3","... ‎‏ר[...]‏‎ ‎‏זערכה א[שת]‏‎ ‎‏הקצן כמ״ר‏‎ ‎‏אברהם הלוי‏‎ ‎‏הנ׳ יו׳ ש״ק ך״ג אב ש׳‏‎ ‎‏תקל״ה לפ״ק תנצב״ה‏‎","1775","8","19"
"wsw-4","‎‏פ״ט‏‎ ‎‏איש ישר ונאמן גבר כארי‏‎ ‎‏לעבוד עבודת ה׳ נתן לאנשי עירו‏‎ ‎‏מדת ארץ מאחוזתו לבנות עליה‏‎ ‎‏בה״כ מקדש מעט הנהיג והדריך‏‎ ‎‏אותם בדרכי ישרים וקבע עתים‏‎ ‎‏לתורה ה״ה הר״ר מאיר בן ה[...]‏‎ ‎‏יוסף מנשה סג״ל זצ״ל מת זקן‏‎ ‎‏ושבע ימים נפטר בא[ו]תו יום לאותו‏‎ ‎‏חודש שנול[ד בו] כ״ז מרחשון‏‎ ‎‏שנת תקנ״ו לפ״[ק]‏‎ ‎‏תנצב״ה‏‎","1795","11","9"
"wsw-5","‎‏פ״נ ׃‏‎ ‎‏האשה ׃‏‎ ‎‏החשובה מ׳‏‎ ‎‏גוטראט בת‏‎ ‎‏בריינלה ׃‏‎ ‎‏אשת הקצן‏‎ ‎‏כהר״ר מאיר‏‎ ‎‏הלוי הנפטרת‏‎ ‎‏יו׳ ג׳ ך״ו אדר ש׳‏‎ ‎‏תקל״א לפ״ק תנצב״ה‏‎","1771","3","12"
"wsw-6","... ‎‏זצ״ל [...]‏‎ ‎‏זצ״ל שהלכ[ה לעולמה ...]‏‎ ‎‏ונקברת ביום [...]‏‎ ‎‏כ״ד מנחם תפי״ג‏‎ ‎‏לפ״ק תנצב״ה‏‎","1733","8","5"
"wsw-7","‎‏פ״נ‏‎ ‎‏[יו]סף איש תמים הולך בדרך ישרים‏‎ ‎‏[...] איש חיים‏‎ ‎‏[...] לעניים‏‎ ‎‏[.]שר אמת לעולמים ענים משלחנו טובים‏‎ ‎‏[גמ]ל לכל אנשים הן לעניים ולעשירם‏‎ ‎‏[...]‏‎ ‎‏יוסף משנה בן כמ״ר משה סג״ל מאלפטר‏‎ ‎‏נפטר בשם טוב בליל ש״ק ך׳ אייר תקי״א לפ״ק‏‎ ‎‏ונקבר ביום א׳ למחרתו תנצב״ה‏‎","1751","5","15"
"wsw-8","‎‏פה‏‎ ‎‏נטמנה ונקברה האשה חשבה מרת‏‎ ‎‏ריזכה בת אהרן ז״ל אשת מיכאל ווייס‏‎ ‎‏וויילר ונפטרה ביום ו׳ עש״ק תס״ה ל׳‏‎ ‎‏ונקברה ביום א׳ כ״ט סיון תהא‏‎ ‎‏נשמתה צרורה בצרור החיים עם‏‎ ‎‏שאר צדיקים וצדקניות שבגן‏‎ ‎‏עדן אמן‏‎","1705","6","19"
"wsw-9","‎‏פה נטמן [...]‏‎ ‎‏וחשוב יהודא [...]‏‎ ‎‏שמואל שלי״ט [...]‏‎ ‎‏ביום ז׳ ש״ק כ״ד כסלב תנ״ב ל׳‏‎ ‎‏תהי נשמתו צרורה‏‎ ‎‏בצרור החים עם‏‎ ‎‏שאר צדקם שבגן עדן‏‎ ‎‏אמן‏‎","1691","12","15"
